hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 214.964, -33.7028, 214.963, -153.704, 214.961, 86.297, 2.15301E-010, 89.4997, 34.5145, 124.147, 34.5145, 4.14667, 34.5145, -115.853, 0.000367035, 99.3058
2, 0.00000, 216.399, -33.3829, 216.399, -153.384, 216.397, 86.6169, 1.78555E-010, 89.3991, 31.4315, 124.576, 31.4315, 4.57545, 31.4314, -115.424, 0.000304728, 98.9922
3, 0.00000, 217.386, -33.1595, 217.386, -153.16, 217.384, 86.8403, 1.54956E-010, 89.3682, 29.2918, 124.865, 29.2917, 4.86434, 29.2917, -115.135, 0.000264932, 98.7587
4, 0.00000, 217.588, -33.1139, 217.588, -153.115, 217.586, 86.8859, 1.5051E-010, 89.3458, 28.8533, 124.927, 28.8533, 4.92671, 28.8533, -115.073, 0.000257426, 98.709
5, 0.00000, 217.722, -33.0838, 217.721, -153.084, 217.72, 86.916, 1.47511E-010, 89.3893, 28.5638, 124.969, 28.5638, 4.96883, 28.5638, -115.031, 0.000252221, 98.6783
6, 0.00000, 217.123, -33.221, 217.122, -153.222, 217.12, 86.7788, 1.60977E-010, 89.4691, 29.8714, 124.801, 29.8714, 4.80055, 29.8713, -115.199, 0.000275141, 98.8913
7, 0.00000, 216.161, -33.4379, 216.16, -153.439, 216.158, 86.5619, 1.84188E-010, 89.4716, 31.9528, 124.517, 31.9528, 4.51598, 31.9527, -115.483, 0.000314456, 99.1349
8, 0.00000, 216.552, -33.3501, 216.552, -153.351, 216.55, 86.6497, 1.74686E-010, 89.4405, 31.1079, 124.634, 31.1079, 4.63346, 31.1079, -115.366, 0.000298378, 98.9867
9, 0.00000, 215.602, -33.5576, 215.602, -153.558, 215.6, 86.4421, 1.97971E-010, 89.5462, 33.1314, 124.312, 33.1314, 4.31126, 33.1314, -115.688, 0.000337913, 99.2917
10, 0.00000, 214.029, -33.8984, 214.028, -153.899, 214.026, 86.1013, 2.40211E-010, 89.7023, 36.4624, 123.798, 36.4624, 3.79691, 36.4624, -116.202, 0.000409253, 99.6246
11, 0.00000, 213.544, -34.0018, 213.543, -154.003, 213.541, 85.9979, 2.54042E-010, 89.7362, 37.4803, 123.637, 37.4803, 3.63661, 37.4802, -116.363, 0.000432774, 99.6723
