hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 215.715, -33.6579, 215.714, -153.659, 215.712, 86.3419, 2.30123E-010, 89.9794, 37.76, 123.995, 37.7599, 3.99426, 37.7599, -116.005, 0.000397393, 100.337
2, 0.00000, 217.084, -33.3416, 217.083, -153.342, 217.081, 86.6582, 1.90272E-010, 89.8576, 34.3856, 124.428, 34.3856, 4.42722, 34.3856, -115.572, 0.000329949, 100.108
3, 0.00000, 218.025, -33.1208, 218.024, -153.121, 218.022, 86.879, 1.64675E-010, 89.8234, 32.044, 124.719, 32.044, 4.71889, 32.0439, -115.281, 0.000286856, 99.9411
4, 0.00000, 218.217, -33.0757, 218.217, -153.076, 218.215, 86.9241, 1.60062E-010, 89.7162, 31.5639, 124.782, 31.5639, 4.7817, 31.5639, -115.218, 0.000278722, 99.9048
5, 0.00000, 218.345, -33.0459, 218.344, -153.047, 218.342, 86.9539, 1.56685E-010, 89.6718, 31.2472, 124.825, 31.2472, 4.82431, 31.2472, -115.175, 0.000273088, 99.8841
6, 0.00000, 217.773, -33.1815, 217.773, -153.182, 217.771, 86.8183, 1.71391E-010, 89.8851, 32.6783, 124.655, 32.6783, 4.65479, 32.6783, -115.345, 0.00029793, 100.052
7, 0.00000, 216.856, -33.396, 216.856, -153.397, 216.854, 86.6038, 1.96489E-010, 89.9438, 34.9563, 124.368, 34.9563, 4.36752, 34.9562, -115.632, 0.000340502, 100.232
8, 0.00000, 217.23, -33.3091, 217.229, -153.31, 217.227, 86.6907, 1.86202E-010, 89.8511, 34.0315, 124.487, 34.0315, 4.48595, 34.0315, -115.513, 0.000323082, 100.11
9, 0.00000, 216.324, -33.5145, 216.323, -153.515, 216.321, 86.4853, 2.11397E-010, 90.0247, 36.2464, 124.161, 36.2464, 4.1607, 36.2463, -115.839, 0.000365896, 100.356
10, 0.00000, 214.822, -33.8516, 214.822, -153.852, 214.82, 86.1482, 2.57101E-010, 90.1961, 39.8925, 123.642, 39.8925, 3.64091, 39.8924, -116.358, 0.00044308, 100.607
11, 0.00000, 214.359, -33.9539, 214.358, -153.955, 214.356, 86.0459, 2.71955E-010, 90.2087, 41.0066, 123.479, 41.0065, 3.47871, 41.0065, -116.521, 0.000468499, 100.634
12, 0.00000, 212.933, -34.2738, 212.932, -154.275, 212.929, 85.726, 3.20772E-010, 90.2553, 44.4559, 123.037, 44.4559, 3.03583, 44.4559, -116.963, 0.000551438, 100.753
13, 0.00000, 211.72, -34.5366, 211.719, -154.538, 211.717, 85.4631, 3.65103E-010, 90.2969, 47.3356, 122.631, 47.3356, 2.63026, 47.3355, -117.369, 0.000626455, 100.832
14, 0.00000, 212.788, -34.2986, 212.787, -154.299, 212.785, 85.7012, 3.25638E-010, 90.2601, 44.7673, 122.946, 44.7673, 2.94519, 44.7672, -117.054, 0.00055961, 100.751
15, 0.00000, 212.412, -34.3785, 212.411, -154.379, 212.409, 85.6212, 3.38995E-010, 90.3137, 45.6537, 122.809, 45.6537, 2.80835, 45.6536, -117.191, 0.000581951, 100.833
16, 0.00000, 212.683, -34.3185, 212.682, -154.319, 212.68, 85.6812, 3.29089E-010, 90.2864, 45.0033, 122.893, 45.0032, 2.89198, 45.0032, -117.107, 0.000565354, 100.805
17, 0.00000, 212.217, -34.4243, 212.216, -154.425, 212.214, 85.5755, 3.46476E-010, 90.2972, 46.1339, 122.766, 46.1339, 2.76497, 46.1338, -117.234, 0.000594535, 100.822
18, 0.00000, 211.122, -34.6698, 211.121, -154.671, 211.119, 85.33, 3.88591E-010, 90.2784, 48.7703, 122.46, 48.7703, 2.45905, 48.7702, -117.54, 0.000665952, 100.826
19, 0.00000, 206.961, -35.5084, 206.96, -155.509, 206.957, 84.4913, 5.60194E-010, 90.6169, 58.2824, 121.109, 58.2824, 1.10832, 58.2823, -118.891, 0.00095736, 101.254
20, 0.00000, 206.117, -35.6635, 206.116, -155.665, 206.113, 84.3362, 5.97808E-010, 90.7568, 60.1533, 120.818, 60.1533, 0.816796, 60.1532, -119.182, 0.00102076, 101.409
21, 0.00000, 206.669, -35.5556, 206.668, -155.557, 206.665, 84.4442, 5.71953E-010, 90.7223, 58.89, 121.004, 58.89, 1.00314, 58.8899, -118.996, 0.000977226, 101.368
22, 0.00000, 208.219, -35.2688, 208.218, -155.27, 208.215, 84.7309, 5.06596E-010, 90.4051, 55.4801, 121.509, 55.48, 1.50814, 55.48, -118.491, 0.00086659, 101.033
23, 0.00000, 211.059, -34.6907, 211.058, -154.692, 211.056, 85.309, 3.91783E-010, 90.1931, 48.9554, 122.482, 48.9553, 2.4807, 48.9553, -117.518, 0.000671577, 100.743
24, 0.00000, 213.04, -34.2622, 213.039, -154.263, 213.037, 85.7376, 3.18543E-010, 90.0553, 44.2582, 123.148, 44.2582, 3.14737, 44.2582, -116.852, 0.000547523, 100.554
25, 0.00000, 215.716, -33.6583, 215.715, -153.659, 215.713, 86.3415, 2.30385E-010, 89.8834, 37.7613, 123.998, 37.7612, 3.99765, 37.7612, -116.002, 0.000397937, 100.269
26, 0.00000, 217.084, -33.3416, 217.083, -153.342, 217.081, 86.6582, 1.90271E-010, 89.8363, 34.3856, 124.428, 34.3856, 4.42722, 34.3856, -115.572, 0.00032996, 100.108
27, 0.00000, 218.025, -33.1208, 218.024, -153.121, 218.022, 86.879, 1.64733E-010, 89.7777, 32.044, 124.719, 32.044, 4.71889, 32.0439, -115.281, 0.000286859, 99.9414
28, 0.00000, 218.217, -33.0757, 218.217, -153.076, 218.215, 86.9241, 1.60068E-010, 89.7489, 31.5639, 124.782, 31.5639, 4.7817, 31.5639, -115.218, 0.000278723, 99.905
29, 0.00000, 218.345, -33.0459, 218.344, -153.047, 218.342, 86.9539, 1.56863E-010, 89.7716, 31.2472, 124.825, 31.2472, 4.82431, 31.2472, -115.175, 0.000273088, 99.8842
30, 0.00000, 217.773, -33.1815, 217.773, -153.182, 217.771, 86.8183, 1.71319E-010, 89.8448, 32.6783, 124.655, 32.6783, 4.65479, 32.6783, -115.345, 0.00029793, 100.052
31, 0.00000, 216.856, -33.396, 216.856, -153.397, 216.854, 86.6038, 1.96418E-010, 89.965, 34.9563, 124.368, 34.9563, 4.36752, 34.9562, -115.632, 0.000340502, 100.232
32, 0.00000, 217.23, -33.3091, 217.229, -153.31, 217.227, 86.6907, 1.86196E-010, 89.8436, 34.0315, 124.487, 34.0315, 4.48595, 34.0315, -115.513, 0.000323082, 100.11
