hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 220.869, -32.0571, 220.868, -152.058, 220.866, 87.9427, 8.93305E-011, 89.4707, 16.4861, 124.673, 16.4861, 4.67236, 16.486, -115.327, 0.000169278, 104.006
2, 0.00000, 221.758, -31.8859, 221.758, -151.887, 221.756, 88.1139, 7.28407E-011, 87.6054, 15.008, 125.014, 15.008, 5.01326, 15.008, -114.986, 0.000140816, 103.571
3, 0.00000, 222.369, -31.7656, 222.369, -151.766, 222.367, 88.2342, 6.24005E-011, 85.9299, 13.9829, 125.241, 13.9829, 5.24061, 13.9829, -114.759, 0.000122614, 103.262
4, 0.00000, 222.495, -31.741, 222.494, -151.742, 222.492, 88.2589, 6.03442E-011, 85.5742, 13.7724, 125.289, 13.7724, 5.28848, 13.7724, -114.711, 0.000119138, 103.19
5, 0.00000, 222.577, -31.7247, 222.577, -151.725, 222.575, 88.2751, 5.89802E-011, 85.2711, 13.6339, 125.324, 13.6339, 5.32343, 13.6339, -114.676, 0.000116774, 103.15
6, 0.00000, 222.206, -31.7988, 222.205, -151.799, 222.204, 88.201, 6.50723E-011, 86.3956, 14.2604, 125.197, 14.2604, 5.19663, 14.2603, -114.803, 0.000127349, 103.39
7, 0.00000, 221.61, -31.9155, 221.609, -151.916, 221.608, 88.0843, 7.54598E-011, 87.9805, 15.2577, 124.973, 15.2577, 4.972, 15.2577, -115.027, 0.000145346, 103.703
8, 0.00000, 221.853, -31.8683, 221.852, -151.869, 221.85, 88.1315, 7.11698E-011, 87.3186, 14.8528, 125.065, 14.8528, 5.06411, 14.8528, -114.935, 0.000137948, 103.541
9, 0.00000, 221.265, -31.9795, 221.264, -151.98, 221.262, 88.0204, 8.16228E-011, 88.798, 15.8232, 124.798, 15.8232, 4.7973, 15.8232, -115.202, 0.000156055, 103.907
10, 0.00000, 220.29, -32.1607, 220.289, -152.161, 220.287, 87.8391, 1.0048E-010, 90.5637, 17.4215, 124.372, 17.4215, 4.37136, 17.4215, -115.628, 0.000188546, 104.388
11, 0.00000, 219.99, -32.2154, 219.989, -152.216, 219.987, 87.7844, 1.0669E-010, 91.0119, 17.9102, 124.237, 17.9101, 4.23648, 17.9101, -115.763, 0.000199182, 104.499
12, 0.00000, 219.062, -32.3858, 219.061, -152.387, 219.059, 87.614, 1.26916E-010, 92.1927, 19.423, 123.884, 19.423, 3.8837, 19.423, -116.115, 0.000233943, 104.848
13, 0.00000, 218.274, -32.5245, 218.273, -152.525, 218.271, 87.4753, 1.45176E-010, 93.048, 20.6872, 123.549, 20.6872, 3.54869, 20.6872, -116.45, 0.000265246, 105.133
14, 0.00000, 218.969, -32.3985, 218.968, -152.399, 218.966, 87.6013, 1.28833E-010, 92.3, 19.5602, 123.797, 19.5602, 3.79608, 19.5602, -116.203, 0.000237277, 104.885
15, 0.00000, 218.725, -32.4407, 218.724, -152.442, 218.722, 87.5591, 1.34385E-010, 92.6122, 19.9496, 123.681, 19.9496, 3.68059, 19.9495, -116.319, 0.000246655, 105.018
16, 0.00000, 218.902, -32.4089, 218.901, -152.41, 218.898, 87.5909, 1.30255E-010, 92.4327, 19.6641, 123.748, 19.6641, 3.74738, 19.6641, -116.252, 0.000239703, 104.947
17, 0.00000, 218.598, -32.465, 218.597, -152.466, 218.595, 87.5348, 1.37445E-010, 92.6971, 20.16, 123.652, 20.16, 3.65099, 20.16, -116.348, 0.00025191, 105.04
18, 0.00000, 217.885, -32.5946, 217.884, -152.596, 217.881, 87.4052, 1.54797E-010, 93.3519, 21.3168, 123.416, 21.3168, 3.41479, 21.3167, -116.584, 0.000281691, 105.233
19, 0.00000, 215.18, -33.0248, 215.179, -153.026, 215.176, 86.975, 2.25426E-010, 95.5256, 25.4994, 122.276, 25.4994, 2.27526, 25.4993, -117.724, 0.00040269, 106.284
20, 0.00000, 214.634, -33.1018, 214.632, -153.103, 214.629, 86.898, 2.40776E-010, 95.9364, 26.3239, 122.019, 26.3239, 2.01822, 26.3238, -117.981, 0.000428959, 106.548
21, 0.00000, 214.991, -33.0476, 214.99, -153.049, 214.987, 86.9522, 2.30202E-010, 95.7143, 25.7673, 122.18, 25.7673, 2.17886, 25.7672, -117.82, 0.000410982, 106.416
22, 0.00000, 215.998, -32.9041, 215.996, -152.905, 215.994, 87.0956, 2.03436E-010, 94.886, 24.266, 122.619, 24.266, 2.61769, 24.2659, -117.381, 0.000364977, 105.91
23, 0.00000, 217.843, -32.6061, 217.842, -152.607, 217.839, 87.3937, 1.56103E-010, 93.3216, 21.3971, 123.446, 21.397, 3.44477, 21.397, -116.554, 0.000283996, 105.174
24, 0.00000, 219.13, -32.3804, 219.129, -152.381, 219.126, 87.6194, 1.25968E-010, 91.9756, 19.3348, 123.996, 19.3348, 3.99567, 19.3347, -116.003, 0.000232196, 104.665
25, 0.00000, 220.869, -32.0573, 220.868, -152.058, 220.866, 87.9425, 8.93592E-011, 89.4703, 16.4865, 124.675, 16.4865, 4.67449, 16.4865, -115.325, 0.00016943, 103.954
26, 0.00000, 221.758, -31.8859, 221.758, -151.887, 221.756, 88.1139, 7.28687E-011, 87.6014, 15.008, 125.014, 15.008, 5.01326, 15.008, -114.986, 0.000140819, 103.571
27, 0.00000, 222.369, -31.7656, 222.369, -151.766, 222.367, 88.2342, 6.23903E-011, 85.9733, 13.9829, 125.241, 13.9829, 5.24061, 13.9829, -114.759, 0.000122615, 103.262
28, 0.00000, 222.495, -31.741, 222.494, -151.742, 222.492, 88.2589, 6.0401E-011, 85.5717, 13.7724, 125.289, 13.7724, 5.28848, 13.7724, -114.711, 0.000119138, 103.19
29, 0.00000, 222.577, -31.7247, 222.577, -151.725, 222.575, 88.2751, 5.90189E-011, 85.2181, 13.6339, 125.324, 13.6339, 5.32343, 13.6339, -114.676, 0.000116774, 103.15
30, 0.00000, 222.206, -31.7988, 222.205, -151.799, 222.204, 88.201, 6.49778E-011, 86.4459, 14.2604, 125.197, 14.2604, 5.19663, 14.2603, -114.803, 0.000127349, 103.39
31, 0.00000, 221.61, -31.9155, 221.609, -151.916, 221.608, 88.0843, 7.54229E-011, 88.0179, 15.2577, 124.973, 15.2577, 4.972, 15.2577, -115.027, 0.000145346, 103.703
32, 0.00000, 221.853, -31.8683, 221.852, -151.869, 221.85, 88.1315, 7.131E-011, 87.4023, 14.8528, 125.065, 14.8528, 5.06411, 14.8528, -114.935, 0.000137948, 103.541
33, 0.00000, 221.265, -31.9795, 221.264, -151.98, 221.262, 88.0204, 8.16099E-011, 88.7312, 15.8232, 124.798, 15.8232, 4.7973, 15.8232, -115.202, 0.000156055, 103.907
34, 0.00000, 220.29, -32.1607, 220.289, -152.161, 220.287, 87.8391, 1.0061E-010, 90.5656, 17.4215, 124.372, 17.4215, 4.37136, 17.4215, -115.628, 0.000188546, 104.388
35, 0.00000, 219.99, -32.2154, 219.989, -152.216, 219.987, 87.7844, 1.06702E-010, 91.005, 17.9102, 124.237, 17.9101, 4.23648, 17.9101, -115.763, 0.000199182, 104.499
36, 0.00000, 219.062, -32.3858, 219.061, -152.387, 219.059, 87.614, 1.26891E-010, 92.2007, 19.423, 123.884, 19.423, 3.8837, 19.423, -116.115, 0.000233943, 104.848
37, 0.00000, 218.274, -32.5245, 218.273, -152.525, 218.271, 87.4753, 1.45217E-010, 93.0424, 20.6872, 123.549, 20.6872, 3.54869, 20.6872, -116.45, 0.000265246, 105.133
38, 0.00000, 218.969, -32.3985, 218.968, -152.399, 218.966, 87.6013, 1.28921E-010, 92.3042, 19.5602, 123.797, 19.5602, 3.79608, 19.5602, -116.203, 0.000237277, 104.885
39, 0.00000, 218.725, -32.4407, 218.724, -152.442, 218.722, 87.5591, 1.34284E-010, 92.5817, 19.9496, 123.681, 19.9496, 3.68059, 19.9495, -116.319, 0.000246655, 105.018
40, 0.00000, 218.902, -32.4089, 218.901, -152.41, 218.898, 87.5909, 1.30349E-010, 92.4156, 19.6641, 123.748, 19.6641, 3.74738, 19.6641, -116.252, 0.000239703, 104.947
41, 0.00000, 218.598, -32.465, 218.597, -152.466, 218.595, 87.5348, 1.37314E-010, 92.6977, 20.16, 123.652, 20.16, 3.65099, 20.16, -116.348, 0.00025191, 105.04
42, 0.00000, 217.885, -32.5946, 217.884, -152.596, 217.881, 87.4052, 1.54712E-010, 93.3797, 21.3168, 123.416, 21.3168, 3.41479, 21.3167, -116.584, 0.000281691, 105.233
43, 0.00000, 215.18, -33.0248, 215.179, -153.026, 215.176, 86.975, 2.25396E-010, 95.5257, 25.4994, 122.276, 25.4994, 2.27526, 25.4993, -117.724, 0.00040269, 106.284
44, 0.00000, 214.634, -33.1018, 214.632, -153.103, 214.629, 86.898, 2.40776E-010, 95.9364, 26.3239, 122.019, 26.3239, 2.01822, 26.3238, -117.981, 0.000428959, 106.548
45, 0.00000, 214.991, -33.0476, 214.99, -153.049, 214.987, 86.9522, 2.30202E-010, 95.7143, 25.7673, 122.18, 25.7673, 2.17886, 25.7672, -117.82, 0.000410982, 106.416
46, 0.00000, 215.998, -32.9041, 215.996, -152.905, 215.994, 87.0956, 2.03436E-010, 94.886, 24.266, 122.619, 24.266, 2.61769, 24.2659, -117.381, 0.000364977, 105.91
47, 0.00000, 217.843, -32.6061, 217.842, -152.607, 217.839, 87.3937, 1.56112E-010, 93.3129, 21.3971, 123.446, 21.397, 3.44477, 21.397, -116.554, 0.000283996, 105.174
48, 0.00000, 219.13, -32.3804, 219.129, -152.381, 219.126, 87.6194, 1.25982E-010, 91.9744, 19.3348, 123.996, 19.3348, 3.99567, 19.3347, -116.003, 0.000232196, 104.665
48, 0.00000, 219.13, -32.3804, 219.129, -152.381, 219.126, 87.6194, 1.25982E-010, 91.9744, 19.3348, 123.996, 19.3348, 3.99567, 19.3347, -116.003, 0.000232196, 104.665
