hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 213.418, -34.2086, 213.418, -154.209, 213.416, 85.7912, 1.91886E-010, 85.3655, 30.0674, 123.83, 30.0674, 3.82947, 30.0673, -116.17, 0.000322005, 98.0645
2, 0.00000, 214.997, -33.8417, 214.997, -153.842, 214.995, 86.1581, 1.59458E-010, 85.013, 27.3832, 124.29, 27.3832, 4.28954, 27.3831, -115.71, 0.000267324, 97.8265
3, 0.00000, 216.083, -33.5859, 216.082, -153.587, 216.08, 86.4139, 1.38834E-010, 84.7778, 25.5201, 124.601, 25.5201, 4.60006, 25.5201, -115.399, 0.000232387, 97.6436
4, 0.00000, 216.305, -33.5336, 216.304, -153.534, 216.303, 86.4662, 1.34946E-010, 84.7211, 25.1386, 124.668, 25.1386, 4.66748, 25.1386, -115.332, 0.000225818, 97.6077
5, 0.00000, 216.452, -33.4992, 216.451, -153.5, 216.45, 86.5006, 1.32322E-010, 84.6874, 24.8865, 124.713, 24.8865, 4.71215, 24.8865, -115.287, 0.000221236, 97.5828
6, 0.00000, 215.793, -33.6561, 215.792, -153.657, 215.79, 86.3436, 1.43953E-010, 84.9715, 26.0249, 124.53, 26.0249, 4.52951, 26.0249, -115.47, 0.000241297, 97.7659
7, 0.00000, 214.735, -33.9047, 214.734, -153.905, 214.732, 86.0951, 1.64485E-010, 85.1621, 27.8372, 124.224, 27.8372, 4.22381, 27.8371, -115.776, 0.000275788, 97.9611
8, 0.00000, 215.165, -33.804, 215.165, -153.805, 215.163, 86.1958, 1.56178E-010, 85.0347, 27.1015, 124.351, 27.1015, 4.35025, 27.1015, -115.649, 0.000261719, 97.8304
9, 0.00000, 214.12, -34.0421, 214.12, -154.043, 214.118, 85.9577, 1.76881E-010, 85.379, 28.8632, 124.009, 28.8632, 4.00798, 28.8631, -115.991, 0.00029638, 98.0895
10, 0.00000, 212.39, -34.4336, 212.389, -154.434, 212.387, 85.5662, 2.13856E-010, 85.6664, 31.7629, 123.462, 31.7629, 3.46131, 31.7629, -116.538, 0.000359014, 98.3403
11, 0.00000, 211.856, -34.5526, 211.855, -154.553, 211.853, 85.4472, 2.26009E-010, 85.7292, 32.649, 123.292, 32.649, 3.29152, 32.6489, -116.708, 0.000379715, 98.36
12, 0.00000, 210.212, -34.925, 210.211, -154.926, 210.209, 85.0747, 2.66077E-010, 85.8872, 35.3923, 122.823, 35.3922, 2.82252, 35.3922, -117.177, 0.000447152, 98.4585
13, 0.00000, 208.816, -35.2317, 208.815, -155.233, 208.813, 84.7681, 3.02265E-010, 85.9744, 37.6821, 122.398, 37.682, 2.39708, 37.682, -117.602, 0.000508282, 98.5091
14, 0.00000, 210.046, -34.954, 210.045, -154.955, 210.043, 85.0458, 2.69972E-010, 85.8725, 35.6397, 122.733, 35.6397, 2.73177, 35.6396, -117.267, 0.000453908, 98.4484
15, 0.00000, 209.613, -35.0472, 209.612, -155.048, 209.61, 84.9525, 2.8062E-010, 85.9595, 36.3442, 122.59, 36.3442, 2.58891, 36.3441, -117.41, 0.00047204, 98.5266
16, 0.00000, 209.925, -34.9772, 209.924, -154.978, 209.922, 85.0225, 2.7263E-010, 85.9296, 35.827, 122.678, 35.827, 2.67744, 35.8269, -117.322, 0.000458549, 98.5021
17, 0.00000, 209.388, -35.1006, 209.387, -155.101, 209.385, 84.8992, 2.86655E-010, 85.9417, 36.7263, 122.542, 36.7262, 2.54137, 36.7262, -117.458, 0.000482292, 98.5104
