hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 216.158, -33.3247, 216.158, -153.325, 216.156, 86.6751, 2.85706E-010, 90.7094, 49.1581, 124.279, 49.1581, 4.27798, 49.158, -115.721, 0.000483043, 101.553
2, 0.00000, 217.481, -33.0382, 217.481, -153.039, 217.479, 86.9616, 2.37633E-010, 90.5893, 44.763, 124.684, 44.763, 4.68391, 44.7629, -115.315, 0.000401105, 101.397
3, 0.00000, 218.392, -32.8381, 218.391, -152.839, 218.389, 87.1617, 2.06467E-010, 90.5027, 41.7142, 124.959, 41.7142, 4.95851, 41.7142, -115.041, 0.00034892, 101.259
4, 0.00000, 218.581, -32.7969, 218.58, -152.798, 218.579, 87.2029, 2.00808E-010, 90.4286, 41.0849, 125.013, 41.0849, 5.01219, 41.0849, -114.987, 0.000338584, 101.23
5, 0.00000, 218.704, -32.7701, 218.703, -152.771, 218.701, 87.2298, 1.96763E-010, 90.407, 40.6741, 125.055, 40.6741, 5.05492, 40.6741, -114.945, 0.000331979, 101.201
6, 0.00000, 218.463, -32.7672, 218.463, -152.768, 218.461, 87.2327, 2.14363E-010, 90.6772, 42.549, 125, 42.549, 4.99993, 42.5489, -114.999, 0.000361693, 101.46
7, 0.00000, 218.93, -32.3701, 218.93, -152.371, 218.928, 87.6298, 2.41705E-010, 91.6178, 45.5555, 125.196, 45.5554, 5.19515, 45.5554, -114.804, 0.000408469, 102.441
8, 0.00000, 221.046, -31.3263, 221.045, -151.327, 221.044, 88.6735, 2.26088E-010, 92.9822, 44.4028, 126.109, 44.4028, 6.10873, 44.4027, -113.891, 0.000381999, 103.782
9, 0.00000, 221.293, -30.7372, 221.292, -150.738, 221.29, 89.2626, 2.54281E-010, 94.2826, 47.3303, 126.471, 47.3303, 6.47088, 47.3302, -113.528, 0.000429321, 105.072
10, 0.00000, 220.528, -30.5074, 220.528, -150.508, 220.526, 89.4925, 3.0586E-010, 95.2299, 52.1156, 126.44, 52.1156, 6.43984, 52.1155, -113.559, 0.000517279, 106.072
11, 0.00000, 220.335, -30.3644, 220.335, -150.365, 220.333, 89.6355, 3.22746E-010, 95.6919, 53.5795, 126.493, 53.5795, 6.49257, 53.5794, -113.507, 0.000545765, 106.483
12, 0.00000, 219.039, -30.6828, 219.038, -150.684, 219.036, 89.317, 3.79109E-010, 95.7251, 58.0878, 126.03, 58.0878, 6.02917, 58.0877, -113.97, 0.000641341, 106.529
13, 0.00000, 217.594, -31.2678, 217.593, -151.269, 217.591, 88.732, 4.30534E-010, 95.2672, 61.837, 125.314, 61.837, 5.31359, 61.8369, -114.686, 0.000728608, 106.106
14, 0.00000, 218.017, -31.4972, 218.016, -151.498, 218.014, 88.5026, 3.86443E-010, 94.6075, 58.4571, 125.229, 58.457, 5.22823, 58.457, -114.771, 0.000653411, 105.433
15, 0.00000, 216.838, -32.1424, 216.837, -152.143, 216.835, 87.8574, 4.03971E-010, 93.8214, 59.5828, 124.604, 59.5827, 4.60281, 59.5826, -115.396, 0.000683543, 104.631
16, 0.00000, 215.992, -32.7112, 215.991, -152.712, 215.989, 87.2886, 3.95841E-010, 92.8901, 58.6903, 124.167, 58.6903, 4.16671, 58.6902, -115.832, 0.000669793, 103.707
17, 0.00000, 213.889, -33.5799, 213.888, -153.581, 213.885, 86.4199, 4.22239E-010, 91.7374, 60.1029, 123.438, 60.1028, 3.43678, 60.1028, -116.562, 0.00071442, 102.567
18, 0.00000, 211.726, -34.2388, 211.725, -154.24, 211.722, 85.761, 4.77394E-010, 91.087, 63.4965, 122.824, 63.4965, 2.8228, 63.4964, -117.176, 0.00080801, 101.911
