hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 214.826, -33.6853, 214.825, -153.686, 214.823, 86.3145, 1.3091E-010, 87.0121, 20.6044, 124.23, 20.6044, 4.22922, 20.6044, -115.77, 0.000219517, 99.2717
2, 0.00000, 216.273, -33.3672, 216.272, -153.368, 216.27, 86.6326, 1.08861E-010, 86.765, 18.7634, 124.653, 18.7633, 4.65231, 18.7633, -115.347, 0.000182172, 98.9754
3, 0.00000, 217.268, -33.1452, 217.268, -153.146, 217.266, 86.8546, 9.46177E-011, 86.5086, 17.4862, 124.94, 17.4862, 4.93914, 17.4862, -115.06, 0.00015841, 98.7194
4, 0.00000, 217.477, -33.0997, 217.476, -153.1, 217.474, 86.9001, 9.20002E-011, 86.465, 17.2224, 124.995, 17.2224, 4.99394, 17.2224, -115.005, 0.000153679, 98.6666
5, 0.00000, 217.61, -33.0699, 217.61, -153.07, 217.608, 86.9299, 9.01635E-011, 86.4663, 17.0504, 125.039, 17.0504, 5.03864, 17.0504, -114.961, 0.000150684, 98.6197
6, 0.00000, 217.459, -33.005, 217.459, -153.006, 217.457, 86.9948, 9.80715E-011, 86.8885, 17.8374, 125.039, 17.8373, 5.03888, 17.8373, -114.961, 0.000163983, 99.098
7, 0.00000, 218.452, -32.2795, 218.451, -152.28, 218.449, 87.7203, 1.09989E-010, 88.6155, 19.1033, 125.516, 19.1033, 5.51533, 19.1032, -114.484, 0.000184169, 100.858
8, 0.00000, 221.378, -30.6725, 221.377, -150.673, 221.376, 89.3273, 1.02239E-010, 91.0437, 18.6296, 126.919, 18.6296, 6.91885, 18.6296, -113.081, 0.00017102, 103.231
9, 0.00000, 222.028, -29.6635, 222.027, -149.664, 222.026, 90.3363, 1.1431E-010, 93.2122, 19.8633, 127.667, 19.8632, 7.66606, 19.8632, -112.333, 0.000191543, 105.487
10, 0.00000, 221.419, -29.1613, 221.418, -149.162, 221.416, 90.8385, 1.37392E-010, 94.9592, 21.8732, 127.894, 21.8732, 7.89359, 21.8732, -112.106, 0.000230505, 107.235
11, 0.00000, 221.29, -28.8949, 221.289, -148.896, 221.287, 91.1049, 1.45002E-010, 95.7037, 22.4884, 128.065, 22.4884, 8.06396, 22.4884, -111.935, 0.000243114, 107.953
12, 0.00000, 219.899, -29.2533, 219.897, -149.254, 219.895, 90.7465, 1.70266E-010, 95.8085, 24.3783, 127.569, 24.3783, 7.56859, 24.3783, -112.431, 0.00028584, 108.081
13, 0.00000, 218.232, -30.0533, 218.231, -150.054, 218.229, 89.9465, 1.9347E-010, 95.0902, 25.9471, 126.659, 25.9471, 6.65854, 25.9471, -113.341, 0.000325169, 107.349
14, 0.00000, 218.495, -30.5146, 218.494, -150.515, 218.491, 89.4852, 1.73809E-010, 93.8672, 24.5265, 126.357, 24.5264, 6.35634, 24.5264, -113.643, 0.000291924, 106.108
15, 0.00000, 216.931, -31.4928, 216.93, -151.494, 216.928, 88.507, 1.82376E-010, 92.451, 24.9923, 125.435, 24.9922, 5.43444, 24.9922, -114.565, 0.000306288, 104.685
16, 0.00000, 215.624, -32.4175, 215.623, -152.418, 215.621, 87.5823, 1.79377E-010, 90.7951, 24.611, 124.687, 24.611, 4.68631, 24.6109, -115.313, 0.000301338, 103.036
17, 0.00000, 212.741, -33.7535, 212.74, -153.754, 212.738, 86.2463, 1.92704E-010, 88.7895, 25.1928, 123.566, 25.1927, 3.56544, 25.1927, -116.434, 0.000323802, 101.04
18, 0.00000, 209.979, -34.7024, 209.978, -154.703, 209.976, 85.2973, 2.19037E-010, 87.6736, 26.6079, 122.724, 26.6079, 2.7235, 26.6079, -117.276, 0.000368426, 99.9301
19, 0.00000, 205.583, -35.5402, 205.582, -155.541, 205.579, 84.4595, 3.14556E-010, 88.3217, 31.7935, 121.409, 31.7935, 1.40805, 31.7935, -118.591, 0.000529676, 100.593
20, 0.00000, 204.698, -35.6953, 204.696, -155.696, 204.693, 84.3044, 3.35311E-010, 88.5108, 32.8128, 121.124, 32.8128, 1.12343, 32.8127, -118.875, 0.000564743, 100.771
21, 0.00000, 205.284, -35.5881, 205.283, -155.589, 205.28, 84.4117, 3.2115E-010, 88.4113, 32.1244, 121.305, 32.1244, 1.30375, 32.1243, -118.695, 0.000540822, 100.688
22, 0.00000, 206.918, -35.3025, 206.917, -155.304, 206.914, 84.6972, 2.84962E-010, 88.015, 30.266, 121.795, 30.266, 1.79439, 30.266, -118.205, 0.000479763, 100.269
23, 0.00000, 209.909, -34.7229, 209.908, -154.724, 209.905, 85.2768, 2.20901E-010, 87.6252, 26.7093, 122.747, 26.7093, 2.74598, 26.7092, -117.253, 0.00037155, 99.8814
24, 0.00000, 212, -34.2926, 211.999, -154.293, 211.997, 85.7072, 1.79988E-010, 87.4307, 24.1472, 123.398, 24.1472, 3.39711, 24.1471, -116.602, 0.000302467, 99.6575
25, 0.00000, 214.828, -33.6857, 214.828, -153.686, 214.826, 86.3141, 1.30956E-010, 87.05, 20.6039, 124.228, 20.6039, 4.22745, 20.6039, -115.772, 0.00021955, 99.2775
26, 0.00000, 216.273, -33.3672, 216.272, -153.368, 216.27, 86.6326, 1.08777E-010, 86.7336, 18.7633, 124.653, 18.7633, 4.65231, 18.7633, -115.347, 0.000182172, 98.9755
27, 0.00000, 217.268, -33.1452, 217.268, -153.146, 217.266, 86.8546, 9.47304E-011, 86.5448, 17.4862, 124.94, 17.4862, 4.93914, 17.4862, -115.06, 0.00015841, 98.7194
28, 0.00000, 217.477, -33.0997, 217.476, -153.1, 217.474, 86.9001, 9.19606E-011, 86.4776, 17.2224, 124.995, 17.2224, 4.99394, 17.2224, -115.005, 0.000153678, 98.6666
29, 0.00000, 217.61, -33.0699, 217.61, -153.07, 217.608, 86.9299, 9.01479E-011, 86.4142, 17.0504, 125.039, 17.0504, 5.03864, 17.0504, -114.961, 0.000150684, 98.6197
30, 0.00000, 217.459, -33.005, 217.459, -153.006, 217.457, 86.9948, 9.80915E-011, 86.8619, 17.8374, 125.039, 17.8373, 5.03888, 17.8373, -114.961, 0.000163983, 99.098
