hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 220.686, -32.5556, 220.686, -152.556, 220.684, 87.4443, 9.03723E-011, 90.4063, 18.2383, 124.644, 18.2383, 4.64394, 18.2383, -115.355, 0.000150855, 103.449
2, 0.00000, 221.597, -32.3368, 221.596, -152.337, 221.594, 87.663, 7.52161E-011, 90.1877, 16.6038, 125.027, 16.6038, 5.02635, 16.6038, -114.973, 0.000125515, 103.204
3, 0.00000, 222.221, -32.1839, 222.221, -152.184, 222.22, 87.8159, 6.56895E-011, 90.075, 15.4704, 125.284, 15.4704, 5.28354, 15.4704, -114.716, 0.000109327, 103.008
4, 0.00000, 222.351, -32.1524, 222.351, -152.153, 222.349, 87.8474, 6.37401E-011, 89.9941, 15.2366, 125.335, 15.2366, 5.33411, 15.2365, -114.665, 0.000106123, 102.967
5, 0.00000, 222.435, -32.1319, 222.435, -152.132, 222.433, 87.868, 6.25738E-011, 90.0005, 15.0838, 125.375, 15.0838, 5.37444, 15.0838, -114.625, 0.000104067, 102.931
6, 0.00000, 222.249, -32.146, 222.248, -152.146, 222.247, 87.8539, 6.81456E-011, 90.1611, 15.7796, 125.296, 15.7796, 5.296, 15.7796, -114.703, 0.000113423, 103.141
7, 0.00000, 222.468, -31.9189, 222.467, -151.919, 222.466, 88.081, 7.71221E-011, 90.7349, 16.8927, 125.343, 16.8926, 5.34292, 16.8926, -114.657, 0.000128554, 103.784
8, 0.00000, 223.765, -31.2433, 223.764, -151.244, 223.763, 88.7566, 7.26806E-011, 91.449, 16.4572, 125.967, 16.4572, 5.96642, 16.4572, -114.033, 0.000121028, 104.454
9, 0.00000, 223.814, -30.8926, 223.814, -150.893, 223.812, 89.1073, 8.17357E-011, 92.2458, 17.5403, 126.107, 17.5403, 6.10645, 17.5403, -113.893, 0.000136371, 105.271
10, 0.00000, 223.208, -30.7881, 223.208, -150.789, 223.206, 89.2117, 9.8459E-011, 92.8701, 19.3162, 125.933, 19.3162, 5.93216, 19.3162, -114.067, 0.000164321, 105.994
11, 0.00000, 223.041, -30.71, 223.04, -150.711, 223.038, 89.2898, 1.03761E-010, 93.1783, 19.8593, 125.917, 19.8593, 5.91658, 19.8593, -114.083, 0.00017339, 106.27
12, 0.00000, 222.152, -30.9526, 222.151, -150.953, 222.15, 89.0473, 1.21659E-010, 93.2394, 21.5365, 125.488, 21.5365, 5.48695, 21.5364, -114.512, 0.00020335, 106.431
13, 0.00000, 221.206, -31.3571, 221.205, -151.358, 221.203, 88.6427, 1.37715E-010, 93.1188, 22.9342, 124.9, 22.9342, 4.89961, 22.9342, -115.1, 0.000230357, 106.332
14, 0.00000, 221.565, -31.4734, 221.564, -151.474, 221.562, 88.5264, 1.23577E-010, 92.7225, 21.6795, 124.937, 21.6795, 4.93612, 21.6795, -115.063, 0.000206531, 105.892
15, 0.00000, 220.84, -31.8931, 220.839, -151.894, 220.837, 88.1068, 1.288E-010, 92.3244, 22.103, 124.49, 22.103, 4.48967, 22.103, -115.51, 0.000215322, 105.509
16, 0.00000, 220.356, -32.2466, 220.356, -152.247, 220.354, 87.7532, 1.25684E-010, 91.8247, 21.7761, 124.234, 21.7761, 4.23311, 21.7761, -115.766, 0.000210265, 104.991
17, 0.00000, 219.036, -32.8084, 219.035, -152.809, 219.033, 87.1914, 1.33121E-010, 91.2176, 22.3088, 123.729, 22.3087, 3.72853, 22.3087, -116.271, 0.000222745, 104.411
18, 0.00000, 217.621, -33.252, 217.62, -153.253, 217.618, 86.7478, 1.4963E-010, 90.9065, 23.5764, 123.248, 23.5764, 3.24776, 23.5763, -116.751, 0.000250384, 104.134
19, 0.00000, 214.842, -33.8277, 214.841, -153.829, 214.839, 86.1721, 2.12944E-010, 91.4732, 28.1951, 121.982, 28.1951, 1.98136, 28.1951, -118.018, 0.000356826, 104.759
