hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 215.66, -33.5002, 215.66, -153.501, 215.658, 86.4995, 3.75096E-010, 90.8337, 61.4022, 123.913, 61.4022, 3.91276, 61.4021, -116.087, 0.000646755, 100.558
2, 0.00000, 217.032, -33.1987, 217.031, -153.199, 217.029, 86.8011, 3.10346E-010, 90.4714, 55.9123, 124.33, 55.9123, 4.32933, 55.9122, -115.67, 0.00053659, 100.317
3, 0.00000, 217.975, -32.9882, 217.974, -152.989, 217.973, 87.0116, 2.6911E-010, 90.1811, 52.1044, 124.612, 52.1044, 4.61134, 52.1043, -115.388, 0.000466477, 100.107
4, 0.00000, 218.172, -32.9451, 218.172, -152.946, 218.17, 87.0547, 2.60697E-010, 90.0963, 51.3177, 124.666, 51.3176, 4.66505, 51.3176, -115.334, 0.00045251, 100.064
5, 0.00000, 218.299, -32.9168, 218.298, -152.917, 218.297, 87.083, 2.55832E-010, 90.0438, 50.8048, 124.71, 50.8048, 4.70923, 50.8047, -115.29, 0.000443672, 100.025
6, 0.00000, 218.193, -32.8497, 218.193, -152.85, 218.191, 87.1501, 2.79115E-010, 90.573, 53.1523, 124.707, 53.1523, 4.70621, 53.1523, -115.293, 0.000482888, 100.465
7, 0.00000, 219.3, -32.1351, 219.3, -152.136, 219.298, 87.8647, 3.13572E-010, 92.3317, 56.9338, 125.158, 56.9338, 5.15743, 56.9337, -114.842, 0.000542252, 102.149
8, 0.00000, 222.315, -30.5643, 222.315, -150.565, 222.313, 89.4356, 2.90278E-010, 94.6348, 55.5312, 126.516, 55.5312, 6.51515, 55.5311, -113.484, 0.000503153, 104.492
9, 0.00000, 223.108, -29.5679, 223.108, -149.569, 223.106, 90.432, 3.25484E-010, 96.87, 59.2204, 127.233, 59.2203, 7.23255, 59.2202, -112.767, 0.000563297, 106.672
10, 0.00000, 222.647, -29.064, 222.646, -149.065, 222.644, 90.9358, 3.92799E-010, 98.6768, 65.2256, 127.443, 65.2255, 7.44254, 65.2254, -112.557, 0.000677687, 108.34
11, 0.00000, 222.573, -28.7989, 222.572, -148.8, 222.57, 91.201, 4.14314E-010, 99.407, 67.0649, 127.605, 67.0649, 7.60465, 67.0648, -112.395, 0.000714624, 109.032
12, 0.00000, 221.255, -29.1414, 221.254, -149.142, 221.251, 90.8585, 4.8766E-010, 99.6086, 72.7067, 127.115, 72.7066, 7.11422, 72.7065, -112.885, 0.00084025, 109.123
13, 0.00000, 219.61, -29.9193, 219.609, -149.92, 219.607, 90.0805, 5.56094E-010, 98.904, 77.3872, 126.221, 77.3871, 6.22003, 77.387, -113.779, 0.00095613, 108.382
14, 0.00000, 219.76, -30.3798, 219.759, -150.381, 219.757, 89.62, 4.98877E-010, 97.6359, 73.1404, 125.933, 73.1403, 5.93275, 73.1402, -114.066, 0.000858754, 107.183
15, 0.00000, 218.148, -31.3368, 218.146, -151.338, 218.144, 88.663, 5.23814E-010, 96.2686, 74.5233, 125.037, 74.5232, 5.03607, 74.5231, -114.963, 0.000901438, 105.78
16, 0.00000, 216.754, -32.2437, 216.753, -152.245, 216.751, 87.7561, 5.15636E-010, 94.6336, 73.3759, 124.317, 73.3759, 4.31601, 73.3758, -115.683, 0.000887293, 104.171
17, 0.00000, 213.812, -33.5455, 213.811, -153.546, 213.809, 86.4543, 5.54796E-010, 92.7223, 75.0985, 123.237, 75.0985, 3.23623, 75.0984, -116.763, 0.00095392, 102.212
18, 0.00000, 211.064, -34.4631, 211.063, -154.464, 211.061, 85.5367, 6.323E-010, 91.6717, 79.3112, 122.424, 79.3112, 2.42347, 79.3111, -117.576, 0.0010856, 101.116
19, 0.00000, 206.893, -35.2543, 206.892, -155.255, 206.889, 84.7454, 9.1056E-010, 92.3771, 94.7872, 121.118, 94.7871, 1.11671, 94.7869, -118.882, 0.00156048, 101.726
20, 0.00000, 206.052, -35.4, 206.05, -155.401, 206.048, 84.5997, 9.71094E-010, 92.5569, 97.8307, 120.834, 97.8307, 0.833048, 97.8305, -119.166, 0.00166341, 101.902
21, 0.00000, 206.61, -35.2995, 206.608, -155.301, 206.606, 84.7003, 9.29996E-010, 92.4597, 95.7756, 121.013, 95.7756, 1.01197, 95.7754, -118.987, 0.00159335, 101.817
22, 0.00000, 208.159, -35.0301, 208.158, -155.031, 208.155, 84.9697, 8.24375E-010, 92.0462, 90.2277, 121.503, 90.2277, 1.5016, 90.2275, -118.497, 0.00141342, 101.424
23, 0.00000, 210.997, -34.4824, 210.996, -154.483, 210.994, 85.5174, 6.3728E-010, 91.6192, 79.6124, 122.448, 79.6123, 2.44748, 79.6122, -117.552, 0.00109478, 101.067
24, 0.00000, 212.981, -34.0753, 212.98, -154.076, 212.978, 85.9245, 5.18215E-010, 91.3553, 71.9683, 123.093, 71.9683, 3.09221, 71.9682, -116.907, 0.000891283, 100.874
25, 0.00000, 215.663, -33.5006, 215.662, -153.501, 215.66, 86.4992, 3.74845E-010, 90.8632, 61.4006, 123.912, 61.4006, 3.91097, 61.4005, -116.088, 0.000646848, 100.564
26, 0.00000, 217.032, -33.1987, 217.031, -153.199, 217.029, 86.8011, 3.10189E-010, 90.5143, 55.9123, 124.33, 55.9123, 4.32933, 55.9122, -115.67, 0.00053659, 100.317
27, 0.00000, 217.975, -32.9882, 217.974, -152.989, 217.973, 87.0116, 2.68961E-010, 90.161, 52.1044, 124.612, 52.1044, 4.61134, 52.1043, -115.388, 0.000466477, 100.107
28, 0.00000, 218.172, -32.9451, 218.172, -152.946, 218.17, 87.0547, 2.60873E-010, 90.0995, 51.3177, 124.666, 51.3176, 4.66505, 51.3176, -115.334, 0.00045251, 100.064
29, 0.00000, 218.299, -32.9168, 218.298, -152.917, 218.297, 87.083, 2.55557E-010, 90.0265, 50.8048, 124.71, 50.8048, 4.70923, 50.8047, -115.29, 0.000443672, 100.025
30, 0.00000, 218.193, -32.8497, 218.193, -152.85, 218.191, 87.1501, 2.78794E-010, 90.5271, 53.1523, 124.707, 53.1523, 4.70621, 53.1523, -115.293, 0.000482888, 100.465
31, 0.00000, 219.3, -32.1351, 219.3, -152.136, 219.298, 87.8647, 3.13422E-010, 92.3288, 56.9338, 125.158, 56.9338, 5.15743, 56.9337, -114.842, 0.000542252, 102.149
32, 0.00000, 222.315, -30.5643, 222.315, -150.565, 222.313, 89.4356, 2.90571E-010, 94.6541, 55.5312, 126.516, 55.5312, 6.51515, 55.5311, -113.484, 0.000503153, 104.492
33, 0.00000, 223.108, -29.5679, 223.108, -149.569, 223.106, 90.432, 3.25365E-010, 96.9197, 59.2204, 127.233, 59.2203, 7.23255, 59.2202, -112.767, 0.000563297, 106.672
34, 0.00000, 222.647, -29.064, 222.646, -149.065, 222.644, 90.9358, 3.92688E-010, 98.6934, 65.2256, 127.443, 65.2255, 7.44254, 65.2254, -112.557, 0.000677687, 108.34
35, 0.00000, 222.573, -28.7989, 222.572, -148.8, 222.57, 91.201, 4.14361E-010, 99.4074, 67.0649, 127.605, 67.0649, 7.60465, 67.0648, -112.395, 0.000714624, 109.032
36, 0.00000, 221.255, -29.1414, 221.254, -149.142, 221.251, 90.8585, 4.88157E-010, 99.5742, 72.7067, 127.115, 72.7066, 7.11422, 72.7065, -112.885, 0.00084025, 109.123
37, 0.00000, 219.61, -29.9193, 219.609, -149.92, 219.607, 90.0805, 5.55647E-010, 98.8925, 77.3872, 126.221, 77.3871, 6.22003, 77.387, -113.779, 0.00095613, 108.382
38, 0.00000, 219.76, -30.3798, 219.759, -150.381, 219.757, 89.62, 4.98681E-010, 97.6302, 73.1404, 125.933, 73.1403, 5.93275, 73.1402, -114.066, 0.000858754, 107.183
39, 0.00000, 218.148, -31.3368, 218.146, -151.338, 218.144, 88.663, 5.24186E-010, 96.2474, 74.5233, 125.037, 74.5232, 5.03607, 74.5231, -114.963, 0.000901438, 105.78
40, 0.00000, 216.754, -32.2437, 216.753, -152.245, 216.751, 87.7561, 5.15857E-010, 94.6573, 73.3759, 124.317, 73.3759, 4.31601, 73.3758, -115.683, 0.000887293, 104.171
41, 0.00000, 213.812, -33.5455, 213.811, -153.546, 213.809, 86.4543, 5.54615E-010, 92.7137, 75.0985, 123.237, 75.0985, 3.23623, 75.0984, -116.763, 0.00095392, 102.212
42, 0.00000, 211.064, -34.4631, 211.063, -154.464, 211.061, 85.5367, 6.32168E-010, 91.6597, 79.3112, 122.424, 79.3112, 2.42347, 79.3111, -117.576, 0.0010856, 101.116
43, 0.00000, 206.893, -35.2543, 206.892, -155.255, 206.889, 84.7454, 9.10334E-010, 92.3791, 94.7872, 121.118, 94.7871, 1.11671, 94.7869, -118.882, 0.00156048, 101.726
44, 0.00000, 206.052, -35.4, 206.05, -155.401, 206.048, 84.5997, 9.7075E-010, 92.562, 97.8307, 120.834, 97.8307, 0.833048, 97.8305, -119.166, 0.00166341, 101.902
45, 0.00000, 206.61, -35.2995, 206.608, -155.301, 206.606, 84.7003, 9.29614E-010, 92.4705, 95.7756, 121.013, 95.7756, 1.01197, 95.7754, -118.987, 0.00159335, 101.817
46, 0.00000, 208.159, -35.0301, 208.158, -155.031, 208.155, 84.9697, 8.24173E-010, 92.0466, 90.2277, 121.503, 90.2277, 1.5016, 90.2275, -118.497, 0.00141342, 101.424
47, 0.00000, 210.997, -34.4824, 210.996, -154.483, 210.994, 85.5174, 6.37685E-010, 91.6125, 79.6124, 122.448, 79.6123, 2.44748, 79.6122, -117.552, 0.00109478, 101.067
48, 0.00000, 212.981, -34.0753, 212.98, -154.076, 212.978, 85.9245, 5.18121E-010, 91.3295, 71.9683, 123.093, 71.9683, 3.09221, 71.9682, -116.907, 0.000891283, 100.874
48, 0.00000, 212.981, -34.0753, 212.98, -154.076, 212.978, 85.9245, 5.18121E-010, 91.3295, 71.9683, 123.093, 71.9683, 3.09221, 71.9682, -116.907, 0.000891283, 100.874
