hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 215.268, -33.786, 215.267, -153.787, 215.266, 86.2138, 4.45801E-010, 89.2423, 77.6717, 123.765, 77.6717, 3.76424, 77.6716, -116.235, 0.000756865, 100.396
2, 0.00000, 216.672, -33.4595, 216.671, -153.46, 216.669, 86.5404, 3.71054E-010, 89.1508, 70.7281, 124.207, 70.7281, 4.20639, 70.728, -115.793, 0.000628799, 100.34
3, 0.00000, 217.638, -33.23, 217.638, -153.231, 217.636, 86.7698, 3.24351E-010, 89.1141, 65.9074, 124.504, 65.9073, 4.5034, 65.9073, -115.496, 0.00054732, 100.278
4, 0.00000, 217.847, -33.1767, 217.847, -153.177, 217.845, 86.8232, 3.13081E-010, 89.2503, 64.9189, 124.564, 64.9189, 4.56392, 64.9188, -115.436, 0.000531225, 100.263
5, 0.00000, 217.953, -33.1567, 217.953, -153.157, 217.951, 86.8431, 3.08472E-010, 88.9557, 64.2765, 124.596, 64.2765, 4.59587, 64.2764, -115.404, 0.000520879, 100.217
6, 0.00000, 217.874, -32.81, 217.874, -152.811, 217.872, 87.1899, 2.12254E-010, 89.6472, 56.8319, 120.501, 56.8319, 0.500289, 56.8317, -119.499, 0.000359358, 101.209
7, 0.00000, 219.121, -30.7585, 219.12, -150.759, 219.118, 89.2414, 3.45298E-010, -84.7909, 27.7663, 64.247, 27.7662, -55.754, 27.7659, -175.754, 0.000586351, -74.3266
8, 0.00000, 222.208, -27.1306, 222.208, -147.131, 222.206, 92.8694, 1.24585E-009, -78.2828, 86.2261, -8.65988, 86.2265, -128.661, 86.2275, 111.34, 0.00211608, -67.4929
9, 0.00000, 222.966, -24.5328, 222.965, -144.533, 222.963, 95.4672, 2.05132E-009, -72.7978, 145.664, -12.8925, 145.664, -132.893, 145.666, 107.107, 0.00348184, -61.9672
10, 0.00000, 222.423, -22.8836, 222.422, -142.884, 222.42, 97.1165, 2.78325E-009, -68.8022, 184.393, -12.6594, 184.394, -132.66, 184.396, 107.34, 0.00472295, -57.9928
11, 0.00000, 222.308, -22.1189, 222.307, -142.12, 222.306, 97.8812, 3.10747E-009, -67.0831, 202.01, -12.4949, 202.011, -132.496, 202.013, 107.505, 0.00527342, -56.2685
12, 0.00000, 222.689, -21.3766, 222.688, -141.377, 222.686, 98.6235, 3.23172E-009, -65.6494, 192.661, -10.2663, 192.662, -130.267, 192.664, 109.733, 0.0054857, -54.8344
13, 0.00000, 220.875, -23.0749, 220.873, -143.076, 220.871, 96.9252, 2.95073E-009, -68.3118, 160.322, -8.75235, 160.323, -128.753, 160.325, 111.247, 0.00500653, -57.4702
14, 0.00000, 220.853, -24.6782, 220.852, -144.679, 220.85, 95.3219, 2.30665E-009, -71.6923, 128.218, -7.8147, 128.219, -127.816, 128.221, 112.185, 0.00391335, -60.8922
15, 0.00000, 218.802, -27.1291, 218.801, -147.13, 218.799, 92.8708, 1.65801E-009, -76.1195, 82.7939, -0.00516345, 82.7945, -120.006, 82.7957, 119.994, 0.00281317, -65.3101
16, 0.00000, 216.796, -29.6887, 216.795, -149.689, 216.793, 90.3112, 9.04476E-010, -81.048, 42.9693, 29.201, 42.9694, -90.8004, 42.9697, 149.199, 0.00153578, -70.2152
17, 0.00000, 213.444, -32.865, 213.443, -152.866, 213.441, 87.1348, 7.64299E-011, 92.22, 60.516, 109.166, 60.5157, -10.8348, 60.5152, -130.834, 0.000128612, 103.86
18, 0.00000, 210.537, -34.8408, 210.536, -154.842, 210.533, 85.159, 7.4294E-010, 89.4324, 100.317, 122.199, 100.317, 2.19831, 100.317, -117.801, 0.00126313, 100.415
19, 0.00000, 206.317, -35.7262, 206.316, -155.727, 206.313, 84.2736, 1.06918E-009, 89.4099, 119.886, 120.815, 119.885, 0.814477, 119.885, -119.184, 0.00181379, 100.301
20, 0.00000, 205.439, -35.9026, 205.438, -155.904, 205.435, 84.0972, 1.14158E-009, 89.4089, 123.733, 120.503, 123.733, 0.502373, 123.733, -119.497, 0.00193509, 100.295
21, 0.00000, 206.01, -35.7861, 206.009, -155.787, 206.007, 84.2136, 1.09198E-009, 89.3653, 121.14, 120.686, 121.14, 0.685011, 121.139, -119.314, 0.00185327, 100.305
22, 0.00000, 207.557, -35.4783, 207.556, -155.479, 207.554, 84.5215, 9.65217E-010, 89.3304, 114.119, 121.225, 114.119, 1.22422, 114.119, -118.775, 0.00164049, 100.319
