hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 217.225, -31.4868, 217.224, -151.488, 217.222, 88.513, 5.31437E-010, -84.6419, 33.4968, 55.9205, 33.4967, -64.0807, 33.4964, 175.919, 0.000904553, -75.5068
2, 0.00000, 218.428, -31.3966, 218.427, -151.397, 218.425, 88.6032, 4.38322E-010, -85.1179, 30.2852, 57.562, 30.2851, -62.4391, 30.2849, 177.56, 0.00074395, -76.1265
3, 0.00000, 219.261, -31.3222, 219.261, -151.323, 219.259, 88.6777, 3.79836E-010, -85.6617, 28.1162, 58.3262, 28.1161, -61.6748, 28.1159, 178.325, 0.000646232, -76.5669
4, 0.00000, 219.464, -31.2715, 219.463, -151.272, 219.461, 88.7283, 3.81165E-010, -85.2934, 27.7218, 56.4098, 27.7218, -63.5912, 27.7216, 176.408, 0.000646316, -76.6085
5, 0.00000, 219.509, -31.3236, 219.509, -151.324, 219.507, 88.6762, 3.5177E-010, -85.3971, 27.4374, 60.2572, 27.4373, -59.7437, 27.4371, -179.744, 0.000599956, -76.8031
6, 0.00000, 219.169, -31.314, 219.168, -151.315, 219.167, 88.6858, 3.81797E-010, -85.2392, 28.7022, 60.9383, 28.7021, -59.0627, 28.7019, -179.063, 0.000645344, -76.4127
7, 0.00000, 219.15, -30.9953, 219.149, -150.996, 219.147, 89.0045, 4.43594E-010, -84.1686, 30.9141, 58.9671, 30.914, -61.034, 30.9137, 178.965, 0.000756129, -75.386
8, 0.00000, 220.52, -30.3683, 220.52, -150.369, 220.518, 89.6316, 4.28007E-010, -85.0041, 30.2249, 58.4704, 30.2248, -61.5306, 30.2246, 178.469, 0.000731844, -74.596
9, 0.00000, 220.413, -29.9793, 220.412, -149.98, 220.41, 90.0206, 4.82407E-010, -83.87, 32.4633, 58.9753, 32.4631, -61.0258, 32.4629, 178.974, 0.000821787, -73.4203
10, 0.00000, 219.522, -29.7629, 219.521, -149.764, 219.519, 90.237, 5.8212E-010, -82.6983, 36.1217, 58.4334, 36.1216, -61.5679, 36.1213, 178.431, 0.00099251, -72.2256
11, 0.00000, 219.277, -29.671, 219.276, -149.672, 219.274, 90.3288, 6.00091E-010, -82.1314, 37.2473, 59.7073, 37.2471, -60.294, 37.2468, 179.705, 0.0010267, -71.8318
12, 0.00000, 223.029, -22.6652, 223.028, -142.666, 223.026, 97.3348, 3.79493E-009, -67.6608, 213.267, -11.427, 213.268, -131.428, 213.271, 108.573, 0.00645865, -57.7968
13, 0.00000, 221.103, -24.2057, 221.101, -144.206, 221.099, 95.7943, 3.4931E-009, -69.9452, 178.496, -9.8088, 178.497, -129.81, 178.5, 110.191, 0.00594344, -60.0596
14, 0.00000, 220.985, -25.6475, 220.984, -145.648, 220.982, 94.3524, 2.72797E-009, -73.0825, 142.372, -8.65628, 142.373, -128.657, 142.375, 111.343, 0.00464401, -63.2069
15, 0.00000, 218.812, -27.9114, 218.811, -147.912, 218.809, 92.0885, 1.95449E-009, -77.1292, 91.1845, -0.3464, 91.1851, -120.348, 91.1865, 119.652, 0.00332582, -67.226
16, 0.00000, 216.723, -30.2591, 216.722, -150.26, 216.719, 89.7407, 1.05173E-009, -81.636, 47.0046, 30.7348, 47.0047, -89.2667, 47.0049, 150.732, 0.00178735, -71.7112
17, 0.00000, 214.693, -31.4589, 214.692, -151.46, 214.689, 88.5409, 7.90677E-010, -83.0043, 41.9919, 53.9631, 41.9918, -66.0384, 41.9914, 173.961, 0.00134716, -73.6473
18, 0.00000, 213.134, -31.794, 213.133, -151.795, 213.13, 88.2059, 8.79085E-010, -83.1682, 44.4422, 53.6242, 44.442, -66.3774, 44.4416, 173.622, 0.00149247, -73.7574
19, 0.00000, 209.514, -31.9735, 209.513, -151.975, 209.51, 88.0264, 1.26728E-009, -81.963, 54.6119, 50.7222, 54.6117, -69.2798, 54.6112, 170.719, 0.0021549, -72.309
20, 0.00000, 208.725, -32.0482, 208.723, -152.049, 208.721, 87.9516, 1.32367E-009, -81.6706, 56.6029, 51.5556, 56.6026, -68.4464, 56.6021, 171.553, 0.00225197, -72.0872
21, 0.00000, 209.214, -32.0243, 209.213, -152.025, 209.21, 87.9755, 1.26914E-009, -81.8573, 55.2525, 51.8193, 55.2522, -68.1826, 55.2517, 171.817, 0.0021596, -72.2875
22, 0.00000, 210.54, -31.9868, 210.539, -151.988, 210.536, 88.0131, 1.11364E-009, -82.32, 51.339, 53.3765, 51.3388, -66.6253, 51.3383, 173.374, 0.00189277, -72.8547
23, 0.00000, 213.076, -31.8187, 213.075, -151.82, 213.073, 88.1811, 8.79367E-010, -83.1138, 44.4536, 54.1506, 44.4535, -65.851, 44.453, 174.148, 0.00149176, -73.8167
24, 0.00000, 214.823, -31.7105, 214.822, -151.711, 214.82, 88.2893, 7.12898E-010, -83.6623, 39.6897, 55.822, 39.6896, -64.1794, 39.6892, 175.82, 0.0012109, -74.5573
25, 0.00000, 217.23, -31.4876, 217.229, -151.488, 217.227, 88.5123, 5.31934E-010, -84.272, 33.4649, 55.9355, 33.4648, -64.0657, 33.4646, 175.934, 0.000904325, -75.5052
26, 0.00000, 218.428, -31.3966, 218.427, -151.397, 218.425, 88.6032, 4.36715E-010, -85.2035, 30.2853, 57.5618, 30.2852, -62.4392, 30.285, 177.56, 0.000743951, -76.1265
27, 0.00000, 219.261, -31.3222, 219.261, -151.323, 219.259, 88.6777, 3.80198E-010, -85.5458, 28.1162, 58.3262, 28.1161, -61.6748, 28.1159, 178.325, 0.000646232, -76.5669
28, 0.00000, 219.464, -31.2715, 219.463, -151.272, 219.461, 88.7283, 3.8301E-010, -85.2724, 27.7218, 56.4098, 27.7218, -63.5912, 27.7216, 176.408, 0.000646316, -76.6085
29, 0.00000, 219.509, -31.3236, 219.509, -151.324, 219.507, 88.6762, 3.53094E-010, -85.58, 27.4374, 60.2572, 27.4373, -59.7437, 27.4371, -179.744, 0.000599956, -76.8031
30, 0.00000, 219.169, -31.314, 219.168, -151.315, 219.167, 88.6858, 3.80512E-010, -85.2989, 28.7022, 60.9383, 28.7021, -59.0627, 28.7019, -179.063, 0.000645344, -76.4127
31, 0.00000, 219.15, -30.9953, 219.149, -150.996, 219.147, 89.0045, 4.43623E-010, -84.1713, 30.9141, 58.9671, 30.914, -61.034, 30.9137, 178.965, 0.000756129, -75.386
32, 0.00000, 220.52, -30.3683, 220.52, -150.369, 220.518, 89.6316, 4.27533E-010, -85.1108, 30.2249, 58.4704, 30.2248, -61.5306, 30.2246, 178.469, 0.000731844, -74.596
33, 0.00000, 220.413, -29.9793, 220.412, -149.98, 220.41, 90.0206, 4.80549E-010, -83.9474, 32.4633, 58.9753, 32.4631, -61.0258, 32.4629, 178.974, 0.000821787, -73.4203
34, 0.00000, 219.522, -29.7629, 219.521, -149.764, 219.519, 90.237, 5.81612E-010, -82.5836, 36.1217, 58.4334, 36.1216, -61.5679, 36.1213, 178.431, 0.00099251, -72.2256
35, 0.00000, 219.277, -29.671, 219.276, -149.672, 219.274, 90.3288, 6.02535E-010, -82.236, 37.2473, 59.7073, 37.2471, -60.294, 37.2468, 179.705, 0.0010267, -71.8318
36, 0.00000, 218.007, -29.8165, 218.006, -149.817, 218.004, 90.1833, 6.93809E-010, -81.7053, 40.6203, 59.942, 40.6201, -60.0594, 40.6197, 179.94, 0.00118453, -71.3981
37, 0.00000, 216.73, -30.0717, 216.729, -150.073, 216.727, 89.9282, 8.0825E-010, -81.4316, 43.5513, 57.2379, 43.5511, -62.7636, 43.5507, 177.236, 0.00137786, -71.2344
38, 0.00000, 217.249, -30.3186, 217.248, -150.319, 217.246, 89.6813, 6.98676E-010, -82.4312, 40.9059, 59.828, 40.9057, -60.1735, 40.9053, 179.826, 0.00119026, -72.106
39, 0.00000, 216.421, -30.6609, 216.42, -150.662, 216.418, 89.339, 7.36827E-010, -82.6693, 41.7355, 58.1279, 41.7353, -61.8736, 41.7349, 178.126, 0.00125835, -72.4616
40, 0.00000, 216.036, -30.9701, 216.035, -150.971, 216.033, 89.0298, 7.44708E-010, -83.2764, 41.0523, 55.3189, 41.0522, -64.6826, 41.0518, 175.317, 0.00127071, -73.0595
41, 0.00000, 214.691, -31.4576, 214.69, -151.458, 214.688, 88.5422, 7.92329E-010, -83.1202, 42.0081, 53.9303, 42.0079, -66.0712, 42.0075, 173.928, 0.00134713, -73.6497
42, 0.00000, 213.134, -31.794, 213.133, -151.795, 213.13, 88.2058, 8.76735E-010, -83.3422, 44.4422, 53.6243, 44.442, -66.3773, 44.4416, 173.622, 0.00149247, -73.7573
43, 0.00000, 209.514, -31.9735, 209.513, -151.975, 209.51, 88.0264, 1.26968E-009, -81.8067, 54.6119, 50.7222, 54.6117, -69.2798, 54.6112, 170.719, 0.0021549, -72.309
44, 0.00000, 208.725, -32.0482, 208.723, -152.049, 208.721, 87.9516, 1.32313E-009, -81.5982, 56.6029, 51.5556, 56.6026, -68.4464, 56.6021, 171.553, 0.00225197, -72.0872
45, 0.00000, 209.214, -32.0243, 209.213, -152.025, 209.21, 87.9755, 1.27065E-009, -81.8237, 55.2525, 51.8193, 55.2522, -68.1826, 55.2517, 171.817, 0.0021596, -72.2875
46, 0.00000, 210.54, -31.9868, 210.539, -151.988, 210.536, 88.0131, 1.11524E-009, -82.3284, 51.339, 53.3765, 51.3388, -66.6253, 51.3383, 173.374, 0.00189277, -72.8547
47, 0.00000, 213.076, -31.8187, 213.075, -151.82, 213.073, 88.1811, 8.78089E-010, -83.2422, 44.4536, 54.1506, 44.4535, -65.851, 44.453, 174.148, 0.00149176, -73.8167
48, 0.00000, 214.823, -31.7105, 214.822, -151.711, 214.82, 88.2893, 7.11071E-010, -83.8167, 39.6897, 55.822, 39.6896, -64.1794, 39.6892, 175.82, 0.0012109, -74.5573
48, 0.00000, 214.823, -31.7105, 214.822, -151.711, 214.82, 88.2893, 7.11071E-010, -83.8167, 39.6897, 55.822, 39.6896, -64.1794, 39.6892, 175.82, 0.0012109, -74.5573
