hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, -1.46739, -3.78788E-005, -1.46739, -3.78765E-005, -1.46739, -3.78798E-005, 3.07866E-017, -6.79587E-018
7, 0.00000, -8.29741, 0.00031825, -8.29741, 0.000318237, -8.29741, 0.000318233, -2.94743E-016, 6.16538E-017
8, 0.00000, -19.3466, 0.00107241, -19.3466, 0.00107239, -19.3466, 0.00107238, -2.34225E-015, 4.94169E-016
9, 0.00000, -28.121, -0.00253066, -28.121, -0.00253056, -28.121, -0.00253067, -5.94178E-015, 1.27403E-015
10, 0.00000, -33.9377, -0.0015066, -33.9377, -0.00150651, -33.9377, -0.0015066, -1.06929E-014, 2.31387E-015
11, 0.00000, -36.4554, -0.00178267, -36.4554, -0.00178254, -36.4554, -0.00178245, -1.3219E-014, 2.87199E-015
12, 0.00000, -36.0288, 0.00293562, -36.0288, 0.0029358, -36.0288, 0.00293575, -1.4908E-014, 3.26598E-015
13, 0.00000, -32.1753, 0.00811689, -32.1753, 0.00811696, -32.1753, 0.00811682, -1.29336E-014, 2.8561E-015
14, 0.00000, -27.3068, 0.00167597, -27.3068, 0.0016759, -27.3068, 0.001676, -8.09872E-015, 1.7785E-015
15, 0.00000, -20.8223, -0.000929349, -20.8223, -0.000929336, -20.8223, -0.000929327, -4.527E-015, 9.97427E-016
16, 0.00000, -13.8008, -0.000750813, -13.8008, -0.000750795, -13.8008, -0.000750792, -1.63123E-015, 3.57223E-016
17, 0.00000, -4.99822, -0.000136898, -4.99822, -0.000136896, -4.99822, -0.0001369, 5.20518E-017, -1.23015E-017
18, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
19, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
