hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 14.7119, 6.52934, 14.712, 6.5277, 14.7131, 6.5289, 0, 0
2, 0.00000, 13.4948, 5.91031, 13.4949, 5.90894, 13.4959, 5.90994, 0, 0
3, 0.00000, 12.6383, 5.48524, 12.6384, 5.48404, 12.6392, 5.48492, 0, 0
4, 0.00000, 12.4617, 5.39055, 12.4617, 5.3894, 12.4625, 5.39024, 0, 0
5, 0.00000, 12.3453, 5.33454, 12.3453, 5.3334, 12.3461, 5.33424, 0, 0
6, 0.00000, 10.5538, 5.50901, 10.5539, 5.50797, 10.5546, 5.50877, 0, 0
7, 0.00000, 0.697154, 5.77867, 0.697545, 5.77841, 0.697452, 5.77886, 0, 0
8, 0.00000, -16.6256, 6.34649, -16.6247, 6.3477, -16.6263, 6.3475, 0, 0
9, 0.00000, -29.0602, 7.98799, -29.0587, 7.99031, -29.0615, 7.98977, 0, 0
10, 0.00000, -36.7619, 9.75325, -36.7598, 9.75646, -36.7637, 9.75575, 0, 0
11, 0.00000, -40.3547, 10.5537, -40.3524, 10.5573, -40.3567, 10.5566, 0, 0
12, 0.00000, -38.439, 10.9053, -38.4365, 10.909, -38.441, 10.9083, 0, 0
13, 0.00000, -31.327, 10.4034, -31.3247, 10.4065, -31.3287, 10.4061, 0, 0
14, 0.00000, -24.7825, 9.11171, -24.7807, 9.11401, -24.7837, 9.11373, 0, 0
15, 0.00000, -14.7025, 8.35616, -14.7011, 8.35741, -14.703, 8.35752, 0, 0
16, 0.00000, -4.22761, 7.68741, -4.22675, 7.68751, -4.22745, 7.68805, 0, 0
17, 0.00000, 9.7883, 7.81907, 9.78868, 7.81756, 9.78953, 7.81886, 0, 0
18, 0.00000, 18.5416, 8.63508, 18.5418, 8.63237, 18.5437, 8.63434, 0, 0
19, 0.00000, 21.6611, 10.5349, 21.6614, 10.531, 21.6641, 10.5338, 0, 0
20, 0.00000, 22.2505, 10.9256, 22.2507, 10.9215, 22.2536, 10.9244, 0, 0
21, 0.00000, 21.8485, 10.6696, 21.8487, 10.6657, 21.8515, 10.6686, 0, 0
22, 0.00000, 20.761, 9.97145, 20.7613, 9.96796, 20.7637, 9.9705, 0, 0
23, 0.00000, 18.6091, 8.66138, 18.6092, 8.65865, 18.6112, 8.66063, 0, 0
24, 0.00000, 17.0048, 7.74652, 17.0049, 7.74428, 17.0065, 7.74591, 0, 0
25, 0.00000, 14.7136, 6.52522, 14.7137, 6.52358, 14.7148, 6.52478, 0, 0
26, 0.00000, 13.4948, 5.91031, 13.4949, 5.90894, 13.4959, 5.90994, 0, 0
27, 0.00000, 12.6383, 5.48524, 12.6384, 5.48404, 12.6392, 5.48492, 0, 0
28, 0.00000, 12.4617, 5.39055, 12.4617, 5.3894, 12.4625, 5.39024, 0, 0
29, 0.00000, 12.3453, 5.33454, 12.3453, 5.3334, 12.3461, 5.33424, 0, 0
30, 0.00000, 10.5538, 5.50901, 10.5539, 5.50797, 10.5546, 5.50877, 0, 0
31, 0.00000, 0.697154, 5.77867, 0.697545, 5.77841, 0.697452, 5.77886, 0, 0
32, 0.00000, -16.6256, 6.34649, -16.6247, 6.3477, -16.6263, 6.3475, 0, 0
33, 0.00000, -29.0602, 7.98799, -29.0587, 7.99031, -29.0615, 7.98977, 0, 0
34, 0.00000, -36.7619, 9.75325, -36.7598, 9.75646, -36.7637, 9.75575, 0, 0
35, 0.00000, -40.3547, 10.5537, -40.3524, 10.5573, -40.3567, 10.5566, 0, 0
36, 0.00000, -38.439, 10.9053, -38.4365, 10.909, -38.441, 10.9083, 0, 0
37, 0.00000, -31.327, 10.4034, -31.3247, 10.4065, -31.3287, 10.4061, 0, 0
38, 0.00000, -24.7825, 9.11171, -24.7807, 9.11401, -24.7837, 9.11373, 0, 0
39, 0.00000, -14.7025, 8.35616, -14.7011, 8.35741, -14.703, 8.35752, 0, 0
40, 0.00000, -4.22761, 7.68741, -4.22675, 7.68751, -4.22745, 7.68805, 0, 0
41, 0.00000, 9.7883, 7.81907, 9.78868, 7.81756, 9.78953, 7.81886, 0, 0
42, 0.00000, 18.5416, 8.63508, 18.5418, 8.63237, 18.5437, 8.63434, 0, 0
43, 0.00000, 21.6611, 10.5349, 21.6614, 10.531, 21.6641, 10.5338, 0, 0
44, 0.00000, 22.2505, 10.9256, 22.2507, 10.9215, 22.2536, 10.9244, 0, 0
45, 0.00000, 21.8485, 10.6696, 21.8487, 10.6657, 21.8515, 10.6686, 0, 0
46, 0.00000, 20.761, 9.97145, 20.7613, 9.96796, 20.7637, 9.9705, 0, 0
47, 0.00000, 18.6091, 8.66138, 18.6092, 8.65865, 18.6112, 8.66063, 0, 0
48, 0.00000, 17.0048, 7.74652, 17.0049, 7.74428, 17.0065, 7.74591, 0, 0
48, 0.00000, 17.0048, 7.74652, 17.0049, 7.74428, 17.0065, 7.74591, 0, 0
