hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 10.4297, 4.56121, 10.4298, 4.56004, 10.4306, 4.56089, 0, 0
2, 0.00000, 9.57484, 4.13429, 9.57491, 4.13331, 9.57559, 4.13403, 0, 0
3, 0.00000, 8.97303, 3.84128, 8.97309, 3.84043, 8.97368, 3.84105, 0, 0
4, 0.00000, 8.84776, 3.78157, 8.84781, 3.78074, 8.84838, 3.78135, 0, 0
5, 0.00000, 8.76641, 3.74135, 8.76647, 3.74054, 8.76702, 3.74114, 0, 0
6, 0.00000, 9.1588, 3.93429, 9.15886, 3.9334, 9.15947, 3.93405, 0, 0
7, 0.00000, 9.83882, 4.29903, 9.83887, 4.29802, 9.83958, 4.29875, 0, 0
8, 0.00000, 9.72298, 4.28081, 9.72302, 4.27984, 9.7237, 4.28053, 0, 0
9, 0.00000, 10.3827, 4.65124, 10.3827, 4.65015, 10.3835, 4.65092, 0, 0
10, 0.00000, 11.3789, 5.2039, 11.3789, 5.20258, 11.3799, 5.2035, 0, 0
11, 0.00000, 11.685, 5.38044, 11.685, 5.37904, 11.686, 5.38001, 0, 0
12, 0.00000, 12.5681, 5.86492, 12.5682, 5.86329, 12.5694, 5.86442, 0, 0
13, 0.00000, 13.2549, 6.25189, 13.2549, 6.25004, 13.2563, 6.25133, 0, 0
14, 0.00000, 12.5561, 5.84828, 12.5562, 5.84663, 12.5574, 5.84779, 0, 0
15, 0.00000, 12.6983, 5.90985, 12.6984, 5.90813, 12.6996, 5.90935, 0, 0
16, 0.00000, 12.4372, 5.73461, 12.4373, 5.73295, 12.4385, 5.73414, 0, 0
17, 0.00000, 12.5677, 5.7539, 12.5678, 5.75217, 12.5691, 5.75342, 0, 0
18, 0.00000, 13.1018, 6.00558, 13.1019, 6.00365, 13.1033, 6.00505, 0, 0
19, 0.00000, 15.2659, 7.29619, 15.2661, 7.29346, 15.268, 7.29545, 0, 0
20, 0.00000, 15.6713, 7.56215, 15.6715, 7.55924, 15.6735, 7.56136, 0, 0
21, 0.00000, 15.3956, 7.38579, 15.3958, 7.383, 15.3977, 7.38503, 0, 0
22, 0.00000, 14.6444, 6.91182, 14.6446, 6.90933, 14.6463, 6.91114, 0, 0
23, 0.00000, 13.1512, 6.01927, 13.1514, 6.01733, 13.1527, 6.01874, 0, 0
24, 0.00000, 12.0325, 5.39589, 12.0326, 5.3943, 12.0337, 5.39546, 0, 0
25, 0.00000, 10.4295, 4.56136, 10.4296, 4.56019, 10.4304, 4.56104, 0, 0
26, 0.00000, 9.57484, 4.13429, 9.57491, 4.13331, 9.57558, 4.13402, 0, 0
27, 0.00000, 8.97303, 3.84128, 8.97309, 3.84043, 8.97368, 3.84105, 0, 0
28, 0.00000, 8.84776, 3.78157, 8.84781, 3.78074, 8.84838, 3.78135, 0, 0
29, 0.00000, 8.76641, 3.74135, 8.76647, 3.74054, 8.76702, 3.74114, 0, 0
30, 0.00000, 9.1588, 3.93429, 9.15886, 3.9334, 9.15947, 3.93405, 0, 0
31, 0.00000, 9.83882, 4.29903, 9.83887, 4.29802, 9.83958, 4.29875, 0, 0
32, 0.00000, 9.72298, 4.28081, 9.72302, 4.27984, 9.7237, 4.28053, 0, 0
33, 0.00000, 10.3827, 4.65124, 10.3827, 4.65015, 10.3835, 4.65092, 0, 0
34, 0.00000, 11.3789, 5.2039, 11.3789, 5.20258, 11.3799, 5.2035, 0, 0
35, 0.00000, 11.685, 5.38044, 11.685, 5.37904, 11.686, 5.38001, 0, 0
36, 0.00000, 12.5681, 5.86492, 12.5682, 5.86329, 12.5694, 5.86442, 0, 0
37, 0.00000, 13.2549, 6.25189, 13.2549, 6.25004, 13.2563, 6.25133, 0, 0
38, 0.00000, 12.5561, 5.84828, 12.5562, 5.84663, 12.5574, 5.84779, 0, 0
39, 0.00000, 12.6983, 5.90985, 12.6984, 5.90813, 12.6996, 5.90935, 0, 0
40, 0.00000, 12.4372, 5.73461, 12.4373, 5.73295, 12.4385, 5.73414, 0, 0
41, 0.00000, 12.5677, 5.7539, 12.5678, 5.75217, 12.5691, 5.75342, 0, 0
42, 0.00000, 13.1018, 6.00558, 13.1019, 6.00365, 13.1033, 6.00505, 0, 0
43, 0.00000, 15.2659, 7.29619, 15.2661, 7.29346, 15.268, 7.29545, 0, 0
44, 0.00000, 15.6713, 7.56215, 15.6715, 7.55924, 15.6735, 7.56136, 0, 0
45, 0.00000, 15.3956, 7.38579, 15.3958, 7.383, 15.3977, 7.38503, 0, 0
46, 0.00000, 14.6444, 6.91182, 14.6446, 6.90933, 14.6463, 6.91114, 0, 0
47, 0.00000, 13.1512, 6.01927, 13.1514, 6.01733, 13.1527, 6.01874, 0, 0
48, 0.00000, 12.0325, 5.39589, 12.0326, 5.3943, 12.0337, 5.39546, 0, 0
48, 0.00000, 12.0325, 5.39589, 12.0326, 5.3943, 12.0337, 5.39546, 0, 0
