hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 3.08141, 1.27383, 3.08142, 1.27349, 3.08166, 1.27372, 0, 0
2, 0.00000, 2.83298, 1.15324, 2.83299, 1.15296, 2.83319, 1.15315, 0, 0
3, 0.00000, 2.65934, 1.07076, 2.65934, 1.07051, 2.65952, 1.07068, 0, 0
4, 0.00000, 2.62372, 1.05403, 2.62372, 1.05379, 2.62389, 1.05396, 0, 0
5, 0.00000, 2.59981, 1.04227, 2.59981, 1.04203, 2.59998, 1.0422, 0, 0
6, 0.00000, 2.70904, 1.09364, 2.70904, 1.09338, 2.70923, 1.09356, 0, 0
7, 0.00000, 2.88954, 1.18312, 2.88955, 1.18283, 2.88976, 1.18303, 0, 0
8, 0.00000, 2.8362, 1.16152, 2.83621, 1.16125, 2.83641, 1.16144, 0, 0
9, 0.00000, 3.01121, 1.25238, 3.01121, 1.25207, 3.01144, 1.25229, 0, 0
10, 0.00000, 3.28759, 1.39644, 3.28759, 1.39607, 3.28787, 1.39632, 0, 0
11, 0.00000, 3.37225, 1.44225, 3.37225, 1.44186, 3.37254, 1.44213, 0, 0
12, 0.00000, 3.67466, 1.61286, 3.67465, 1.61239, 3.675, 1.61271, 0, 0
13, 0.00000, 3.8748, 1.72061, 3.8748, 1.72008, 3.87519, 1.72043, 0, 0
14, 0.00000, 3.67228, 1.60989, 3.67228, 1.60942, 3.67263, 1.60974, 0, 0
15, 0.00000, 3.71356, 1.62726, 3.71356, 1.62677, 3.71392, 1.6271, 0, 0
16, 0.00000, 3.63674, 1.57838, 3.63674, 1.57791, 3.63709, 1.57823, 0, 0
17, 0.00000, 3.69361, 1.59945, 3.69362, 1.59895, 3.69398, 1.59929, 0, 0
18, 0.00000, 3.87079, 1.68674, 3.8708, 1.68619, 3.8712, 1.68657, 0, 0
19, 0.00000, 4.52828, 2.06498, 4.52829, 2.0642, 4.52887, 2.06473, 0, 0
20, 0.00000, 4.653, 2.14372, 4.65301, 2.14289, 4.65362, 2.14346, 0, 0
21, 0.00000, 4.56795, 2.09141, 4.56796, 2.09062, 4.56855, 2.09116, 0, 0
22, 0.00000, 4.33638, 1.95029, 4.33638, 1.94958, 4.33691, 1.95007, 0, 0
23, 0.00000, 3.8851, 1.69014, 3.88511, 1.68958, 3.88552, 1.68996, 0, 0
24, 0.00000, 3.55174, 1.5109, 3.55175, 1.51045, 3.55209, 1.51076, 0, 0
25, 0.00000, 3.08128, 1.2739, 3.08129, 1.27357, 3.08153, 1.2738, 0, 0
26, 0.00000, 2.83298, 1.15324, 2.83299, 1.15296, 2.83319, 1.15315, 0, 0
27, 0.00000, 2.65934, 1.07076, 2.65934, 1.07051, 2.65952, 1.07068, 0, 0
28, 0.00000, 2.62372, 1.05403, 2.62372, 1.05379, 2.62389, 1.05396, 0, 0
29, 0.00000, 2.59981, 1.04227, 2.59981, 1.04203, 2.59998, 1.0422, 0, 0
30, 0.00000, 2.70904, 1.09364, 2.70904, 1.09338, 2.70923, 1.09356, 0, 0
31, 0.00000, 2.88954, 1.18312, 2.88955, 1.18283, 2.88976, 1.18303, 0, 0
32, 0.00000, 2.8362, 1.16152, 2.83621, 1.16125, 2.83641, 1.16144, 0, 0
33, 0.00000, 3.01121, 1.25238, 3.01121, 1.25207, 3.01144, 1.25229, 0, 0
34, 0.00000, 3.28759, 1.39644, 3.28759, 1.39607, 3.28787, 1.39632, 0, 0
35, 0.00000, 3.37225, 1.44225, 3.37225, 1.44186, 3.37254, 1.44213, 0, 0
36, 0.00000, 3.62535, 1.57331, 3.62535, 1.57284, 3.6257, 1.57316, 0, 0
37, 0.00000, 3.82868, 1.68296, 3.82868, 1.68243, 3.82907, 1.68279, 0, 0
38, 0.00000, 3.63456, 1.57941, 3.63456, 1.57894, 3.63491, 1.57927, 0, 0
39, 0.00000, 3.68857, 1.60706, 3.68857, 1.60657, 3.68893, 1.60691, 0, 0
40, 0.00000, 3.6293, 1.57246, 3.62931, 1.57199, 3.62965, 1.57231, 0, 0
41, 0.00000, 3.69363, 1.59943, 3.69364, 1.59893, 3.694, 1.59927, 0, 0
42, 0.00000, 3.87079, 1.68674, 3.8708, 1.68619, 3.8712, 1.68657, 0, 0
43, 0.00000, 4.52828, 2.06498, 4.52829, 2.0642, 4.52887, 2.06473, 0, 0
44, 0.00000, 4.653, 2.14372, 4.65301, 2.14289, 4.65362, 2.14346, 0, 0
45, 0.00000, 4.56795, 2.09141, 4.56796, 2.09062, 4.56855, 2.09116, 0, 0
46, 0.00000, 4.33638, 1.95029, 4.33638, 1.94958, 4.33691, 1.95007, 0, 0
47, 0.00000, 3.8851, 1.69014, 3.88511, 1.68958, 3.88552, 1.68996, 0, 0
48, 0.00000, 3.55174, 1.5109, 3.55175, 1.51045, 3.55209, 1.51076, 0, 0
48, 0.00000, 3.55174, 1.5109, 3.55175, 1.51045, 3.55209, 1.51076, 0, 0
