hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 12.4567, 5.36945, 12.4567, 5.36807, 12.4577, 5.36905, 0, 0
2, 0.00000, 11.4204, 4.85901, 11.4205, 4.85786, 11.4213, 4.85868, 0, 0
3, 0.00000, 10.6918, 4.51194, 10.6918, 4.51093, 10.6925, 4.51166, 0, 0
4, 0.00000, 10.5411, 4.44458, 10.5411, 4.4436, 10.5418, 4.4443, 0, 0
5, 0.00000, 10.4394, 4.39817, 10.4395, 4.39722, 10.4402, 4.39791, 0, 0
6, 0.00000, 8.9448, 4.55758, 8.94489, 4.5567, 8.94548, 4.55736, 0, 0
7, 0.00000, 0.71662, 4.81765, 0.71694, 4.81742, 0.716876, 4.81781, 0, 0
8, 0.00000, -13.7135, 5.06092, -13.7128, 5.06192, -13.7141, 5.06174, 0, 0
9, 0.00000, -24.0099, 6.03698, -24.0088, 6.03892, -24.011, 6.03841, 0, 0
10, 0.00000, -30.3549, 7.15519, -30.3533, 7.15789, -30.3564, 7.1572, 0, 0
11, 0.00000, -33.3161, 7.62729, -33.3143, 7.63033, -33.3178, 7.62956, 0, 0
12, 0.00000, -31.3889, 8.19484, -31.3869, 8.19773, -31.3905, 8.19723, 0, 0
13, 0.00000, -25.5112, 8.11915, -25.5093, 8.12158, -25.5125, 8.12129, 0, 0
14, 0.00000, -20.1703, 7.27494, -20.1688, 7.27674, -20.1712, 7.27656, 0, 0
15, 0.00000, -11.8885, 6.89043, -11.8874, 6.8914, -11.8889, 6.89153, 0, 0
16, 0.00000, -3.29347, 6.42056, -3.29276, 6.42062, -3.29331, 6.42108, 0, 0
17, 0.00000, 8.37461, 6.5215, 8.3749, 6.52023, 8.37564, 6.52131, 0, 0
18, 0.00000, 15.7306, 7.09585, 15.7307, 7.09357, 15.7323, 7.09518, 0, 0
19, 0.00000, 18.4257, 8.66599, 18.4258, 8.66274, 18.4281, 8.66503, 0, 0
20, 0.00000, 18.9284, 8.99208, 18.9285, 8.98862, 18.931, 8.99105, 0, 0
21, 0.00000, 18.5839, 8.77332, 18.584, 8.77001, 18.5864, 8.77234, 0, 0
22, 0.00000, 17.6425, 8.19083, 17.6426, 8.18789, 17.6448, 8.18996, 0, 0
23, 0.00000, 15.7898, 7.1138, 15.7898, 7.1115, 15.7915, 7.11313, 0, 0
24, 0.00000, 14.4154, 6.36082, 14.4155, 6.35894, 14.4168, 6.36027, 0, 0
25, 0.00000, 12.4599, 5.36504, 12.4599, 5.36365, 12.4609, 5.36464, 0, 0
26, 0.00000, 11.4204, 4.85901, 11.4205, 4.85786, 11.4213, 4.85869, 0, 0
27, 0.00000, 10.6918, 4.51194, 10.6918, 4.51093, 10.6925, 4.51166, 0, 0
28, 0.00000, 10.5411, 4.44458, 10.5411, 4.4436, 10.5418, 4.4443, 0, 0
29, 0.00000, 10.4394, 4.39817, 10.4395, 4.39722, 10.4402, 4.39791, 0, 0
30, 0.00000, 8.9448, 4.55758, 8.94489, 4.5567, 8.94548, 4.55736, 0, 0
31, 0.00000, 0.71662, 4.81765, 0.71694, 4.81742, 0.716876, 4.81781, 0, 0
32, 0.00000, -13.7135, 5.06092, -13.7128, 5.06192, -13.7141, 5.06174, 0, 0
33, 0.00000, -24.0099, 6.03698, -24.0088, 6.03892, -24.011, 6.03841, 0, 0
34, 0.00000, -30.3549, 7.15519, -30.3533, 7.15789, -30.3564, 7.1572, 0, 0
35, 0.00000, -33.3161, 7.62729, -33.3143, 7.63033, -33.3178, 7.62956, 0, 0
36, 0.00000, -31.7077, 8.0054, -31.7057, 8.00848, -31.7094, 8.00779, 0, 0
37, 0.00000, -25.8067, 7.91483, -25.8048, 7.91743, -25.8081, 7.91698, 0, 0
38, 0.00000, -20.4141, 7.10086, -20.4127, 7.10277, -20.4152, 7.10249, 0, 0
39, 0.00000, -12.0454, 6.76108, -12.0443, 6.76211, -12.0459, 6.76219, 0, 0
40, 0.00000, -3.33686, 6.37936, -3.33616, 6.37942, -3.33671, 6.37988, 0, 0
41, 0.00000, 8.37378, 6.52263, 8.37408, 6.52135, 8.37482, 6.52243, 0, 0
42, 0.00000, 15.7306, 7.09585, 15.7307, 7.09357, 15.7323, 7.09518, 0, 0
43, 0.00000, 18.4257, 8.66599, 18.4258, 8.66274, 18.4281, 8.66503, 0, 0
44, 0.00000, 18.9284, 8.99208, 18.9285, 8.98862, 18.931, 8.99105, 0, 0
45, 0.00000, 18.5839, 8.77332, 18.584, 8.77001, 18.5864, 8.77234, 0, 0
46, 0.00000, 17.6425, 8.19083, 17.6426, 8.18789, 17.6448, 8.18996, 0, 0
47, 0.00000, 15.7898, 7.1138, 15.7898, 7.1115, 15.7915, 7.11313, 0, 0
48, 0.00000, 14.4154, 6.36082, 14.4155, 6.35894, 14.4168, 6.36027, 0, 0
48, 0.00000, 14.4154, 6.36082, 14.4155, 6.35894, 14.4168, 6.36027, 0, 0
