hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 12.1207, 5.44359, 12.1207, 5.44226, 12.1217, 5.44322, 0, 0
2, 0.00000, 11.1034, 4.90773, 11.1035, 4.90662, 11.1042, 4.90743, 0, 0
3, 0.00000, 10.3888, 4.54467, 10.3889, 4.5437, 10.3896, 4.5444, 0, 0
4, 0.00000, 10.2407, 4.47328, 10.2408, 4.47234, 10.2415, 4.47302, 0, 0
5, 0.00000, 10.1427, 4.42523, 10.1428, 4.42431, 10.1434, 4.42498, 0, 0
6, 0.00000, 8.68688, 4.5467, 8.68698, 4.54585, 8.68754, 4.5465, 0, 0
7, 0.00000, 0.693193, 4.71141, 0.693503, 4.71119, 0.693443, 4.71156, 0, 0
8, 0.00000, -13.2304, 5.21495, -13.2297, 5.2159, -13.2309, 5.21576, 0, 0
9, 0.00000, -23.0762, 6.69123, -23.075, 6.69306, -23.0772, 6.69265, 0, 0
10, 0.00000, -29.1003, 8.25073, -29.0986, 8.25327, -29.1017, 8.25274, 0, 0
11, 0.00000, -31.9093, 8.96039, -31.9074, 8.96325, -31.9109, 8.96267, 0, 0
12, 0.00000, -30.1988, 9.27435, -30.1968, 9.27714, -30.2003, 9.27673, 0, 0
13, 0.00000, -24.58, 8.78118, -24.5781, 8.78353, -24.5812, 8.7833, 0, 0
14, 0.00000, -19.4695, 7.63586, -19.4681, 7.6376, -19.4704, 7.63746, 0, 0
15, 0.00000, -11.4939, 6.92703, -11.4928, 6.92797, -11.4943, 6.92811, 0, 0
16, 0.00000, -3.17396, 6.30978, -3.17328, 6.30983, -3.1738, 6.31029, 0, 0
17, 0.00000, 8.15843, 6.48027, 8.15872, 6.47903, 8.15943, 6.48008, 0, 0
18, 0.00000, 15.3398, 7.28, 15.3399, 7.2778, 15.3415, 7.27938, 0, 0
19, 0.00000, 17.9955, 8.97379, 17.9957, 8.97066, 17.9979, 8.9729, 0, 0
20, 0.00000, 18.4937, 9.32784, 18.4939, 9.32451, 18.4963, 9.3269, 0, 0
21, 0.00000, 18.1532, 9.0909, 18.1534, 9.0877, 18.1557, 9.08999, 0, 0
22, 0.00000, 17.2247, 8.4609, 17.2249, 8.45807, 17.2269, 8.4601, 0, 0
23, 0.00000, 15.3986, 7.30041, 15.3987, 7.29819, 15.4002, 7.29978, 0, 0
24, 0.00000, 14.0457, 6.49668, 14.0458, 6.49486, 14.0471, 6.49617, 0, 0
25, 0.00000, 12.1231, 5.43993, 12.1232, 5.4386, 12.1241, 5.43956, 0, 0
26, 0.00000, 11.1034, 4.90774, 11.1034, 4.90663, 11.1042, 4.90743, 0, 0
27, 0.00000, 10.3888, 4.54467, 10.3889, 4.5437, 10.3896, 4.5444, 0, 0
28, 0.00000, 10.2407, 4.47328, 10.2408, 4.47234, 10.2415, 4.47302, 0, 0
29, 0.00000, 10.1427, 4.42523, 10.1428, 4.42431, 10.1434, 4.42498, 0, 0
30, 0.00000, 8.68688, 4.5467, 8.68698, 4.54585, 8.68754, 4.5465, 0, 0
31, 0.00000, 0.693193, 4.71141, 0.693503, 4.71119, 0.693443, 4.71156, 0, 0
32, 0.00000, -13.2304, 5.21495, -13.2297, 5.2159, -13.2309, 5.21576, 0, 0
33, 0.00000, -23.0762, 6.69123, -23.075, 6.69306, -23.0772, 6.69265, 0, 0
34, 0.00000, -29.1003, 8.25073, -29.0986, 8.25327, -29.1017, 8.25274, 0, 0
35, 0.00000, -31.9093, 8.96039, -31.9074, 8.96325, -31.9109, 8.96267, 0, 0
36, 0.00000, -30.3632, 9.21739, -30.3612, 9.22028, -30.3648, 9.21978, 0, 0
37, 0.00000, -24.7369, 8.69637, -24.735, 8.6988, -24.7382, 8.6985, 0, 0
38, 0.00000, -19.6052, 7.55486, -19.6037, 7.55665, -19.6061, 7.55646, 0, 0
39, 0.00000, -11.5841, 6.85367, -11.583, 6.85463, -11.5845, 6.85475, 0, 0
40, 0.00000, -3.19944, 6.28158, -3.19876, 6.28163, -3.19928, 6.28209, 0, 0
41, 0.00000, 8.15782, 6.4812, 8.15811, 6.47997, 8.15882, 6.48102, 0, 0
42, 0.00000, 15.3398, 7.28, 15.3399, 7.2778, 15.3415, 7.27938, 0, 0
43, 0.00000, 17.9955, 8.97379, 17.9957, 8.97066, 17.9979, 8.9729, 0, 0
44, 0.00000, 18.4937, 9.32784, 18.4939, 9.32451, 18.4963, 9.3269, 0, 0
45, 0.00000, 18.1532, 9.0909, 18.1534, 9.0877, 18.1557, 9.08999, 0, 0
46, 0.00000, 17.2247, 8.4609, 17.2249, 8.45807, 17.2269, 8.4601, 0, 0
47, 0.00000, 15.3986, 7.30041, 15.3987, 7.29819, 15.4002, 7.29978, 0, 0
48, 0.00000, 14.0457, 6.49668, 14.0458, 6.49486, 14.0471, 6.49617, 0, 0
48, 0.00000, 14.0457, 6.49668, 14.0458, 6.49486, 14.0471, 6.49617, 0, 0
