hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 1.08388, 0.475874, 0, 0
2, 0.00000, 0.994576, 0.429088, 0, 0
3, 0.00000, 0.932298, 0.397282, 0, 0
4, 0.00000, 0.919463, 0.390814, 0, 0
5, 0.00000, 0.911015, 0.386417, 0, 0
6, 0.00000, 0.949623, 0.405734, 0, 0
7, 0.00000, 1.01175, 0.43807, 0, 0
8, 0.00000, 0.989205, 0.426958, 0, 0
9, 0.00000, 1.04926, 0.459653, 0, 0
10, 0.00000, 1.14639, 0.513372, 0, 0
11, 0.00000, 1.17599, 0.530298, 0, 0
12, 0.00000, 1.27235, 0.585568, 0, 0
13, 0.00000, 1.34638, 0.628986, 0, 0
14, 0.00000, 1.27727, 0.589356, 0, 0
15, 0.00000, 1.29749, 0.600847, 0, 0
16, 0.00000, 1.27672, 0.587994, 0, 0
17, 0.00000, 1.30302, 0.601487, 0, 0
18, 0.00000, 1.37005, 0.638627, 0, 0
19, 0.00000, 1.61107, 0.790959, 0, 0
20, 0.00000, 1.65726, 0.823169, 0, 0
21, 0.00000, 1.62584, 0.801811, 0, 0
22, 0.00000, 1.54064, 0.744628, 0, 0
23, 0.00000, 1.37528, 0.640099, 0, 0
24, 0.00000, 1.25404, 0.568961, 0, 0
25, 0.00000, 1.08387, 0.475883, 0, 0
26, 0.00000, 0.994576, 0.429088, 0, 0
27, 0.00000, 0.932298, 0.397282, 0, 0
28, 0.00000, 0.919463, 0.390814, 0, 0
29, 0.00000, 0.911015, 0.386417, 0, 0
30, 0.00000, 0.949623, 0.405734, 0, 0
31, 0.00000, 1.01175, 0.43807, 0, 0
32, 0.00000, 0.989205, 0.426958, 0, 0
33, 0.00000, 1.04926, 0.459653, 0, 0
34, 0.00000, 1.14639, 0.513372, 0, 0
35, 0.00000, 1.17599, 0.530298, 0, 0
36, 0.00000, 1.26671, 0.580871, 0, 0
37, 0.00000, 1.34095, 0.624389, 0, 0
38, 0.00000, 1.27274, 0.585561, 0, 0
39, 0.00000, 1.29441, 0.598265, 0, 0
40, 0.00000, 1.27578, 0.587221, 0, 0
41, 0.00000, 1.30303, 0.601485, 0, 0
42, 0.00000, 1.37005, 0.638627, 0, 0
43, 0.00000, 1.61107, 0.790959, 0, 0
44, 0.00000, 1.65726, 0.823169, 0, 0
45, 0.00000, 1.62584, 0.801811, 0, 0
46, 0.00000, 1.54064, 0.744628, 0, 0
47, 0.00000, 1.37528, 0.640099, 0, 0
48, 0.00000, 1.25404, 0.568961, 0, 0
48, 0.00000, 1.25404, 0.568961, 0, 0
