hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 5.26378, 2.22032, 5.2638, 2.21974, 5.26422, 2.22015, 0, 0
2, 0.00000, 4.82579, 2.01071, 4.82581, 2.01023, 4.82615, 2.01057, 0, 0
3, 0.00000, 4.51896, 1.86719, 4.51898, 1.86676, 4.51928, 1.86706, 0, 0
4, 0.00000, 4.45614, 1.83819, 4.45616, 1.83778, 4.45645, 1.83808, 0, 0
5, 0.00000, 4.41356, 1.81739, 4.41358, 1.81699, 4.41387, 1.81728, 0, 0
6, 0.00000, 4.60722, 1.90751, 4.60724, 1.90707, 4.60755, 1.90738, 0, 0
7, 0.00000, 4.92877, 2.06653, 4.92879, 2.06603, 4.92914, 2.06638, 0, 0
8, 0.00000, 4.83823, 2.03322, 4.83825, 2.03274, 4.83859, 2.03307, 0, 0
9, 0.00000, 5.1503, 2.19478, 5.15031, 2.19424, 5.15071, 2.19462, 0, 0
10, 0.00000, 5.63982, 2.44813, 5.63983, 2.44748, 5.6403, 2.44793, 0, 0
11, 0.00000, 5.78974, 2.52891, 5.78975, 2.52822, 5.79025, 2.5287, 0, 0
12, 0.00000, 6.36066, 2.86224, 6.36065, 2.86143, 6.36126, 2.86197, 0, 0
13, 0.00000, 6.70553, 3.04429, 6.70551, 3.04337, 6.70621, 3.04398, 0, 0
14, 0.00000, 6.34064, 2.84227, 6.34064, 2.84144, 6.34125, 2.842, 0, 0
15, 0.00000, 6.39973, 2.85977, 6.39974, 2.85892, 6.40037, 2.8595, 0, 0
16, 0.00000, 6.24927, 2.75961, 6.24929, 2.75878, 6.24989, 2.75935, 0, 0
17, 0.00000, 6.33919, 2.78652, 6.33921, 2.78566, 6.33983, 2.78627, 0, 0
18, 0.00000, 6.64528, 2.93429, 6.64531, 2.93333, 6.64601, 2.93401, 0, 0
19, 0.00000, 7.78425, 3.58292, 7.78429, 3.58155, 7.78528, 3.5825, 0, 0
20, 0.00000, 7.99843, 3.71644, 7.99847, 3.71498, 7.99953, 3.716, 0, 0
21, 0.00000, 7.85212, 3.62741, 7.85216, 3.62602, 7.85317, 3.62699, 0, 0
22, 0.00000, 7.45248, 3.38645, 7.45251, 3.38521, 7.45341, 3.38608, 0, 0
23, 0.00000, 6.67028, 2.94039, 6.6703, 2.93942, 6.671, 2.9401, 0, 0
24, 0.00000, 6.0886, 2.63108, 6.08863, 2.63029, 6.0892, 2.63085, 0, 0
25, 0.00000, 5.26345, 2.22049, 5.26347, 2.21991, 5.26388, 2.22032, 0, 0
26, 0.00000, 4.82579, 2.01071, 4.82581, 2.01023, 4.82616, 2.01057, 0, 0
27, 0.00000, 4.51896, 1.86719, 4.51898, 1.86676, 4.51928, 1.86706, 0, 0
28, 0.00000, 4.45614, 1.83819, 4.45616, 1.83778, 4.45645, 1.83808, 0, 0
29, 0.00000, 4.41356, 1.81739, 4.41358, 1.81699, 4.41387, 1.81728, 0, 0
30, 0.00000, 4.60722, 1.90751, 4.60724, 1.90707, 4.60755, 1.90738, 0, 0
31, 0.00000, 4.92877, 2.06653, 4.92879, 2.06603, 4.92914, 2.06638, 0, 0
32, 0.00000, 4.83823, 2.03322, 4.83825, 2.03274, 4.83859, 2.03307, 0, 0
33, 0.00000, 5.1503, 2.19478, 5.15031, 2.19424, 5.15071, 2.19462, 0, 0
34, 0.00000, 5.63982, 2.44813, 5.63983, 2.44748, 5.6403, 2.44793, 0, 0
35, 0.00000, 5.78974, 2.52891, 5.78975, 2.52822, 5.79025, 2.5287, 0, 0
36, 0.00000, 6.23444, 2.75709, 6.23445, 2.75628, 6.23504, 2.75683, 0, 0
37, 0.00000, 6.58903, 2.9459, 6.58904, 2.94499, 6.58971, 2.94562, 0, 0
38, 0.00000, 6.24676, 2.76354, 6.24677, 2.76272, 6.24737, 2.76329, 0, 0
39, 0.00000, 6.3385, 2.80845, 6.33852, 2.8076, 6.33914, 2.80819, 0, 0
40, 0.00000, 6.23138, 2.74481, 6.2314, 2.74399, 6.232, 2.74456, 0, 0
41, 0.00000, 6.33924, 2.78648, 6.33926, 2.78561, 6.33989, 2.78622, 0, 0
42, 0.00000, 6.64528, 2.93429, 6.64531, 2.93333, 6.64601, 2.93401, 0, 0
43, 0.00000, 7.78425, 3.58292, 7.78429, 3.58155, 7.78528, 3.5825, 0, 0
44, 0.00000, 7.99843, 3.71644, 7.99847, 3.71498, 7.99953, 3.716, 0, 0
45, 0.00000, 7.85212, 3.62741, 7.85216, 3.62602, 7.85317, 3.62699, 0, 0
46, 0.00000, 7.45248, 3.38645, 7.45251, 3.38521, 7.45341, 3.38608, 0, 0
47, 0.00000, 6.67028, 2.94039, 6.6703, 2.93942, 6.671, 2.9401, 0, 0
48, 0.00000, 6.0886, 2.63108, 6.08863, 2.63029, 6.0892, 2.63085, 0, 0
48, 0.00000, 6.0886, 2.63108, 6.08863, 2.63029, 6.0892, 2.63085, 0, 0
