hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 218.836, -32.7519, 218.836, -152.753, 218.834, 87.2479, 1.82833E-010, 92.2211, 32.4056, 124.484, 32.4056, 4.48292, 32.4056, -115.516, 0.000314285, 102.749
2, 0.00000, 219.911, -32.5168, 219.91, -152.517, 219.908, 87.4831, 1.51557E-010, 92.0523, 29.505, 124.868, 29.505, 4.86698, 29.505, -115.132, 0.000261232, 102.479
3, 0.00000, 220.653, -32.3527, 220.652, -152.353, 220.651, 87.6471, 1.31738E-010, 91.8353, 27.4926, 125.124, 27.4926, 5.12343, 27.4926, -114.876, 0.000227402, 102.265
4, 0.00000, 220.81, -32.3195, 220.81, -152.32, 220.808, 87.6804, 1.27647E-010, 91.8161, 27.0766, 125.171, 27.0766, 5.17035, 27.0766, -114.829, 0.000220622, 102.224
5, 0.00000, 220.909, -32.2972, 220.909, -152.298, 220.907, 87.7026, 1.25147E-010, 91.7556, 26.8058, 125.212, 26.8057, 5.21148, 26.8057, -114.788, 0.000216359, 102.185
6, 0.00000, 220.975, -32.1879, 220.974, -152.189, 220.973, 87.8119, 1.36076E-010, 92.179, 28.0481, 125.236, 28.0481, 5.23513, 28.0481, -114.764, 0.000235238, 102.605
7, 0.00000, 222.466, -31.3729, 222.465, -151.374, 222.464, 88.6269, 1.53041E-010, 93.6825, 30.053, 125.753, 30.053, 5.75289, 30.053, -114.246, 0.000263577, 104.219
8, 0.00000, 225.584, -29.745, 225.583, -149.746, 225.581, 90.2549, 1.41573E-010, 95.9354, 29.3195, 127.166, 29.3195, 7.16542, 29.3194, -112.834, 0.00024454, 106.383
9, 0.00000, 226.652, -28.657, 226.651, -148.658, 226.65, 91.3429, 1.58772E-010, 97.9825, 31.2765, 127.95, 31.2765, 7.94912, 31.2765, -112.05, 0.00027338, 108.406
10, 0.00000, 226.551, -28.0518, 226.55, -148.053, 226.548, 91.948, 1.90972E-010, 99.4595, 34.4596, 128.227, 34.4596, 8.22611, 34.4595, -111.773, 0.000328041, 109.982
11, 0.00000, 226.589, -27.7502, 226.588, -147.751, 226.586, 92.2496, 2.01335E-010, 100.174, 35.4347, 128.414, 35.4346, 8.4136, 35.4346, -111.586, 0.000345643, 110.644
12, 0.00000, 225.582, -28.0379, 225.581, -148.039, 225.579, 91.962, 2.36744E-010, 100.222, 38.4238, 127.944, 38.4237, 7.94327, 38.4237, -112.056, 0.000405542, 110.776
13, 0.00000, 224.176, -28.7929, 224.175, -148.794, 224.173, 91.207, 2.69002E-010, 99.5529, 40.9025, 127.045, 40.9025, 7.04394, 40.9024, -112.955, 0.000460707, 110.151
