hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 1212.45, 705.883, 1213.85, 706.337, 1212.55, 705.851
2, 0.00000, 1112.26, 634.539, 1113.54, 634.951, 1112.34, 634.512
3, 0.00000, 1041.07, 586.189, 1042.27, 586.571, 1041.15, 586.166
4, 0.00000, 1022.36, 576.298, 1023.55, 576.674, 1022.43, 576.276
5, 0.00000, 1019.99, 570.25, 1021.17, 570.622, 1020.06, 570.228
6, 0.00000, 1028.55, 595.361, 1029.78, 595.753, 1028.63, 595.338
7, 0.00000, 920.471, 630.967, 921.776, 631.398, 920.549, 630.949
8, 0.00000, 623.117, 615.735, 624.397, 616.168, 623.177, 615.73
9, 0.00000, 479.28, 678.661, 480.641, 679.137, 479.338, 678.666
10, 0.00000, 445.217, 771.65, 446.709, 772.186, 445.284, 771.661
11, 0.00000, 414.185, 804.933, 415.718, 805.489, 414.253, 804.947
12, 0.00000, -268.655, 990.586, -266.97, 991.244, -268.618, 990.654
13, 0.00000, 49.2459, 992.06, 51.021, 992.746, 49.3101, 992.11
14, 0.00000, 223.716, 894.574, 225.389, 895.205, 223.783, 894.605
15, 0.00000, 617.372, 869.979, 619.061, 870.598, 617.467, 869.983
16, 0.00000, 996.003, 841.968, 997.656, 842.55, 996.121, 841.947
17, 0.00000, 1336.77, 879.892, 1338.45, 880.465, 1336.91, 879.851
18, 0.00000, 1536.37, 953.923, 1538.14, 954.518, 1536.54, 953.869
19, 0.00000, 1801.34, 1184.48, 1803.43, 1185.19, 1801.59, 1184.4
20, 0.00000, 1856.95, 1233.39, 1859.1, 1234.14, 1857.22, 1233.31
21, 0.00000, 1822.3, 1201.53, 1824.41, 1202.26, 1822.55, 1201.45
22, 0.00000, 1731.04, 1115.05, 1733.04, 1115.73, 1731.27, 1114.98
23, 0.00000, 1544.12, 956.302, 1545.9, 956.897, 1544.3, 956.248
24, 0.00000, 1409.3, 848.084, 1410.92, 848.62, 1409.45, 848.04
25, 0.00000, 1212.46, 705.64, 1213.86, 706.094, 1212.57, 705.607
26, 0.00000, 1112.25, 634.54, 1113.54, 634.951, 1112.34, 634.513
27, 0.00000, 1041.07, 586.189, 1042.27, 586.571, 1041.15, 586.166
28, 0.00000, 1022.36, 576.298, 1023.55, 576.674, 1022.43, 576.276
29, 0.00000, 1019.99, 570.25, 1021.17, 570.622, 1020.06, 570.228
30, 0.00000, 1028.55, 595.361, 1029.78, 595.753, 1028.63, 595.338
31, 0.00000, 920.471, 630.967, 921.776, 631.398, 920.549, 630.949
32, 0.00000, 623.117, 615.735, 624.397, 616.168, 623.177, 615.73
33, 0.00000, 479.28, 678.661, 480.641, 679.137, 479.338, 678.666
34, 0.00000, 445.217, 771.65, 446.709, 772.186, 445.284, 771.661
35, 0.00000, 414.185, 804.933, 415.718, 805.489, 414.253, 804.947
36, 0.00000, 527.607, 871.507, 529.259, 872.11, 527.693, 871.518
37, 0.00000, 704.431, 916.989, 706.179, 917.627, 704.539, 916.991
38, 0.00000, 750.275, 850.779, 751.929, 851.374, 750.376, 850.775
39, 0.00000, 929.15, 859.282, 930.829, 859.878, 929.266, 859.266
40, 0.00000, 1082.94, 843.361, 1084.59, 843.936, 1083.06, 843.335
41, 0.00000, 1336.61, 880.036, 1338.29, 880.609, 1336.76, 879.995
42, 0.00000, 1536.37, 953.923, 1538.14, 954.518, 1536.55, 953.869
43, 0.00000, 1801.34, 1184.48, 1803.43, 1185.19, 1801.59, 1184.4
44, 0.00000, 1856.95, 1233.39, 1859.1, 1234.14, 1857.22, 1233.31
45, 0.00000, 1822.3, 1201.53, 1824.41, 1202.26, 1822.55, 1201.45
46, 0.00000, 1731.04, 1115.05, 1733.04, 1115.73, 1731.27, 1114.98
47, 0.00000, 1544.12, 956.302, 1545.9, 956.897, 1544.3, 956.248
48, 0.00000, 1409.3, 848.084, 1410.92, 848.62, 1409.45, 848.04
48, 0.00000, 1409.3, 848.084, 1410.92, 848.62, 1409.45, 848.04
