hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 6.01958, 2.5617, 6.01962, 2.56104, 6.02009, 2.56151, 0, 0
2, 0.00000, 5.52202, 2.32224, 5.52205, 2.32168, 5.52244, 2.32208, 0, 0
3, 0.00000, 5.1728, 2.158, 5.17283, 2.15751, 5.17317, 2.15786, 0, 0
4, 0.00000, 5.10075, 2.12459, 5.10077, 2.12412, 5.10111, 2.12446, 0, 0
5, 0.00000, 5.0527, 2.10129, 5.05272, 2.10082, 5.05305, 2.10116, 0, 0
6, 0.00000, 5.27262, 2.204, 5.27265, 2.2035, 5.27301, 2.20386, 0, 0
7, 0.00000, 5.63547, 2.38324, 5.6355, 2.38267, 5.63591, 2.38308, 0, 0
8, 0.00000, 5.52794, 2.34155, 5.52797, 2.341, 5.52836, 2.34139, 0, 0
9, 0.00000, 5.87926, 2.52388, 5.87928, 2.52326, 5.87973, 2.52369, 0, 0
10, 0.00000, 6.43214, 2.81045, 6.43216, 2.8097, 6.4327, 2.81023, 0, 0
11, 0.00000, 6.60112, 2.90123, 6.60114, 2.90044, 6.60172, 2.901, 0, 0
12, 0.00000, 7.19649, 3.23797, 7.1965, 3.23704, 7.19719, 3.23767, 0, 0
13, 0.00000, 7.59126, 3.44802, 7.59127, 3.44697, 7.59205, 3.44769, 0, 0
14, 0.00000, 7.19041, 3.22872, 7.19042, 3.22778, 7.19111, 3.22843, 0, 0
15, 0.00000, 7.27261, 3.26124, 7.27263, 3.26027, 7.27334, 3.26095, 0, 0
16, 0.00000, 7.12271, 3.16434, 7.12275, 3.16339, 7.12343, 3.16406, 0, 0
17, 0.00000, 7.23527, 3.20372, 7.23531, 3.20273, 7.23602, 3.20343, 0, 0
18, 0.00000, 7.58486, 3.37376, 7.58491, 3.37266, 7.58569, 3.37345, 0, 0
19, 0.00000, 8.8681, 4.10613, 8.86817, 4.10457, 8.8693, 4.10568, 0, 0
20, 0.00000, 9.10912, 4.25687, 9.10919, 4.2552, 9.11039, 4.25638, 0, 0
21, 0.00000, 8.94461, 4.15651, 8.94468, 4.15491, 8.94583, 4.15604, 0, 0
22, 0.00000, 8.49585, 3.88553, 8.49591, 3.88411, 8.49693, 3.88512, 0, 0
23, 0.00000, 7.61324, 3.38104, 7.61329, 3.37993, 7.61408, 3.38072, 0, 0
24, 0.00000, 6.95578, 3.02992, 6.95582, 3.02901, 6.95647, 3.02966, 0, 0
25, 0.00000, 6.01954, 2.56181, 6.01957, 2.56114, 6.02004, 2.56162, 0, 0
26, 0.00000, 5.52202, 2.32224, 5.52205, 2.32168, 5.52244, 2.32208, 0, 0
27, 0.00000, 5.1728, 2.158, 5.17283, 2.15751, 5.17317, 2.15786, 0, 0
28, 0.00000, 5.10075, 2.12459, 5.10077, 2.12412, 5.10111, 2.12446, 0, 0
29, 0.00000, 5.0527, 2.10129, 5.05272, 2.10082, 5.05305, 2.10116, 0, 0
30, 0.00000, 5.27262, 2.204, 5.27265, 2.2035, 5.27301, 2.20386, 0, 0
31, 0.00000, 5.63547, 2.38324, 5.6355, 2.38267, 5.63591, 2.38308, 0, 0
32, 0.00000, 5.52794, 2.34155, 5.52797, 2.341, 5.52836, 2.34139, 0, 0
33, 0.00000, 5.87926, 2.52388, 5.87928, 2.52326, 5.87973, 2.52369, 0, 0
34, 0.00000, 6.43214, 2.81045, 6.43216, 2.8097, 6.4327, 2.81023, 0, 0
35, 0.00000, 6.60112, 2.90123, 6.60114, 2.90044, 6.60172, 2.901, 0, 0
36, 0.00000, 7.10402, 3.16015, 7.10404, 3.15923, 7.10472, 3.15987, 0, 0
37, 0.00000, 7.50598, 3.37501, 7.50601, 3.37396, 7.50677, 3.37469, 0, 0
38, 0.00000, 7.12129, 3.17011, 7.12132, 3.16917, 7.122, 3.16983, 0, 0
39, 0.00000, 7.22745, 3.22288, 7.22748, 3.22191, 7.22818, 3.22259, 0, 0
40, 0.00000, 7.10934, 3.15306, 7.10938, 3.15212, 7.11006, 3.15279, 0, 0
41, 0.00000, 7.23543, 3.20371, 7.23548, 3.20272, 7.23618, 3.20343, 0, 0
42, 0.00000, 7.58486, 3.37376, 7.5849, 3.37266, 7.58569, 3.37345, 0, 0
43, 0.00000, 8.8681, 4.10613, 8.86817, 4.10457, 8.8693, 4.10568, 0, 0
44, 0.00000, 9.10912, 4.25687, 9.10919, 4.2552, 9.11039, 4.25638, 0, 0
45, 0.00000, 8.94461, 4.15651, 8.94468, 4.15491, 8.94583, 4.15604, 0, 0
46, 0.00000, 8.49585, 3.88553, 8.49591, 3.88411, 8.49693, 3.88512, 0, 0
47, 0.00000, 7.61324, 3.38104, 7.61329, 3.37993, 7.61408, 3.38072, 0, 0
48, 0.00000, 6.95578, 3.02992, 6.95582, 3.02901, 6.95647, 3.02966, 0, 0
48, 0.00000, 6.95578, 3.02992, 6.95582, 3.02901, 6.95647, 3.02966, 0, 0
