hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 0.272752, 0.102526, 0, 0
2, 0.00000, 0.25332, 0.0929076, 0, 0
3, 0.00000, 0.23972, 0.0863192, 0, 0
4, 0.00000, 0.236916, 0.0849767, 0, 0
5, 0.00000, 0.235051, 0.0840517, 0, 0
6, 0.00000, 0.243594, 0.0881186, 0, 0
7, 0.00000, 0.257646, 0.0950679, 0, 0
8, 0.00000, 0.253346, 0.093087, 0, 0
9, 0.00000, 0.266913, 0.100134, 0, 0
10, 0.00000, 0.288377, 0.111411, 0, 0
11, 0.00000, 0.294936, 0.114964, 0, 0
12, 0.00000, 0.317516, 0.127292, 0, 0
13, 0.00000, 0.333161, 0.135925, 0, 0
14, 0.00000, 0.317681, 0.127531, 0, 0
15, 0.00000, 0.321226, 0.129361, 0, 0
16, 0.00000, 0.315706, 0.126114, 0, 0
17, 0.00000, 0.320432, 0.128235, 0, 0
18, 0.00000, 0.334374, 0.135347, 0, 0
19, 0.00000, 0.385496, 0.165245, 0, 0
20, 0.00000, 0.395178, 0.171473, 0, 0
21, 0.00000, 0.388575, 0.167342, 0, 0
22, 0.00000, 0.370615, 0.156217, 0, 0
23, 0.00000, 0.335497, 0.135625, 0, 0
24, 0.00000, 0.309516, 0.1214, 0, 0
25, 0.00000, 0.272752, 0.102529, 0, 0
26, 0.00000, 0.25332, 0.0929076, 0, 0
27, 0.00000, 0.23972, 0.0863192, 0, 0
28, 0.00000, 0.236916, 0.0849767, 0, 0
29, 0.00000, 0.235051, 0.0840517, 0, 0
30, 0.00000, 0.243594, 0.0881186, 0, 0
31, 0.00000, 0.257646, 0.0950679, 0, 0
32, 0.00000, 0.253346, 0.093087, 0, 0
33, 0.00000, 0.266913, 0.100134, 0, 0
34, 0.00000, 0.288377, 0.111411, 0, 0
35, 0.00000, 0.294936, 0.114964, 0, 0
36, 0.00000, 0.314618, 0.125306, 0, 0
37, 0.00000, 0.330477, 0.13403, 0, 0
38, 0.00000, 0.315465, 0.125999, 0, 0
39, 0.00000, 0.319764, 0.128344, 0, 0
40, 0.00000, 0.315266, 0.125811, 0, 0
41, 0.00000, 0.320436, 0.128234, 0, 0
42, 0.00000, 0.334374, 0.135347, 0, 0
43, 0.00000, 0.385496, 0.165245, 0, 0
44, 0.00000, 0.395178, 0.171473, 0, 0
45, 0.00000, 0.388575, 0.167342, 0, 0
46, 0.00000, 0.370615, 0.156217, 0, 0
47, 0.00000, 0.335497, 0.135625, 0, 0
48, 0.00000, 0.309516, 0.1214, 0, 0
48, 0.00000, 0.309516, 0.1214, 0, 0
