hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 12.7052, 5.53239, 12.7053, 5.531, 12.7063, 5.53199, 0, 0
2, 0.00000, 11.64, 5.00391, 11.6401, 5.00276, 11.6409, 5.00358, 0, 0
3, 0.00000, 10.8937, 4.64271, 10.8937, 4.64171, 10.8944, 4.64243, 0, 0
4, 0.00000, 10.7395, 4.56917, 10.7395, 4.56819, 10.7402, 4.56889, 0, 0
5, 0.00000, 10.6376, 4.51874, 10.6376, 4.51778, 10.6383, 4.51847, 0, 0
6, 0.00000, 11.1037, 4.74108, 11.1037, 4.74003, 11.1045, 4.74078, 0, 0
7, 0.00000, 11.8605, 5.1196, 11.8606, 5.11841, 11.8614, 5.11926, 0, 0
8, 0.00000, 11.6066, 5.00797, 11.6067, 5.00684, 11.6075, 5.00765, 0, 0
9, 0.00000, 12.3382, 5.39159, 12.3383, 5.39031, 12.3392, 5.39122, 0, 0
10, 0.00000, 13.5056, 6.00843, 13.5057, 6.00689, 13.5068, 6.00798, 0, 0
11, 0.00000, 13.8613, 6.20291, 13.8614, 6.20128, 13.8625, 6.20243, 0, 0
12, 0.00000, 15.0532, 6.87182, 15.0533, 6.8699, 15.0547, 6.87124, 0, 0
13, 0.00000, 15.9143, 7.34768, 15.9144, 7.3455, 15.9159, 7.34702, 0, 0
14, 0.00000, 15.0817, 6.88742, 15.0818, 6.88547, 15.0832, 6.88683, 0, 0
15, 0.00000, 15.295, 6.99237, 15.2951, 6.99035, 15.2965, 6.99177, 0, 0
16, 0.00000, 15.0203, 6.8202, 15.0204, 6.81824, 15.0218, 6.81962, 0, 0
17, 0.00000, 15.3024, 6.94433, 15.3025, 6.94228, 15.304, 6.94373, 0, 0
18, 0.00000, 16.0742, 7.34201, 16.0743, 7.33973, 16.076, 7.34135, 0, 0
19, 0.00000, 18.8571, 8.99646, 18.8572, 8.9932, 18.8596, 8.9955, 0, 0
20, 0.00000, 19.3833, 9.34052, 19.3835, 9.33705, 19.386, 9.33949, 0, 0
21, 0.00000, 19.0248, 9.1119, 19.025, 9.10858, 19.0274, 9.11092, 0, 0
22, 0.00000, 18.0488, 8.49685, 18.0489, 8.4939, 18.051, 8.49598, 0, 0
23, 0.00000, 16.1356, 7.35868, 16.1357, 7.35638, 16.1373, 7.35801, 0, 0
24, 0.00000, 14.7172, 6.57301, 14.7173, 6.57112, 14.7186, 6.57246, 0, 0
25, 0.00000, 12.7052, 5.53252, 12.7052, 5.53114, 12.7062, 5.53213, 0, 0
26, 0.00000, 11.64, 5.00391, 11.6401, 5.00276, 11.6409, 5.00358, 0, 0
27, 0.00000, 10.8937, 4.64271, 10.8937, 4.64171, 10.8944, 4.64243, 0, 0
28, 0.00000, 10.7395, 4.56917, 10.7395, 4.56819, 10.7402, 4.56889, 0, 0
29, 0.00000, 10.6376, 4.51874, 10.6376, 4.51778, 10.6383, 4.51847, 0, 0
30, 0.00000, 11.1037, 4.74108, 11.1037, 4.74003, 11.1045, 4.74078, 0, 0
31, 0.00000, 11.8605, 5.1196, 11.8606, 5.11841, 11.8614, 5.11926, 0, 0
32, 0.00000, 11.6066, 5.00797, 11.6067, 5.00684, 11.6075, 5.00765, 0, 0
33, 0.00000, 12.3382, 5.39159, 12.3383, 5.39031, 12.3392, 5.39122, 0, 0
34, 0.00000, 13.5056, 6.00843, 13.5057, 6.00689, 13.5068, 6.00798, 0, 0
35, 0.00000, 13.8613, 6.20291, 13.8614, 6.20128, 13.8625, 6.20243, 0, 0
36, 0.00000, 14.9363, 6.77212, 14.9363, 6.77021, 14.9377, 6.77155, 0, 0
37, 0.00000, 15.8052, 7.25311, 15.8053, 7.25094, 15.8068, 7.25246, 0, 0
38, 0.00000, 14.993, 6.81124, 14.9931, 6.8093, 14.9945, 6.81066, 0, 0
39, 0.00000, 15.2365, 6.94208, 15.2366, 6.94007, 15.2381, 6.94149, 0, 0
40, 0.00000, 15.0028, 6.80523, 15.0029, 6.80328, 15.0043, 6.80466, 0, 0
41, 0.00000, 15.3026, 6.94432, 15.3027, 6.94227, 15.3042, 6.94372, 0, 0
42, 0.00000, 16.0742, 7.34201, 16.0743, 7.33973, 16.076, 7.34135, 0, 0
43, 0.00000, 18.8571, 8.99646, 18.8572, 8.9932, 18.8596, 8.9955, 0, 0
44, 0.00000, 19.3833, 9.34052, 19.3835, 9.33705, 19.386, 9.33949, 0, 0
45, 0.00000, 19.0248, 9.1119, 19.025, 9.10858, 19.0274, 9.11092, 0, 0
46, 0.00000, 18.0488, 8.49685, 18.0489, 8.4939, 18.051, 8.49598, 0, 0
47, 0.00000, 16.1356, 7.35868, 16.1357, 7.35638, 16.1373, 7.35801, 0, 0
48, 0.00000, 14.7172, 6.57301, 14.7173, 6.57112, 14.7186, 6.57246, 0, 0
48, 0.00000, 14.7172, 6.57301, 14.7173, 6.57112, 14.7186, 6.57246, 0, 0
