hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 10.5126, 4.63011, 10.5127, 4.62894, 10.5135, 4.62979, 0, 0
2, 0.00000, 9.64334, 4.19052, 9.6434, 4.18955, 9.64408, 4.19026, 0, 0
3, 0.00000, 9.03262, 3.88964, 9.03268, 3.88879, 9.03327, 3.88941, 0, 0
4, 0.00000, 8.90656, 3.82852, 8.90662, 3.82769, 8.90719, 3.82829, 0, 0
5, 0.00000, 8.82248, 3.78598, 8.82254, 3.78517, 8.8231, 3.78576, 0, 0
6, 0.00000, 9.20716, 3.97377, 9.20722, 3.97288, 9.20783, 3.97353, 0, 0
7, 0.00000, 9.841, 4.30082, 9.84106, 4.29981, 9.84177, 4.30054, 0, 0
8, 0.00000, 9.65261, 4.22288, 9.65266, 4.22191, 9.65334, 4.2226, 0, 0
9, 0.00000, 10.2664, 4.55545, 10.2664, 4.55436, 10.2672, 4.55514, 0, 0
10, 0.00000, 11.2312, 5.0799, 11.2313, 5.07858, 11.2322, 5.07951, 0, 0
11, 0.00000, 11.5257, 5.24588, 11.5257, 5.24449, 11.5267, 5.24547, 0, 0
12, 0.00000, 12.5672, 5.86375, 12.5673, 5.86211, 12.5685, 5.86324, 0, 0
13, 0.00000, 13.2531, 6.25022, 13.2532, 6.24837, 13.2545, 6.24965, 0, 0
14, 0.00000, 12.5544, 5.84676, 12.5544, 5.84511, 12.5556, 5.84627, 0, 0
15, 0.00000, 12.6962, 5.90797, 12.6962, 5.90625, 12.6975, 5.90747, 0, 0
16, 0.00000, 12.4346, 5.73241, 12.4347, 5.73075, 12.4359, 5.73193, 0, 0
17, 0.00000, 12.6312, 5.809, 12.6313, 5.80726, 12.6325, 5.80851, 0, 0
18, 0.00000, 13.24, 6.12594, 13.2401, 6.124, 13.2414, 6.1254, 0, 0
19, 0.00000, 15.4672, 7.48053, 15.4673, 7.47778, 15.4693, 7.47976, 0, 0
20, 0.00000, 15.8844, 7.75912, 15.8846, 7.75619, 15.8866, 7.7583, 0, 0
21, 0.00000, 15.5996, 7.57333, 15.5997, 7.57052, 15.6017, 7.57255, 0, 0
22, 0.00000, 14.822, 7.07228, 14.8221, 7.06978, 14.8239, 7.07158, 0, 0
23, 0.00000, 13.2895, 6.14028, 13.2896, 6.13833, 13.291, 6.13974, 0, 0
24, 0.00000, 12.1453, 5.49238, 12.1454, 5.49078, 12.1466, 5.49194, 0, 0
25, 0.00000, 10.5125, 4.63028, 10.5126, 4.6291, 10.5134, 4.62995, 0, 0
26, 0.00000, 9.64334, 4.19052, 9.6434, 4.18954, 9.64409, 4.19025, 0, 0
27, 0.00000, 9.03262, 3.88964, 9.03268, 3.88879, 9.03327, 3.88941, 0, 0
28, 0.00000, 8.90656, 3.82852, 8.90662, 3.82769, 8.90719, 3.82829, 0, 0
29, 0.00000, 8.82248, 3.78598, 8.82254, 3.78517, 8.8231, 3.78576, 0, 0
30, 0.00000, 9.20716, 3.97377, 9.20722, 3.97288, 9.20783, 3.97353, 0, 0
31, 0.00000, 9.841, 4.30082, 9.84106, 4.29981, 9.84177, 4.30054, 0, 0
32, 0.00000, 9.65261, 4.22288, 9.65266, 4.22191, 9.65334, 4.2226, 0, 0
33, 0.00000, 10.2664, 4.55545, 10.2664, 4.55436, 10.2672, 4.55514, 0, 0
34, 0.00000, 11.2312, 5.0799, 11.2313, 5.07858, 11.2322, 5.07951, 0, 0
35, 0.00000, 11.5257, 5.24588, 11.5257, 5.24449, 11.5267, 5.24547, 0, 0
36, 0.00000, 12.4018, 5.72216, 12.4019, 5.72053, 12.4031, 5.72168, 0, 0
37, 0.00000, 13.1013, 6.1181, 13.1014, 6.11626, 13.1027, 6.11757, 0, 0
38, 0.00000, 12.4317, 5.74106, 12.4318, 5.73941, 12.433, 5.74059, 0, 0
39, 0.00000, 12.6167, 5.83933, 12.6168, 5.83762, 12.618, 5.83884, 0, 0
40, 0.00000, 12.4113, 5.71236, 12.4114, 5.7107, 12.4125, 5.71189, 0, 0
41, 0.00000, 12.6314, 5.809, 12.6315, 5.80726, 12.6328, 5.80851, 0, 0
42, 0.00000, 13.24, 6.12594, 13.2401, 6.124, 13.2414, 6.1254, 0, 0
43, 0.00000, 15.4672, 7.48053, 15.4673, 7.47778, 15.4693, 7.47976, 0, 0
44, 0.00000, 15.8844, 7.75912, 15.8846, 7.75619, 15.8866, 7.7583, 0, 0
45, 0.00000, 15.5996, 7.57333, 15.5997, 7.57052, 15.6017, 7.57255, 0, 0
46, 0.00000, 14.822, 7.07228, 14.8221, 7.06978, 14.8239, 7.07158, 0, 0
47, 0.00000, 13.2895, 6.14028, 13.2896, 6.13833, 13.291, 6.13974, 0, 0
48, 0.00000, 12.1453, 5.49238, 12.1454, 5.49078, 12.1466, 5.49194, 0, 0
48, 0.00000, 12.1453, 5.49238, 12.1454, 5.49078, 12.1466, 5.49194, 0, 0
