hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, -2.32224, -0.000187078, -2.32224, -0.000187065, -2.32224, -0.00018708, 8.73366E-017, -1.69889E-017
7, 0.00000, -13.3023, 0.000852858, -13.3023, 0.000852813, -13.3023, 0.000852856, -8.74193E-016, 1.76521E-016
8, 0.00000, -31.5116, 0.00236418, -31.5116, 0.00236407, -31.5116, 0.00236416, -6.9315E-015, 1.36132E-015
9, 0.00000, -45.3222, 0.00268842, -45.3222, 0.00268827, -45.3222, 0.00268809, -1.7E-014, 3.38355E-015
10, 0.00000, -54.7046, -0.007126, -54.7046, -0.00712542, -54.7046, -0.00712596, -3.05251E-014, 6.14144E-015
11, 0.00000, -58.8442, -0.00743749, -58.8442, -0.0074369, -58.8442, -0.00743658, -3.788E-014, 7.68246E-015
12, 0.00000, -58.1445, 0.0108672, -58.1445, 0.010868, -58.1445, 0.0108677, -4.26965E-014, 8.72645E-015
13, 0.00000, -51.8059, -0.00282975, -51.8059, -0.00282976, -51.8059, -0.00282964, -3.69406E-014, 7.59896E-015
14, 0.00000, -44.0489, 0.0079132, -44.0489, 0.00791276, -44.0489, 0.00791327, -2.32973E-014, 4.7621E-015
15, 0.00000, -33.8524, -0.00432001, -33.8524, -0.00431994, -33.8524, -0.00431985, -1.33812E-014, 2.75047E-015
16, 0.00000, -22.342, -0.00155744, -22.342, -0.00155738, -22.342, -0.00155744, -4.86811E-015, 9.97694E-016
17, 0.00000, -7.96512, -0.000862266, -7.96512, -0.000862238, -7.96512, -0.000862267, 1.33809E-016, -2.76715E-017
18, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
19, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
25, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
26, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
27, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
28, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
29, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
30, 0.00000, -2.32224, -0.000187078, -2.32224, -0.000187065, -2.32224, -0.00018708, 8.73174E-017, -1.68701E-017
31, 0.00000, -13.3023, 0.000852858, -13.3023, 0.000852813, -13.3023, 0.000852856, -8.72084E-016, 1.71477E-016
32, 0.00000, -31.5116, 0.00236418, -31.5116, 0.00236407, -31.5116, 0.00236416, -6.927E-015, 1.3662E-015
33, 0.00000, -45.3222, 0.00268842, -45.3222, 0.00268827, -45.3222, 0.00268809, -1.69948E-014, 3.38582E-015
34, 0.00000, -54.7046, -0.007126, -54.7046, -0.00712542, -54.7046, -0.00712596, -3.05205E-014, 6.14589E-015
35, 0.00000, -58.8442, -0.00743749, -58.8442, -0.0074369, -58.8442, -0.00743658, -3.78638E-014, 7.68125E-015
36, 0.00000, -58.1445, 0.0108672, -58.1445, 0.010868, -58.1445, 0.0108677, -4.26856E-014, 8.72188E-015
37, 0.00000, -51.8059, -0.00282975, -51.8059, -0.00282976, -51.8059, -0.00282964, -3.6925E-014, 7.60963E-015
38, 0.00000, -44.0489, 0.0079132, -44.0489, 0.00791276, -44.0489, 0.00791327, -2.32859E-014, 4.76148E-015
39, 0.00000, -33.8524, -0.00432001, -33.8524, -0.00431994, -33.8524, -0.00431985, -1.33849E-014, 2.75259E-015
40, 0.00000, -22.342, -0.00155744, -22.342, -0.00155738, -22.342, -0.00155744, -4.86019E-015, 9.97694E-016
41, 0.00000, -7.96512, -0.000862266, -7.96512, -0.000862238, -7.96512, -0.000862267, 1.33503E-016, -2.64503E-017
42, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
43, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
44, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
45, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
46, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
47, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
48, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
48, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
