,Caso,Perdas (kWh),Energia (kWh),Energia injetada (kWh)
0,Caso Base,6277.879191283661,124421.27804397975,0.0
1,Caso com 60 GDs,5348.555803218713,78896.60629970819,-26567.82837343216
2,Caso com 60 GDs e 30 Baterias,4109.805898033266,79094.5225272743,-11719.204147170763
3,Caso com 120 GDs,5882.469108235996,49444.51398636831,-43688.849393606186
4,Caso com 120 GDs e 60 Baterias,3309.9607759371816,49006.92030072004,-17955.972156189615
