
BUSES AND NODES IN ACTIVE CIRCUIT: 5002086

                                                         Coord                                 Number of     Nodes
  Bus                               Base kV             (x, y)                      Keep?       Nodes        connected ...
"82049585002086b"                 13.800          ( -49.326904935, -16.627787711)     No           3          1    2    3 
"81461105002086"                  13.800          ( -49.319688777, -16.596575401)     No           3          1    2    3 
"81461105002086b"                 13.800          ( -49.319672203, -16.596577333)     No           3          1    2    3 
"93435145002086"                  13.800          ( -49.320269748, -16.605701569)     No           3          1    2    3 
"93435145002086b"                 13.800          ( -49.320269748, -16.605701569)     No           3          1    2    3 
"91074325002086b"                 13.800          ( -49.319886116, -16.606094802)     No           3          1    2    3 
"91074325002086"                  13.800          ( -49.319886116, -16.606094802)     No           3          1    2    3 
"91074225002086b"                 13.800          ( -49.319967549, -16.606113535)     No           3          1    2    3 
"91074225002086"                  13.800          ( -49.319967549, -16.606113535)     No           3          1    2    3 
"91074275002086"                  13.800          ( -49.319735736, -16.606053684)     No           3          1    2    3 
"91074275002086b"                 13.800          ( -49.319735736, -16.606053684)     No           3          1    2    3 
"82054405002086"                  13.800          ( -49.324856615, -16.623325622)     No           3          1    2    3 
"82054405002086b"                 13.800          ( -49.324856615, -16.623325622)     No           3          1    2    3 
"82049415002086"                  13.800          ( -49.327498444, -16.629970817)     No           3          1    2    3 
"82049415002086b"                 13.800          ( -49.327498444, -16.629970817)     No           3          1    2    3 
"82050535002086"                  13.800          ( -49.328032683, -16.629975114)     No           3          1    2    3 
"82050535002086b"                 13.800          ( -49.328032683, -16.629975114)     No           3          1    2    3 
"82039505002086"                  13.800          ( -49.309928379, -16.612306528)     No           3          1    2    3 
"82039505002086b"                 13.800          ( -49.309928379, -16.612306528)     No           3          1    2    3 
"94074905002086"                  13.800          ( -49.328203362, -16.629854284)     No           3          1    2    3 
"94074905002086b"                 13.800          ( -49.328203362, -16.629854284)     No           3          1    2    3 
"94324195002086"                  13.800          ( -49.325030119, -16.623242497)     No           3          1    2    3 
"94324195002086b"                 13.800          ( -49.325030119, -16.623242497)     No           3          1    2    3 
"94336075002086"                  13.800          ( -49.307824549, -16.608937853)     No           3          1    2    3 
"94336075002086b"                 13.800          ( -49.307824549, -16.608937853)     No           3          1    2    3 
"82049875002086b"                 13.800          ( -49.32717845 , -16.630121855)     No           3          1    2    3 
"82049875002086"                  13.800          ( -49.32717845 , -16.630121855)     No           3          1    2    3 
"82021055002086"                  13.800          ( -49.317497629, -16.603023998)     No           3          1    2    3 
"82021055002086b"                 13.800          ( -49.317497629, -16.603023998)     No           3          1    2    3 
"94562805002086"                  13.800          ( -49.32528989 , -16.624898147)     No           3          1    2    3 
"94562805002086b"                 13.800          ( -49.32528989 , -16.624898147)     No           3          1    2    3 
"94329945002086"                  13.800          ( -49.319458865, -16.61321322 )     No           3          1    2    3 
"94329945002086b"                 13.800          ( -49.319458865, -16.61321322 )     No           3          1    2    3 
