SetProp, 1E050,   -1E050, 1E050, -1E050, 16777215, 16777215, 0, 4
ClickOn
SetProp, 1E050,   -1E050, 1E050, -1E050, 16777215, 16777215, 1, 0
Xlabel, "X"
Ylabel, "Y"
TxtAlign, 1
KeyClass, 1
Width, 4
Marker, -49.322706, -16.577557,  255, 24, 3
Line, "Line.smt_53951427", "84808465002086.1.2.3", "82065635002086.1.2.3", 0, 6,  0, 306, 7.9674337, 0, -49.322706, -16.577557, -49.322692, -16.57763, 0, 10, 0, 0, 0, 0, 0, 0
Line, "Line.smt_53074015", "82065635002086.1.2.3", "82034735002086.1.2.3", 192, 6,  0, 306, 7.9674337, 0.008441, -49.322692, -16.57763, -49.322693, -16.577745, 0, 10, 0, 0, 0, 0, 0, 0
Line, "Line.cmt_5286668", "82034735002086.1.2.3", "82034735002086b.1.2.3", 384, 6,  0, 306, 7.9674337, 0.021448, -49.322693, -16.577745, -49.322693, -16.577745, 0, 10, 0, 0, 0, 0, 0, 0
Line, "Line.smt_53072967", "82034735002086b.1.2.3", "82034765002086.1.2.3", 576, 6,  0, 306, 7.9674337, 0.022448, -49.322693, -16.577745, -49.32271, -16.577917, 0, 10, 0, 0, 0, 0, 0, 0
Line, "Line.smt_53072922", "82034765002086.1.2.3", "82034755002086.1.2.3", 768, 6,  0, 306, 7.9674337, 0.041984, -49.32271, -16.577917, -49.322763, -16.578369, 0, 10, 0, 0, 0, 0, 0, 0
Line, "Line.smt_53072921", "82034755002086.1.2.3", "82034745002086.1.2.3", 960, 6,  0, 306, 7.9674337, 0.093478, -49.322763, -16.578369, -49.322823, -16.578937, 0, 10, 0, 0, 0, 0, 0, 0
Line, "Line.smt_53074017", "82034745002086.1.2.3", "81488705002086.1.2.3", 1152, 6,  0, 306, 7.9674337, 0.158116, -49.322823, -16.578937, -49.322916, -16.578971, 0, 10, 0, 0, 0, 0, 0, 0
Line, "Line.smt_53074018", "81488705002086.1.2.3", "81488715002086.1.2.3", 1344, 6,  0, 306, 7.9674337, 0.168341, -49.322916, -16.578971, -49.323191, -16.579441, 0, 10, 0, 0, 0, 0, 0, 0
Line, "Line.smt_53074019", "81488715002086.1.2.3", "81488725002086.1.2.3", 1536, 6,  0, 306, 7.9674337, 0.229728, -49.323191, -16.579441, -49.3236, -16.579815, 0, 10, 0, 0, 0, 0, 0, 0
Line, "Line.smt_53074020", "81488725002086.1.2.3", "81488735002086.1.2.3", 1728, 6,  0, 306, 7.9674337, 0.291219, -49.3236, -16.579815, -49.324074, -16.580262, 0, 10, 0, 0, 0, 0, 0, 0
Line, "Line.smt_53073804", "81488735002086.1.2.3", "81488745002086.1.2.3", 1920, 6,  0, 306, 7.9674337, 0.363539, -49.324074, -16.580262, -49.32453, -16.580691, 0, 10, 0, 0, 0, 0, 0, 0
