hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 219.535, -31.766, 219.535, -151.767, 219.533, 88.2338, 1.81245E-010, 93.2636, 29.6772, 125.416, 29.6772, 5.4155, 29.6772, -114.584, 0.000304521, 102.976
2, 0.00000, 220.523, -31.6329, 220.522, -151.634, 220.52, 88.3669, 1.51126E-010, 92.5466, 27.0175, 125.703, 27.0175, 5.70258, 27.0174, -114.297, 0.000253254, 102.389
3, 0.00000, 221.206, -31.5342, 221.206, -151.535, 221.204, 88.4657, 1.32061E-010, 91.9821, 25.1742, 125.901, 25.1742, 5.90017, 25.1741, -114.099, 0.000220635, 101.934
4, 0.00000, 221.375, -31.4964, 221.375, -151.497, 221.373, 88.5034, 1.28475E-010, 91.9259, 24.7955, 125.957, 24.7955, 5.95623, 24.7954, -114.043, 0.000214218, 101.861
5, 0.00000, 221.407, -31.5118, 221.406, -151.512, 221.405, 88.488, 1.25834E-010, 91.7421, 24.5461, 125.968, 24.5461, 5.96768, 24.5461, -114.032, 0.000210079, 101.707
6, 0.00000, 221.226, -31.4732, 221.225, -151.474, 221.224, 88.5266, 1.36972E-010, 92.2103, 25.6779, 125.939, 25.6778, 5.93799, 25.6778, -114.061, 0.000228924, 102.152
7, 0.00000, 221.664, -31.0482, 221.663, -151.049, 221.662, 88.9516, 1.54359E-010, 93.5736, 27.4922, 126.161, 27.4922, 6.16079, 27.4922, -113.839, 0.000258725, 103.421
8, 0.00000, 223.404, -30.2054, 223.404, -150.206, 223.402, 89.7945, 1.4503E-010, 94.6083, 26.7928, 126.912, 26.7927, 6.91145, 26.7927, -113.088, 0.000242496, 104.482
9, 0.00000, 223.747, -29.6617, 223.746, -149.662, 223.744, 90.3382, 1.62151E-010, 96.1178, 28.5628, 127.218, 28.5627, 7.21771, 28.5627, -112.782, 0.000272202, 105.922
10, 0.00000, 223.294, -29.3675, 223.294, -149.368, 223.292, 90.6323, 1.9454E-010, 97.5262, 31.4592, 127.218, 31.4591, 7.21772, 31.4591, -112.782, 0.00032721, 107.275
11, 0.00000, 223.222, -29.2139, 223.221, -149.215, 223.219, 90.7859, 2.05037E-010, 98.0627, 32.3464, 127.266, 32.3464, 7.26533, 32.3463, -112.734, 0.000345122, 107.781
12, 0.00000, 226.452, -26.031, 226.451, -146.032, 226.449, 93.9689, 2.32987E-010, 104.016, 35.1968, 129.883, 35.1968, 9.88201, 35.1967, -110.117, 0.000392864, 113.701
13, 0.00000, 224.705, -27.0479, 224.703, -147.049, 224.701, 92.952, 2.64976E-010, 103.046, 37.4557, 128.752, 37.4557, 8.75112, 37.4556, -111.248, 0.000447319, 112.664
14, 0.00000, 224.374, -27.8877, 224.373, -147.888, 224.371, 92.1122, 2.3896E-010, 101.179, 35.3844, 128.13, 35.3843, 8.12959, 35.3843, -111.87, 0.000403057, 110.834
15, 0.00000, 222.24, -29.2818, 222.239, -149.283, 222.236, 90.718, 2.51641E-010, 99.1527, 36.0352, 126.841, 36.0351, 6.84021, 36.0351, -113.159, 0.00042471, 108.768
16, 0.00000, 220.064, -30.6977, 220.063, -150.699, 220.061, 89.3021, 2.49066E-010, 96.7674, 35.4568, 125.683, 35.4567, 5.68191, 35.4567, -114.317, 0.000420659, 106.351
17, 0.00000, 217.803, -31.7318, 217.802, -151.733, 217.8, 88.268, 2.65992E-010, 95.3215, 36.2997, 124.797, 36.2996, 4.79645, 36.2996, -115.203, 0.000449432, 104.904
18, 0.00000, 216.186, -32.2037, 216.184, -152.205, 216.182, 87.7961, 2.99331E-010, 95.0982, 38.3578, 124.309, 38.3578, 4.3082, 38.3577, -115.691, 0.000506297, 104.614
19, 0.00000, 213.222, -32.5344, 213.22, -152.535, 213.217, 87.4654, 4.27217E-010, 96.4295, 45.8679, 123.311, 45.8679, 3.30962, 45.8678, -116.689, 0.000724404, 105.83
20, 0.00000, 212.572, -32.6143, 212.571, -152.615, 212.568, 87.3855, 4.55546E-010, 96.6613, 47.3472, 123.066, 47.3472, 3.06512, 47.3471, -116.934, 0.000772675, 106.054
