hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 221.233, -30.8146, 221.232, -150.815, 221.231, 89.1852, 4.13732E-010, -83.1555, 29.1626, 59.0933, 29.1625, -60.9078, 29.1622, 179.092, 0.000721312, -73.8383
2, 0.00000, 222.068, -30.7728, 222.068, -150.773, 222.066, 89.2271, 3.40248E-010, -83.6794, 26.3485, 60.4669, 26.3484, -59.5341, 26.3482, -179.535, 0.000594045, -74.4419
3, 0.00000, 222.647, -30.7349, 222.646, -150.735, 222.645, 89.265, 2.94519E-010, -83.7245, 24.446, 61.0646, 24.446, -58.9364, 24.4458, -178.937, 0.000516501, -74.8847
4, 0.00000, 222.794, -30.6993, 222.794, -150.7, 222.792, 89.3006, 2.95165E-010, -84.2279, 24.0637, 59.1076, 24.0637, -60.8934, 24.0635, 179.106, 0.00051675, -74.9308
5, 0.00000, 222.812, -30.7412, 222.811, -150.742, 222.81, 89.2587, 2.77062E-010, -83.9351, 23.8684, 62.8459, 23.8684, -57.155, 23.8682, -177.156, 0.000479565, -75.11
6, 0.00000, 222.658, -30.6963, 222.658, -150.697, 222.656, 89.3036, 2.94016E-010, -83.3759, 25.0327, 63.624, 25.0326, -56.377, 25.0324, -176.377, 0.000515851, -74.7403
7, 0.00000, 223.034, -30.3255, 223.033, -150.326, 223.031, 89.6744, 3.4462E-010, -82.3996, 26.959, 62.5357, 26.9589, -57.4653, 26.9586, -177.466, 0.000598562, -73.6974
8, 0.00000, 224.519, -29.6895, 224.518, -149.69, 224.516, 90.3104, 3.26371E-010, -82.7041, 26.3761, 64.0681, 26.376, -55.9329, 26.3758, -175.933, 0.000562117, -72.9761
9, 0.00000, 224.832, -29.216, 224.831, -149.217, 224.83, 90.7839, 3.79849E-010, -81.3953, 28.3489, 62.7198, 28.3488, -57.2813, 28.3485, -177.282, 0.000650336, -71.7786
10, 0.00000, 224.455, -28.9298, 224.454, -148.93, 224.452, 91.0701, 4.55968E-010, -80.1083, 31.6012, 62.5965, 31.6011, -57.4047, 31.6008, -177.405, 0.000782901, -70.6022
11, 0.00000, 224.398, -28.7931, 224.397, -148.794, 224.395, 91.2068, 4.81812E-010, -79.7775, 32.6195, 62.7163, 32.6194, -57.2849, 32.6191, -177.285, 0.000825113, -70.1726
