hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 219.707, -31.7308, 219.706, -151.732, 219.704, 88.269, 1.36985E-010, 94.2222, 23.1195, 125.882, 23.1195, 5.88171, 23.1195, -114.118, 0.000237461, 103.609
2, 0.00000, 220.677, -31.6006, 220.676, -151.601, 220.674, 88.3992, 1.13565E-010, 93.783, 21.0481, 126.166, 21.0481, 6.16533, 21.0481, -113.834, 0.000197467, 103.073
3, 0.00000, 221.349, -31.504, 221.348, -151.505, 221.347, 88.4958, 9.85739E-011, 93.4866, 19.6125, 126.361, 19.6125, 6.36041, 19.6125, -113.639, 0.000172015, 102.66
4, 0.00000, 221.517, -31.467, 221.517, -151.468, 221.515, 88.5328, 9.55979E-011, 93.3498, 19.3175, 126.416, 19.3175, 6.4155, 19.3175, -113.584, 0.000167005, 102.596
5, 0.00000, 221.545, -31.4821, 221.545, -151.483, 221.543, 88.5177, 9.37486E-011, 93.3078, 19.1234, 126.428, 19.1234, 6.42718, 19.1233, -113.572, 0.000163779, 102.45
6, 0.00000, 221.363, -31.4447, 221.362, -151.445, 221.36, 88.5552, 1.02378E-010, 93.5959, 20.0047, 126.398, 20.0047, 6.39751, 20.0046, -113.602, 0.0001785, 102.863
7, 0.00000, 221.777, -31.0304, 221.776, -151.031, 221.774, 88.9694, 1.16188E-010, 94.7694, 21.4167, 126.615, 21.4167, 6.61488, 21.4167, -113.384, 0.000201829, 104.07
8, 0.00000, 223.464, -30.2081, 223.463, -150.209, 223.461, 89.7918, 1.08638E-010, 95.8819, 20.8706, 127.352, 20.8706, 7.35121, 20.8705, -112.648, 0.000189258, 105.111
9, 0.00000, 223.784, -29.678, 223.783, -149.679, 223.781, 90.3218, 1.22403E-010, 97.1952, 22.2475, 127.65, 22.2475, 7.64944, 22.2475, -112.35, 0.000212531, 106.485
10, 0.00000, 223.326, -29.3921, 223.326, -149.393, 223.324, 90.6077, 1.47634E-010, 98.3654, 24.5015, 127.647, 24.5015, 7.64605, 24.5014, -112.353, 0.000255556, 107.763
11, 0.00000, 223.248, -29.243, 223.247, -149.244, 223.245, 90.7569, 1.55922E-010, 98.8819, 25.1917, 127.692, 25.1917, 7.69134, 25.1916, -112.308, 0.000269572, 108.244
12, 0.00000, 226.752, -26.1164, 226.751, -146.117, 226.749, 93.8835, 1.77488E-010, 104.614, 27.4135, 130.236, 27.4135, 10.2355, 27.4135, -109.764, 0.000306234, 114.02
13, 0.00000, 224.982, -27.1135, 224.981, -147.114, 224.979, 92.8863, 2.02407E-010, 103.512, 29.1713, 129.128, 29.1713, 9.1275, 29.1712, -110.872, 0.000348774, 112.987
14, 0.00000, 224.612, -27.9368, 224.611, -147.938, 224.609, 92.063, 1.82186E-010, 101.773, 27.5588, 128.524, 27.5588, 8.52309, 27.5587, -111.476, 0.000314336, 111.218
15, 0.00000, 222.439, -29.3026, 222.437, -149.303, 222.435, 90.6972, 1.9234E-010, 99.7069, 28.0655, 127.264, 28.0654, 7.26373, 28.0654, -112.735, 0.000331326, 109.194
16, 0.00000, 220.223, -30.6881, 220.222, -150.689, 220.22, 89.3117, 1.90343E-010, 97.3465, 27.6159, 126.136, 27.6159, 6.13548, 27.6158, -113.864, 0.000328242, 106.841
17, 0.00000, 217.99, -31.6977, 217.989, -151.699, 217.987, 88.3021, 2.0361E-010, 95.9062, 28.2739, 125.27, 28.2739, 5.26939, 28.2738, -114.73, 0.00035059, 105.425
18, 0.00000, 216.413, -32.1585, 216.412, -152.159, 216.409, 87.8413, 2.29646E-010, 95.5547, 29.8775, 124.789, 29.8775, 4.78833, 29.8774, -115.211, 0.000394822, 105.127
19, 0.00000, 213.501, -32.4809, 213.499, -152.482, 213.497, 87.5189, 3.29542E-010, 96.6107, 35.7218, 123.802, 35.7217, 3.80151, 35.7217, -116.197, 0.000564813, 106.275
20, 0.00000, 212.861, -32.5588, 212.86, -152.56, 212.857, 87.441, 3.51711E-010, 96.83, 36.8724, 123.561, 36.8723, 3.5602, 36.8723, -116.439, 0.000602425, 106.489
21, 0.00000, 213.265, -32.5178, 213.263, -152.519, 213.261, 87.482, 3.36676E-010, 96.6913, 36.0949, 123.7, 36.0949, 3.69859, 36.0948, -116.3, 0.00057694, 106.347
22, 0.00000, 214.316, -32.4166, 214.315, -152.418, 214.312, 87.5832, 2.98237E-010, 96.2516, 33.9968, 124.08, 33.9968, 4.07938, 33.9967, -115.92, 0.000511542, 105.89
23, 0.00000, 216.354, -32.1748, 216.353, -152.176, 216.35, 87.8249, 2.31418E-010, 95.5006, 29.99, 124.814, 29.99, 4.8136, 29.9899, -115.185, 0.000398043, 105.08
24, 0.00000, 217.764, -32.0058, 217.763, -152.007, 217.761, 87.994, 1.88723E-010, 94.9907, 27.1042, 125.283, 27.1041, 5.28219, 27.1041, -114.717, 0.000325301, 104.468
25, 0.00000, 219.712, -31.7326, 219.711, -151.733, 219.709, 88.2672, 1.3699E-010, 94.2078, 23.118, 125.878, 23.118, 5.87686, 23.1179, -114.122, 0.000237332, 103.618
26, 0.00000, 220.677, -31.6006, 220.676, -151.601, 220.674, 88.3992, 1.13527E-010, 93.8215, 21.0482, 126.166, 21.0482, 6.16535, 21.0481, -113.834, 0.000197468, 103.073
27, 0.00000, 221.349, -31.504, 221.348, -151.505, 221.347, 88.4958, 9.8565E-011, 93.4325, 19.6125, 126.361, 19.6125, 6.36041, 19.6125, -113.639, 0.000172015, 102.66
28, 0.00000, 221.517, -31.467, 221.517, -151.468, 221.515, 88.5328, 9.56948E-011, 93.3362, 19.3175, 126.416, 19.3175, 6.4155, 19.3175, -113.584, 0.000167005, 102.596
29, 0.00000, 221.545, -31.4821, 221.545, -151.483, 221.543, 88.5177, 9.37693E-011, 93.2867, 19.1234, 126.428, 19.1234, 6.42718, 19.1233, -113.572, 0.000163779, 102.45
30, 0.00000, 221.363, -31.4447, 221.362, -151.445, 221.36, 88.5552, 1.02456E-010, 93.6052, 20.0047, 126.398, 20.0047, 6.39751, 20.0046, -113.602, 0.0001785, 102.863
31, 0.00000, 221.777, -31.0304, 221.776, -151.031, 221.774, 88.9694, 1.16102E-010, 94.7739, 21.4167, 126.615, 21.4167, 6.61488, 21.4167, -113.384, 0.000201829, 104.07
32, 0.00000, 223.464, -30.2081, 223.463, -150.209, 223.461, 89.7918, 1.08726E-010, 95.8798, 20.8706, 127.352, 20.8706, 7.35121, 20.8705, -112.648, 0.000189258, 105.111
33, 0.00000, 223.784, -29.678, 223.783, -149.679, 223.781, 90.3218, 1.22478E-010, 97.1952, 22.2475, 127.65, 22.2475, 7.64944, 22.2475, -112.35, 0.000212531, 106.485
34, 0.00000, 223.326, -29.3921, 223.326, -149.393, 223.324, 90.6077, 1.47716E-010, 98.3558, 24.5015, 127.647, 24.5015, 7.64605, 24.5014, -112.353, 0.000255556, 107.763
35, 0.00000, 223.248, -29.243, 223.247, -149.244, 223.245, 90.7569, 1.55977E-010, 98.8608, 25.1917, 127.692, 25.1917, 7.69134, 25.1916, -112.308, 0.000269572, 108.244
36, 0.00000, 222.231, -29.4077, 222.23, -149.409, 222.228, 90.5921, 1.83396E-010, 99.175, 27.3157, 127.356, 27.3156, 7.35572, 27.3156, -112.643, 0.000316265, 108.652
37, 0.00000, 221.035, -29.797, 221.034, -149.798, 221.031, 90.2028, 2.0861E-010, 99.078, 29.0816, 126.81, 29.0816, 6.80922, 29.0816, -113.19, 0.000359135, 108.586
38, 0.00000, 221.25, -30.0614, 221.249, -150.062, 221.247, 89.9384, 1.87058E-010, 98.2651, 27.4888, 126.71, 27.4888, 6.70909, 27.4887, -113.29, 0.00032255, 107.732
39, 0.00000, 220.284, -30.5443, 220.283, -150.545, 220.28, 89.4555, 1.95788E-010, 97.6659, 28.0206, 126.223, 28.0206, 6.22201, 28.0205, -113.777, 0.000337157, 107.161
40, 0.00000, 219.589, -31.0213, 219.588, -151.022, 219.586, 88.9785, 1.91471E-010, 96.8261, 27.6027, 125.862, 27.6027, 5.86084, 27.6027, -114.138, 0.000330028, 106.301
41, 0.00000, 217.989, -31.6973, 217.988, -151.698, 217.986, 88.3025, 2.03579E-010, 95.9188, 28.2742, 125.271, 28.2742, 5.27041, 28.2742, -114.729, 0.000350575, 105.424
42, 0.00000, 216.413, -32.1585, 216.412, -152.159, 216.409, 87.8413, 2.29631E-010, 95.5673, 29.8775, 124.789, 29.8775, 4.78834, 29.8774, -115.211, 0.000394822, 105.127
43, 0.00000, 213.501, -32.4809, 213.499, -152.482, 213.497, 87.5189, 3.29489E-010, 96.631, 35.7218, 123.802, 35.7217, 3.80151, 35.7217, -116.197, 0.000564813, 106.275
44, 0.00000, 212.861, -32.5588, 212.86, -152.56, 212.857, 87.441, 3.51584E-010, 96.8262, 36.8724, 123.561, 36.8723, 3.5602, 36.8723, -116.439, 0.000602425, 106.489
45, 0.00000, 213.265, -32.5178, 213.263, -152.519, 213.261, 87.482, 3.36583E-010, 96.6814, 36.0949, 123.7, 36.0949, 3.69859, 36.0948, -116.3, 0.00057694, 106.347
46, 0.00000, 214.316, -32.4166, 214.315, -152.418, 214.312, 87.5832, 2.98158E-010, 96.2674, 33.9968, 124.08, 33.9968, 4.07938, 33.9967, -115.92, 0.000511542, 105.89
47, 0.00000, 216.354, -32.1748, 216.353, -152.176, 216.35, 87.8249, 2.31413E-010, 95.5212, 29.99, 124.814, 29.99, 4.8136, 29.9899, -115.185, 0.000398043, 105.08
48, 0.00000, 217.764, -32.0058, 217.763, -152.007, 217.761, 87.994, 1.88664E-010, 94.9441, 27.1042, 125.283, 27.1041, 5.28219, 27.1041, -114.717, 0.000325301, 104.468
48, 0.00000, 217.764, -32.0058, 217.763, -152.007, 217.761, 87.994, 1.88664E-010, 94.9441, 27.1042, 125.283, 27.1041, 5.28219, 27.1041, -114.717, 0.000325301, 104.468
