hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 0.27111, 0.101472, 0, 0
2, 0.00000, 0.251947, 0.0920492, 0, 0
3, 0.00000, 0.238506, 0.0855836, 0, 0
4, 0.00000, 0.235735, 0.0842544, 0, 0
5, 0.00000, 0.233915, 0.083369, 0, 0
6, 0.00000, 0.242183, 0.087267, 0, 0
7, 0.00000, 0.255229, 0.093573, 0, 0
8, 0.00000, 0.249947, 0.0910064, 0, 0
9, 0.00000, 0.262491, 0.0973508, 0, 0
10, 0.00000, 0.282941, 0.107845, 0, 0
11, 0.00000, 0.289124, 0.111098, 0, 0
12, 0.00000, 0.308239, 0.120929, 0, 0
13, 0.00000, 0.323919, 0.129405, 0, 0
14, 0.00000, 0.309827, 0.122098, 0, 0
15, 0.00000, 0.314637, 0.124771, 0, 0
16, 0.00000, 0.31107, 0.122899, 0, 0
17, 0.00000, 0.317311, 0.126052, 0, 0
18, 0.00000, 0.331743, 0.133476, 0, 0
19, 0.00000, 0.381737, 0.162337, 0, 0
20, 0.00000, 0.391212, 0.168355, 0, 0
21, 0.00000, 0.384761, 0.164372, 0, 0
22, 0.00000, 0.367275, 0.153688, 0, 0
23, 0.00000, 0.332863, 0.133742, 0, 0
24, 0.00000, 0.307347, 0.119907, 0, 0
25, 0.00000, 0.271121, 0.101466, 0, 0
26, 0.00000, 0.251946, 0.0920492, 0, 0
27, 0.00000, 0.238506, 0.0855836, 0, 0
28, 0.00000, 0.235735, 0.0842544, 0, 0
29, 0.00000, 0.233915, 0.083369, 0, 0
30, 0.00000, 0.242183, 0.087267, 0, 0
31, 0.00000, 0.255229, 0.093573, 0, 0
32, 0.00000, 0.249947, 0.0910064, 0, 0
33, 0.00000, 0.262491, 0.0973508, 0, 0
34, 0.00000, 0.282941, 0.107845, 0, 0
35, 0.00000, 0.289124, 0.111098, 0, 0
36, 0.00000, 0.308239, 0.120929, 0, 0
37, 0.00000, 0.323919, 0.129405, 0, 0
38, 0.00000, 0.309827, 0.122098, 0, 0
39, 0.00000, 0.314637, 0.124771, 0, 0
40, 0.00000, 0.31107, 0.122899, 0, 0
41, 0.00000, 0.317311, 0.126052, 0, 0
42, 0.00000, 0.331743, 0.133476, 0, 0
43, 0.00000, 0.381737, 0.162337, 0, 0
44, 0.00000, 0.391212, 0.168355, 0, 0
45, 0.00000, 0.384761, 0.164372, 0, 0
46, 0.00000, 0.367275, 0.153688, 0, 0
47, 0.00000, 0.332863, 0.133742, 0, 0
48, 0.00000, 0.307347, 0.119907, 0, 0
48, 0.00000, 0.307347, 0.119907, 0, 0
