hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 14.7136, 6.52562, 14.7138, 6.52398, 14.7149, 6.52517, 0, 0
2, 0.00000, 13.4953, 5.90624, 13.4954, 5.90488, 13.4964, 5.90587, 0, 0
3, 0.00000, 12.6385, 5.48239, 12.6386, 5.48119, 12.6394, 5.48207, 0, 0
4, 0.00000, 12.4621, 5.39515, 12.4622, 5.394, 12.463, 5.39484, 0, 0
5, 0.00000, 12.3457, 5.33748, 12.3458, 5.33634, 12.3466, 5.33717, 0, 0
6, 0.00000, 12.8732, 5.5935, 12.8733, 5.59226, 12.8741, 5.59317, 0, 0
7, 0.00000, 13.7043, 6.00722, 13.7044, 6.00581, 13.7054, 6.00684, 0, 0
8, 0.00000, 13.368, 5.83847, 13.3681, 5.83713, 13.3691, 5.83811, 0, 0
9, 0.00000, 14.1661, 6.25401, 14.1662, 6.25249, 14.1672, 6.2536, 0, 0
10, 0.00000, 15.4634, 6.94263, 15.4635, 6.94081, 15.4648, 6.94214, 0, 0
11, 0.00000, 15.8548, 7.15604, 15.8549, 7.15411, 15.8562, 7.15552, 0, 0
12, 0.00000, 17.0621, 7.80484, 17.0622, 7.80258, 17.0638, 7.80422, 0, 0
13, 0.00000, 18.0491, 8.3633, 18.0492, 8.36075, 18.051, 8.3626, 0, 0
14, 0.00000, 17.162, 7.87941, 17.1622, 7.87712, 17.1638, 7.87878, 0, 0
15, 0.00000, 17.4648, 8.05493, 17.465, 8.05256, 17.4666, 8.05429, 0, 0
16, 0.00000, 17.2401, 7.93129, 17.2402, 7.92897, 17.2419, 7.93065, 0, 0
17, 0.00000, 17.6333, 8.14052, 17.6334, 8.13809, 17.6351, 8.13986, 0, 0
18, 0.00000, 18.5408, 8.63339, 18.541, 8.63069, 18.5429, 8.63266, 0, 0
19, 0.00000, 21.6623, 10.5355, 21.6626, 10.5316, 21.6653, 10.5344, 0, 0
20, 0.00000, 22.2496, 10.9294, 22.2499, 10.9253, 22.2528, 10.9283, 0, 0
21, 0.00000, 21.8498, 10.6676, 21.8501, 10.6637, 21.8528, 10.6665, 0, 0
22, 0.00000, 20.7629, 9.96627, 20.7632, 9.96278, 20.7656, 9.96531, 0, 0
23, 0.00000, 18.6117, 8.65354, 18.6118, 8.65082, 18.6137, 8.6528, 0, 0
24, 0.00000, 17.0067, 7.74103, 17.0069, 7.7388, 17.0084, 7.74042, 0, 0
25, 0.00000, 14.7145, 6.5249, 14.7146, 6.52326, 14.7157, 6.52445, 0, 0
26, 0.00000, 13.4953, 5.90624, 13.4954, 5.90488, 13.4964, 5.90587, 0, 0
27, 0.00000, 12.6385, 5.48239, 12.6386, 5.48119, 12.6394, 5.48207, 0, 0
28, 0.00000, 12.4621, 5.39515, 12.4622, 5.394, 12.463, 5.39484, 0, 0
29, 0.00000, 12.3457, 5.33748, 12.3458, 5.33634, 12.3466, 5.33717, 0, 0
30, 0.00000, 12.8732, 5.5935, 12.8733, 5.59226, 12.8741, 5.59317, 0, 0
31, 0.00000, 13.7043, 6.00722, 13.7044, 6.00581, 13.7054, 6.00684, 0, 0
32, 0.00000, 13.368, 5.83847, 13.3681, 5.83713, 13.3691, 5.83811, 0, 0
33, 0.00000, 14.1661, 6.25401, 14.1662, 6.25249, 14.1672, 6.2536, 0, 0
34, 0.00000, 15.4634, 6.94263, 15.4635, 6.94081, 15.4648, 6.94214, 0, 0
35, 0.00000, 15.8548, 7.15604, 15.8549, 7.15411, 15.8562, 7.15552, 0, 0
36, 0.00000, 17.0621, 7.80484, 17.0622, 7.80258, 17.0638, 7.80422, 0, 0
37, 0.00000, 18.0491, 8.3633, 18.0492, 8.36075, 18.051, 8.3626, 0, 0
38, 0.00000, 17.162, 7.87941, 17.1622, 7.87712, 17.1638, 7.87878, 0, 0
39, 0.00000, 17.4648, 8.05493, 17.465, 8.05256, 17.4666, 8.05429, 0, 0
40, 0.00000, 17.2401, 7.93129, 17.2402, 7.92897, 17.2419, 7.93065, 0, 0
41, 0.00000, 17.6333, 8.14052, 17.6334, 8.13809, 17.6351, 8.13986, 0, 0
42, 0.00000, 18.5408, 8.63339, 18.541, 8.63069, 18.5429, 8.63266, 0, 0
43, 0.00000, 21.6623, 10.5355, 21.6626, 10.5316, 21.6653, 10.5344, 0, 0
44, 0.00000, 22.2496, 10.9294, 22.2499, 10.9253, 22.2528, 10.9283, 0, 0
45, 0.00000, 21.8498, 10.6676, 21.8501, 10.6637, 21.8528, 10.6665, 0, 0
46, 0.00000, 20.7629, 9.96627, 20.7632, 9.96278, 20.7656, 9.96531, 0, 0
47, 0.00000, 18.6117, 8.65354, 18.6118, 8.65082, 18.6137, 8.6528, 0, 0
48, 0.00000, 17.0067, 7.74103, 17.0069, 7.7388, 17.0084, 7.74042, 0, 0
48, 0.00000, 17.0067, 7.74103, 17.0069, 7.7388, 17.0084, 7.74042, 0, 0
