hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 13.1276, 5.80905, 13.1277, 5.80759, 13.1287, 5.80865, 0, 0
2, 0.00000, 12.0354, 5.25595, 12.0355, 5.25473, 12.0363, 5.25562, 0, 0
3, 0.00000, 11.2681, 4.87767, 11.2682, 4.87661, 11.2689, 4.87738, 0, 0
4, 0.00000, 11.11, 4.79989, 11.1101, 4.79885, 11.1108, 4.79961, 0, 0
5, 0.00000, 11.0059, 4.74838, 11.006, 4.74737, 11.0067, 4.74811, 0, 0
6, 0.00000, 11.4782, 4.97666, 11.4782, 4.97556, 11.479, 4.97636, 0, 0
7, 0.00000, 12.2227, 5.34592, 12.2228, 5.34466, 12.2236, 5.34557, 0, 0
8, 0.00000, 11.9214, 5.19535, 11.9214, 5.19416, 11.9223, 5.19503, 0, 0
9, 0.00000, 12.6366, 5.56641, 12.6367, 5.56506, 12.6376, 5.56604, 0, 0
10, 0.00000, 13.8005, 6.18191, 13.8006, 6.18029, 13.8018, 6.18146, 0, 0
11, 0.00000, 14.1519, 6.37285, 14.152, 6.37113, 14.1532, 6.37237, 0, 0
12, 0.00000, 15.2368, 6.95335, 15.2369, 6.95134, 15.2383, 6.95279, 0, 0
13, 0.00000, 16.1247, 7.45367, 16.1248, 7.4514, 16.1265, 7.45304, 0, 0
14, 0.00000, 15.3267, 7.02037, 15.3268, 7.01833, 15.3282, 7.0198, 0, 0
15, 0.00000, 15.5991, 7.17761, 15.5992, 7.17549, 15.6007, 7.17702, 0, 0
16, 0.00000, 15.397, 7.06689, 15.3971, 7.06484, 15.3986, 7.06632, 0, 0
17, 0.00000, 15.7506, 7.25419, 15.7507, 7.25203, 15.7522, 7.25359, 0, 0
18, 0.00000, 16.5673, 7.69566, 16.5675, 7.69326, 16.5692, 7.695, 0, 0
19, 0.00000, 19.3844, 9.40481, 19.3846, 9.40139, 19.387, 9.40386, 0, 0
20, 0.00000, 19.9158, 9.75982, 19.916, 9.75618, 19.9186, 9.75881, 0, 0
21, 0.00000, 19.5541, 9.52407, 19.5543, 9.52057, 19.5568, 9.5231, 0, 0
22, 0.00000, 18.5714, 8.8925, 18.5716, 8.88939, 18.5738, 8.89163, 0, 0
23, 0.00000, 16.6309, 7.71352, 16.6311, 7.71109, 16.6328, 7.71284, 0, 0
24, 0.00000, 15.1866, 6.89597, 15.1867, 6.89398, 15.1881, 6.89542, 0, 0
25, 0.00000, 13.1283, 5.8085, 13.1283, 5.80704, 13.1294, 5.80809, 0, 0
26, 0.00000, 12.0354, 5.25595, 12.0355, 5.25473, 12.0363, 5.25562, 0, 0
27, 0.00000, 11.2681, 4.87767, 11.2682, 4.87661, 11.2689, 4.87738, 0, 0
28, 0.00000, 11.11, 4.79989, 11.1101, 4.79885, 11.1108, 4.79961, 0, 0
29, 0.00000, 11.0059, 4.74838, 11.006, 4.74737, 11.0067, 4.74811, 0, 0
30, 0.00000, 11.4782, 4.97666, 11.4782, 4.97556, 11.479, 4.97636, 0, 0
31, 0.00000, 12.2227, 5.34592, 12.2228, 5.34466, 12.2236, 5.34557, 0, 0
32, 0.00000, 11.9214, 5.19535, 11.9214, 5.19416, 11.9223, 5.19503, 0, 0
33, 0.00000, 12.6366, 5.56641, 12.6367, 5.56506, 12.6376, 5.56604, 0, 0
34, 0.00000, 13.8005, 6.18191, 13.8006, 6.18029, 13.8018, 6.18146, 0, 0
35, 0.00000, 14.1519, 6.37285, 14.152, 6.37113, 14.1532, 6.37237, 0, 0
36, 0.00000, 15.2368, 6.95335, 15.2369, 6.95134, 15.2383, 6.95279, 0, 0
37, 0.00000, 16.1247, 7.45367, 16.1248, 7.4514, 16.1265, 7.45304, 0, 0
38, 0.00000, 15.3267, 7.02037, 15.3268, 7.01833, 15.3282, 7.0198, 0, 0
39, 0.00000, 15.5991, 7.17761, 15.5992, 7.17549, 15.6007, 7.17702, 0, 0
40, 0.00000, 15.397, 7.06689, 15.3971, 7.06484, 15.3986, 7.06632, 0, 0
41, 0.00000, 15.7506, 7.25419, 15.7507, 7.25203, 15.7522, 7.25359, 0, 0
42, 0.00000, 16.5673, 7.69566, 16.5675, 7.69326, 16.5692, 7.695, 0, 0
43, 0.00000, 19.3844, 9.40481, 19.3846, 9.40139, 19.387, 9.40386, 0, 0
44, 0.00000, 19.9158, 9.75982, 19.916, 9.75618, 19.9186, 9.75881, 0, 0
45, 0.00000, 19.5541, 9.52407, 19.5543, 9.52057, 19.5568, 9.5231, 0, 0
46, 0.00000, 18.5714, 8.8925, 18.5716, 8.88939, 18.5738, 8.89163, 0, 0
47, 0.00000, 16.6309, 7.71352, 16.6311, 7.71109, 16.6328, 7.71284, 0, 0
48, 0.00000, 15.1866, 6.89597, 15.1867, 6.89398, 15.1881, 6.89542, 0, 0
48, 0.00000, 15.1866, 6.89597, 15.1867, 6.89398, 15.1881, 6.89542, 0, 0
