hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 8.99325, 3.9373, 8.99331, 3.93631, 8.99401, 3.93702, 0, 0
2, 0.00000, 8.2466, 3.56281, 8.24665, 3.56199, 8.24723, 3.56259, 0, 0
3, 0.00000, 7.72193, 3.30665, 7.72197, 3.30593, 7.72248, 3.30645, 0, 0
4, 0.00000, 7.61385, 3.254, 7.6139, 3.25331, 7.61439, 3.25381, 0, 0
5, 0.00000, 7.54263, 3.21911, 7.54268, 3.21843, 7.54316, 3.21892, 0, 0
6, 0.00000, 7.8655, 3.37366, 7.86555, 3.37292, 7.86607, 3.37345, 0, 0
7, 0.00000, 8.37454, 3.6237, 8.37459, 3.62285, 8.37519, 3.62346, 0, 0
8, 0.00000, 8.16857, 3.52177, 8.16862, 3.52096, 8.16918, 3.52154, 0, 0
9, 0.00000, 8.65756, 3.77301, 8.65762, 3.7721, 8.65826, 3.77275, 0, 0
10, 0.00000, 9.45327, 4.18972, 9.45334, 4.18862, 9.45412, 4.18941, 0, 0
11, 0.00000, 9.69351, 4.31899, 9.69357, 4.31783, 9.6944, 4.31867, 0, 0
12, 0.00000, 10.435, 4.71193, 10.4351, 4.71057, 10.436, 4.71154, 0, 0
13, 0.00000, 11.0419, 5.05058, 11.042, 5.04904, 11.0431, 5.05014, 0, 0
14, 0.00000, 10.4965, 4.75732, 10.4966, 4.75595, 10.4976, 4.75693, 0, 0
15, 0.00000, 10.6827, 4.86375, 10.6828, 4.86232, 10.6838, 4.86334, 0, 0
16, 0.00000, 10.5446, 4.78882, 10.5447, 4.78743, 10.5457, 4.78842, 0, 0
17, 0.00000, 10.7862, 4.91557, 10.7863, 4.91411, 10.7874, 4.91516, 0, 0
18, 0.00000, 11.3444, 5.21436, 11.3445, 5.21273, 11.3456, 5.21389, 0, 0
19, 0.00000, 13.2701, 6.37148, 13.2703, 6.36917, 13.2719, 6.37082, 0, 0
20, 0.00000, 13.6334, 6.61183, 13.6336, 6.60937, 13.6353, 6.61113, 0, 0
21, 0.00000, 13.3864, 6.45233, 13.3865, 6.44997, 13.3882, 6.45166, 0, 0
22, 0.00000, 12.7142, 6.02451, 12.7143, 6.02241, 12.7158, 6.02391, 0, 0
23, 0.00000, 11.3878, 5.22643, 11.3879, 5.2248, 11.3891, 5.22597, 0, 0
24, 0.00000, 10.4007, 4.6731, 10.4008, 4.67176, 10.4018, 4.67272, 0, 0
25, 0.00000, 8.99377, 3.93695, 8.99383, 3.93596, 8.99453, 3.93667, 0, 0
26, 0.00000, 8.2466, 3.56281, 8.24665, 3.56199, 8.24723, 3.56259, 0, 0
27, 0.00000, 7.72193, 3.30665, 7.72197, 3.30593, 7.72248, 3.30645, 0, 0
28, 0.00000, 7.61385, 3.254, 7.6139, 3.25331, 7.61439, 3.25381, 0, 0
29, 0.00000, 7.54263, 3.21911, 7.54268, 3.21843, 7.54316, 3.21892, 0, 0
30, 0.00000, 7.8655, 3.37366, 7.86555, 3.37292, 7.86607, 3.37345, 0, 0
31, 0.00000, 8.37454, 3.6237, 8.37459, 3.62285, 8.37519, 3.62346, 0, 0
32, 0.00000, 8.16857, 3.52177, 8.16862, 3.52096, 8.16918, 3.52154, 0, 0
33, 0.00000, 8.65756, 3.77301, 8.65762, 3.7721, 8.65826, 3.77275, 0, 0
34, 0.00000, 9.45327, 4.18972, 9.45334, 4.18862, 9.45412, 4.18941, 0, 0
35, 0.00000, 9.69351, 4.31899, 9.69357, 4.31783, 9.6944, 4.31867, 0, 0
36, 0.00000, 10.435, 4.71193, 10.4351, 4.71057, 10.436, 4.71154, 0, 0
37, 0.00000, 11.0419, 5.05058, 11.042, 5.04904, 11.0431, 5.05014, 0, 0
38, 0.00000, 10.4965, 4.75732, 10.4966, 4.75595, 10.4976, 4.75693, 0, 0
39, 0.00000, 10.6827, 4.86375, 10.6828, 4.86232, 10.6838, 4.86334, 0, 0
40, 0.00000, 10.5446, 4.78882, 10.5447, 4.78743, 10.5457, 4.78842, 0, 0
41, 0.00000, 10.7862, 4.91557, 10.7863, 4.91411, 10.7874, 4.91516, 0, 0
42, 0.00000, 11.3444, 5.21436, 11.3445, 5.21273, 11.3456, 5.21389, 0, 0
43, 0.00000, 13.2701, 6.37148, 13.2703, 6.36917, 13.2719, 6.37082, 0, 0
44, 0.00000, 13.6334, 6.61183, 13.6336, 6.60937, 13.6353, 6.61113, 0, 0
45, 0.00000, 13.3864, 6.45233, 13.3865, 6.44997, 13.3882, 6.45166, 0, 0
46, 0.00000, 12.7142, 6.02451, 12.7143, 6.02241, 12.7158, 6.02391, 0, 0
47, 0.00000, 11.3878, 5.22643, 11.3879, 5.2248, 11.3891, 5.22597, 0, 0
48, 0.00000, 10.4007, 4.6731, 10.4008, 4.67176, 10.4018, 4.67272, 0, 0
48, 0.00000, 10.4007, 4.6731, 10.4008, 4.67176, 10.4018, 4.67272, 0, 0
