hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 13.9465, 6.09412, 13.9466, 6.09256, 13.9476, 6.0937, 0, 0
2, 0.00000, 12.7966, 5.52065, 12.7967, 5.51935, 12.7976, 5.5203, 0, 0
3, 0.00000, 11.9874, 5.12768, 11.9875, 5.12655, 11.9883, 5.12738, 0, 0
4, 0.00000, 11.8209, 5.04673, 11.8209, 5.04563, 11.8217, 5.04644, 0, 0
5, 0.00000, 11.7108, 4.99322, 11.7109, 4.99214, 11.7117, 4.99293, 0, 0
6, 0.00000, 12.209, 5.23078, 12.2091, 5.2296, 12.2099, 5.23046, 0, 0
7, 0.00000, 12.9939, 5.61425, 12.9939, 5.61291, 12.9949, 5.61388, 0, 0
8, 0.00000, 12.6764, 5.45785, 12.6765, 5.45658, 12.6774, 5.45751, 0, 0
9, 0.00000, 13.4297, 5.84288, 13.4298, 5.84144, 13.4308, 5.84249, 0, 0
10, 0.00000, 14.6535, 6.47994, 14.6536, 6.47821, 14.6548, 6.47947, 0, 0
11, 0.00000, 15.0225, 6.67713, 15.0226, 6.6753, 15.0239, 6.67663, 0, 0
12, 0.00000, 16.1603, 7.27581, 16.1604, 7.27367, 16.1619, 7.27522, 0, 0
13, 0.00000, 17.0897, 7.79044, 17.0898, 7.78802, 17.0915, 7.78977, 0, 0
14, 0.00000, 16.2544, 7.34471, 16.2545, 7.34254, 16.2561, 7.34411, 0, 0
15, 0.00000, 16.5395, 7.50657, 16.5396, 7.50431, 16.5412, 7.50595, 0, 0
16, 0.00000, 16.3279, 7.39261, 16.328, 7.39042, 16.3296, 7.39201, 0, 0
17, 0.00000, 16.6982, 7.58535, 16.6983, 7.58305, 16.6999, 7.58472, 0, 0
18, 0.00000, 17.5525, 8.03895, 17.5527, 8.03638, 17.5545, 8.03825, 0, 0
19, 0.00000, 20.4858, 9.78472, 20.486, 9.78107, 20.4886, 9.78372, 0, 0
20, 0.00000, 21.0367, 10.1454, 21.037, 10.1415, 21.0397, 10.1444, 0, 0
21, 0.00000, 20.6616, 9.90568, 20.6618, 9.90196, 20.6644, 9.90466, 0, 0
22, 0.00000, 19.6417, 9.26335, 19.6419, 9.26004, 19.6442, 9.26244, 0, 0
23, 0.00000, 17.6193, 8.0573, 17.6195, 8.05472, 17.6213, 8.05659, 0, 0
24, 0.00000, 16.1084, 7.21666, 16.1085, 7.21453, 16.11, 7.21608, 0, 0
25, 0.00000, 13.9473, 6.09341, 13.9474, 6.09185, 13.9485, 6.09298, 0, 0
26, 0.00000, 12.7966, 5.52065, 12.7967, 5.51935, 12.7976, 5.5203, 0, 0
27, 0.00000, 11.9874, 5.12768, 11.9875, 5.12655, 11.9883, 5.12738, 0, 0
28, 0.00000, 11.8209, 5.04673, 11.8209, 5.04563, 11.8217, 5.04644, 0, 0
29, 0.00000, 11.7108, 4.99322, 11.7109, 4.99214, 11.7117, 4.99293, 0, 0
30, 0.00000, 12.209, 5.23078, 12.2091, 5.2296, 12.2099, 5.23046, 0, 0
31, 0.00000, 12.9939, 5.61425, 12.9939, 5.61291, 12.9949, 5.61388, 0, 0
32, 0.00000, 12.6764, 5.45785, 12.6765, 5.45658, 12.6774, 5.45751, 0, 0
33, 0.00000, 13.4297, 5.84288, 13.4298, 5.84144, 13.4308, 5.84249, 0, 0
34, 0.00000, 14.6535, 6.47994, 14.6536, 6.47821, 14.6548, 6.47947, 0, 0
35, 0.00000, 15.0225, 6.67713, 15.0226, 6.6753, 15.0239, 6.67663, 0, 0
36, 0.00000, 16.1603, 7.27581, 16.1604, 7.27367, 16.1619, 7.27522, 0, 0
37, 0.00000, 17.0897, 7.79044, 17.0898, 7.78802, 17.0915, 7.78977, 0, 0
38, 0.00000, 16.2544, 7.34471, 16.2545, 7.34254, 16.2561, 7.34411, 0, 0
39, 0.00000, 16.5395, 7.50657, 16.5396, 7.50431, 16.5412, 7.50595, 0, 0
40, 0.00000, 16.3279, 7.39261, 16.328, 7.39042, 16.3296, 7.39201, 0, 0
41, 0.00000, 16.6982, 7.58535, 16.6983, 7.58305, 16.6999, 7.58472, 0, 0
42, 0.00000, 17.5525, 8.03895, 17.5527, 8.03638, 17.5545, 8.03825, 0, 0
43, 0.00000, 20.4858, 9.78472, 20.486, 9.78107, 20.4886, 9.78372, 0, 0
44, 0.00000, 21.0367, 10.1454, 21.037, 10.1415, 21.0397, 10.1444, 0, 0
45, 0.00000, 20.6616, 9.90568, 20.6618, 9.90196, 20.6644, 9.90466, 0, 0
46, 0.00000, 19.6417, 9.26335, 19.6419, 9.26004, 19.6442, 9.26244, 0, 0
47, 0.00000, 17.6193, 8.0573, 17.6195, 8.05472, 17.6213, 8.05659, 0, 0
48, 0.00000, 16.1084, 7.21666, 16.1085, 7.21453, 16.11, 7.21608, 0, 0
48, 0.00000, 16.1084, 7.21666, 16.1085, 7.21453, 16.11, 7.21608, 0, 0
