hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 14.914, 6.54159, 14.9141, 6.53993, 14.9153, 6.54113, 0, 0
2, 0.00000, 13.6736, 5.92485, 13.6737, 5.92347, 13.6747, 5.92447, 0, 0
3, 0.00000, 12.803, 5.49514, 12.8031, 5.49394, 12.8039, 5.49481, 0, 0
4, 0.00000, 12.6242, 5.39492, 12.6242, 5.39375, 12.6251, 5.3946, 0, 0
5, 0.00000, 12.5054, 5.33943, 12.5055, 5.33829, 12.5063, 5.33912, 0, 0
6, 0.00000, 10.7081, 5.52482, 10.7082, 5.52377, 10.7089, 5.52457, 0, 0
7, 0.00000, 0.804063, 5.82947, 0.804449, 5.8292, 0.804369, 5.82965, 0, 0
8, 0.00000, -16.656, 6.42952, -16.6552, 6.43071, -16.6567, 6.43053, 0, 0
9, 0.00000, -29.1903, 8.08761, -29.1888, 8.08989, -29.1916, 8.08939, 0, 0
10, 0.00000, -36.9438, 9.86965, -36.9417, 9.87279, -36.9455, 9.87216, 0, 0
11, 0.00000, -40.563, 10.6708, -40.5606, 10.6743, -40.5649, 10.6736, 0, 0
12, 0.00000, -38.5986, 11.0414, -38.596, 11.045, -38.6005, 11.0444, 0, 0
13, 0.00000, -31.3902, 10.5707, -31.3879, 10.5737, -31.3918, 10.5734, 0, 0
14, 0.00000, -24.8044, 9.25923, -24.8026, 9.26146, -24.8056, 9.26124, 0, 0
15, 0.00000, -14.6345, 8.50271, -14.6332, 8.50391, -14.635, 8.50405, 0, 0
16, 0.00000, -4.09314, 7.80347, -4.09228, 7.80354, -4.09295, 7.8041, 0, 0
17, 0.00000, 10.009, 7.89093, 10.0094, 7.8894, 10.0103, 7.8907, 0, 0
18, 0.00000, 18.8115, 8.6775, 18.8116, 8.67476, 18.8136, 8.67674, 0, 0
19, 0.00000, 22.0004, 10.6101, 22.0007, 10.6062, 22.0034, 10.609, 0, 0
20, 0.00000, 22.6011, 11.0132, 22.6013, 11.0091, 22.6043, 11.0121, 0, 0
21, 0.00000, 22.1906, 10.7498, 22.1908, 10.7459, 22.1937, 10.7487, 0, 0
22, 0.00000, 21.0778, 10.0411, 21.078, 10.0376, 21.0805, 10.0401, 0, 0
23, 0.00000, 18.8799, 8.71263, 18.8801, 8.70987, 18.882, 8.71186, 0, 0
24, 0.00000, 17.2454, 7.78289, 17.2455, 7.78063, 17.2471, 7.78226, 0, 0
25, 0.00000, 14.9135, 6.54153, 14.9136, 6.53988, 14.9147, 6.54107, 0, 0
26, 0.00000, 13.6736, 5.92485, 13.6737, 5.92347, 13.6747, 5.92447, 0, 0
27, 0.00000, 12.803, 5.49514, 12.8031, 5.49394, 12.8039, 5.49481, 0, 0
28, 0.00000, 12.6242, 5.39492, 12.6242, 5.39375, 12.6251, 5.3946, 0, 0
29, 0.00000, 12.5054, 5.33943, 12.5055, 5.33829, 12.5063, 5.33912, 0, 0
30, 0.00000, 10.7081, 5.52482, 10.7082, 5.52377, 10.7089, 5.52457, 0, 0
31, 0.00000, 0.804063, 5.82947, 0.804449, 5.8292, 0.804369, 5.82965, 0, 0
32, 0.00000, -16.656, 6.42952, -16.6552, 6.43071, -16.6567, 6.43053, 0, 0
33, 0.00000, -29.1903, 8.08761, -29.1888, 8.08989, -29.1916, 8.08939, 0, 0
34, 0.00000, -36.9438, 9.86965, -36.9417, 9.87279, -36.9455, 9.87216, 0, 0
35, 0.00000, -40.563, 10.6708, -40.5606, 10.6743, -40.5649, 10.6736, 0, 0
36, 0.00000, -38.5986, 11.0414, -38.596, 11.045, -38.6005, 11.0444, 0, 0
37, 0.00000, -31.3902, 10.5707, -31.3879, 10.5737, -31.3918, 10.5734, 0, 0
38, 0.00000, -24.8044, 9.25923, -24.8026, 9.26146, -24.8056, 9.26124, 0, 0
39, 0.00000, -14.6345, 8.50271, -14.6332, 8.50391, -14.635, 8.50405, 0, 0
40, 0.00000, -4.09314, 7.80347, -4.09228, 7.80354, -4.09295, 7.8041, 0, 0
41, 0.00000, 10.009, 7.89093, 10.0094, 7.8894, 10.0103, 7.8907, 0, 0
42, 0.00000, 18.8115, 8.6775, 18.8116, 8.67476, 18.8136, 8.67674, 0, 0
43, 0.00000, 22.0004, 10.6101, 22.0007, 10.6062, 22.0034, 10.609, 0, 0
44, 0.00000, 22.6011, 11.0132, 22.6013, 11.0091, 22.6043, 11.0121, 0, 0
45, 0.00000, 22.1906, 10.7498, 22.1908, 10.7459, 22.1937, 10.7487, 0, 0
46, 0.00000, 21.0778, 10.0411, 21.078, 10.0376, 21.0805, 10.0401, 0, 0
47, 0.00000, 18.8799, 8.71263, 18.8801, 8.70987, 18.882, 8.71186, 0, 0
48, 0.00000, 17.2454, 7.78289, 17.2455, 7.78063, 17.2471, 7.78226, 0, 0
48, 0.00000, 17.2454, 7.78289, 17.2455, 7.78063, 17.2471, 7.78226, 0, 0
