hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 7.61882, 3.20173, 7.61887, 3.20088, 7.61947, 3.20149, 0, 0
2, 0.00000, 6.99474, 2.9076, 6.99478, 2.90689, 6.99527, 2.9074, 0, 0
3, 0.00000, 6.55562, 2.7055, 6.55565, 2.70488, 6.55609, 2.70533, 0, 0
4, 0.00000, 6.464, 2.66464, 6.46403, 2.66404, 6.46445, 2.66447, 0, 0
5, 0.00000, 6.40478, 2.63673, 6.40482, 2.63614, 6.40523, 2.63657, 0, 0
6, 0.00000, 6.69911, 2.77645, 6.69915, 2.77581, 6.6996, 2.77627, 0, 0
7, 0.00000, 7.23143, 3.05928, 7.23145, 3.05855, 7.23198, 3.05907, 0, 0
8, 0.00000, 7.19091, 3.08442, 7.19093, 3.08371, 7.19144, 3.0842, 0, 0
9, 0.00000, 7.70854, 3.37238, 7.70854, 3.37158, 7.70914, 3.37212, 0, 0
10, 0.00000, 8.46883, 3.78303, 8.46882, 3.78206, 8.46955, 3.78271, 0, 0
11, 0.00000, 8.70463, 3.91592, 8.70461, 3.9149, 8.70538, 3.91558, 0, 0
12, 0.00000, 9.36571, 4.26342, 9.36569, 4.26222, 9.3666, 4.26302, 0, 0
13, 0.00000, 9.86902, 4.52979, 9.869, 4.52843, 9.87002, 4.52934, 0, 0
14, 0.00000, 9.32776, 4.22621, 9.32776, 4.225, 9.32866, 4.22582, 0, 0
15, 0.00000, 9.4078, 4.24608, 9.40781, 4.24482, 9.40874, 4.24568, 0, 0
16, 0.00000, 9.1794, 4.09127, 9.17942, 4.09005, 9.18031, 4.0909, 0, 0
17, 0.00000, 9.22222, 4.05471, 9.22227, 4.05345, 9.22318, 4.05435, 0, 0
18, 0.00000, 9.57699, 4.19078, 9.57706, 4.18938, 9.57806, 4.19038, 0, 0
19, 0.00000, 11.169, 5.06883, 11.1691, 5.06684, 11.1705, 5.06826, 0, 0
20, 0.00000, 11.4683, 5.24986, 11.4684, 5.24774, 11.4699, 5.24925, 0, 0
21, 0.00000, 11.2649, 5.13011, 11.265, 5.12808, 11.2664, 5.12952, 0, 0
22, 0.00000, 10.7112, 4.80755, 10.7113, 4.80575, 10.7126, 4.80703, 0, 0
23, 0.00000, 9.6131, 4.19892, 9.61317, 4.19751, 9.61418, 4.19852, 0, 0
24, 0.00000, 8.79221, 3.77316, 8.79227, 3.772, 8.79309, 3.77283, 0, 0
25, 0.00000, 7.6189, 3.20176, 7.61894, 3.20091, 7.61954, 3.20152, 0, 0
26, 0.00000, 6.99474, 2.9076, 6.99478, 2.90689, 6.99527, 2.9074, 0, 0
27, 0.00000, 6.55562, 2.7055, 6.55565, 2.70488, 6.55609, 2.70533, 0, 0
28, 0.00000, 6.464, 2.66464, 6.46403, 2.66404, 6.46445, 2.66447, 0, 0
29, 0.00000, 6.40478, 2.63673, 6.40482, 2.63614, 6.40523, 2.63657, 0, 0
30, 0.00000, 6.69911, 2.77645, 6.69915, 2.77581, 6.6996, 2.77627, 0, 0
31, 0.00000, 7.23143, 3.05928, 7.23145, 3.05855, 7.23198, 3.05907, 0, 0
32, 0.00000, 7.19091, 3.08442, 7.19093, 3.08371, 7.19144, 3.0842, 0, 0
33, 0.00000, 7.70854, 3.37238, 7.70854, 3.37158, 7.70914, 3.37212, 0, 0
34, 0.00000, 8.46883, 3.78303, 8.46882, 3.78206, 8.46955, 3.78271, 0, 0
35, 0.00000, 8.70463, 3.91592, 8.70461, 3.9149, 8.70538, 3.91558, 0, 0
36, 0.00000, 9.36571, 4.26342, 9.36569, 4.26222, 9.3666, 4.26302, 0, 0
37, 0.00000, 9.86902, 4.52979, 9.869, 4.52843, 9.87002, 4.52934, 0, 0
38, 0.00000, 9.32776, 4.22621, 9.32776, 4.225, 9.32866, 4.22582, 0, 0
39, 0.00000, 9.4078, 4.24608, 9.40781, 4.24482, 9.40874, 4.24568, 0, 0
40, 0.00000, 9.1794, 4.09127, 9.17942, 4.09005, 9.18031, 4.0909, 0, 0
41, 0.00000, 9.22222, 4.05471, 9.22227, 4.05345, 9.22318, 4.05435, 0, 0
42, 0.00000, 9.57699, 4.19078, 9.57706, 4.18938, 9.57806, 4.19038, 0, 0
43, 0.00000, 11.169, 5.06883, 11.1691, 5.06684, 11.1705, 5.06826, 0, 0
44, 0.00000, 11.4683, 5.24986, 11.4684, 5.24774, 11.4699, 5.24925, 0, 0
45, 0.00000, 11.2649, 5.13011, 11.265, 5.12808, 11.2664, 5.12952, 0, 0
46, 0.00000, 10.7112, 4.80755, 10.7113, 4.80575, 10.7126, 4.80703, 0, 0
47, 0.00000, 9.6131, 4.19892, 9.61317, 4.19751, 9.61418, 4.19852, 0, 0
48, 0.00000, 8.79221, 3.77316, 8.79227, 3.772, 8.79309, 3.77283, 0, 0
48, 0.00000, 8.79221, 3.77316, 8.79227, 3.772, 8.79309, 3.77283, 0, 0
