hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 0.271108, 0.101476, 0, 0
2, 0.00000, 0.251943, 0.0920462, 0, 0
3, 0.00000, 0.238504, 0.0855819, 0, 0
4, 0.00000, 0.235709, 0.0842721, 0, 0
5, 0.00000, 0.233899, 0.083381, 0, 0
6, 0.00000, 0.242872, 0.0876759, 0, 0
7, 0.00000, 0.259001, 0.0959105, 0, 0
8, 0.00000, 0.257467, 0.0956298, 0, 0
9, 0.00000, 0.272846, 0.103882, 0, 0
10, 0.00000, 0.29562, 0.116168, 0, 0
11, 0.00000, 0.302639, 0.120085, 0, 0
12, 0.00000, 0.322772, 0.130914, 0, 0
13, 0.00000, 0.338408, 0.139626, 0, 0
14, 0.00000, 0.322179, 0.130644, 0, 0
15, 0.00000, 0.325045, 0.132022, 0, 0
16, 0.00000, 0.31847, 0.128027, 0, 0
17, 0.00000, 0.320361, 0.128178, 0, 0
18, 0.00000, 0.331753, 0.133475, 0, 0
19, 0.00000, 0.381728, 0.162328, 0, 0
20, 0.00000, 0.391203, 0.168345, 0, 0
21, 0.00000, 0.384763, 0.164369, 0, 0
22, 0.00000, 0.367278, 0.153681, 0, 0
23, 0.00000, 0.332869, 0.13373, 0, 0
24, 0.00000, 0.307343, 0.119901, 0, 0
25, 0.00000, 0.27111, 0.101477, 0, 0
26, 0.00000, 0.251943, 0.0920462, 0, 0
27, 0.00000, 0.238504, 0.0855819, 0, 0
28, 0.00000, 0.235709, 0.0842721, 0, 0
29, 0.00000, 0.233899, 0.083381, 0, 0
30, 0.00000, 0.242872, 0.0876759, 0, 0
31, 0.00000, 0.259001, 0.0959105, 0, 0
32, 0.00000, 0.257467, 0.0956298, 0, 0
33, 0.00000, 0.272846, 0.103882, 0, 0
34, 0.00000, 0.29562, 0.116168, 0, 0
35, 0.00000, 0.302639, 0.120085, 0, 0
36, 0.00000, 0.322772, 0.130914, 0, 0
37, 0.00000, 0.338408, 0.139626, 0, 0
38, 0.00000, 0.322179, 0.130644, 0, 0
39, 0.00000, 0.325045, 0.132022, 0, 0
40, 0.00000, 0.31847, 0.128027, 0, 0
41, 0.00000, 0.320361, 0.128178, 0, 0
42, 0.00000, 0.331753, 0.133475, 0, 0
43, 0.00000, 0.381728, 0.162328, 0, 0
44, 0.00000, 0.391203, 0.168345, 0, 0
45, 0.00000, 0.384763, 0.164369, 0, 0
46, 0.00000, 0.367278, 0.153681, 0, 0
47, 0.00000, 0.332869, 0.13373, 0, 0
48, 0.00000, 0.307343, 0.119901, 0, 0
48, 0.00000, 0.307343, 0.119901, 0, 0
