hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 1530.36, 739.342, 1531.76, 739.776, 1530.49, 739.295
2, 0.00000, 1400.04, 662.504, 1401.32, 662.899, 1400.15, 662.465
3, 0.00000, 1308.87, 610.499, 1310.06, 610.867, 1308.96, 610.466
4, 0.00000, 1289.99, 599.496, 1291.17, 599.858, 1290.08, 599.463
5, 0.00000, 1277.68, 592.587, 1278.85, 592.945, 1277.77, 592.555
6, 0.00000, 1245.94, 613.255, 1247.17, 613.634, 1246.03, 613.223
7, 0.00000, 930.248, 631.329, 931.553, 631.759, 930.327, 631.31
8, 0.00000, 259.25, 633.607, 260.537, 634.061, 259.29, 633.62
9, 0.00000, -143.313, 746.422, -141.934, 746.933, -143.288, 746.46
10, 0.00000, -328.698, 883.427, -327.179, 884.01, -328.675, 883.486
11, 0.00000, -426.507, 940.953, -424.942, 941.562, -426.486, 941.022
12, 0.00000, -277.497, 993.16, -275.812, 993.818, -277.461, 993.229
13, 0.00000, 39.957, 994.105, 41.7326, 994.791, 40.0206, 994.156
14, 0.00000, 214.455, 896.251, 216.128, 896.883, 214.522, 896.283
15, 0.00000, 607.921, 870.84, 609.61, 871.46, 608.015, 870.845
16, 0.00000, 986.347, 841.96, 988.001, 842.542, 986.464, 841.94
17, 0.00000, 1546.13, 898.175, 1547.81, 898.732, 1546.29, 898.122
18, 0.00000, 1945.93, 1008.14, 1947.7, 1008.7, 1946.14, 1008.06
19, 0.00000, 2289.9, 1268.52, 2291.98, 1269.19, 2290.2, 1268.41
20, 0.00000, 2354.32, 1323.08, 2356.46, 1323.77, 2354.64, 1322.96
21, 0.00000, 2310.47, 1287.36, 2312.57, 1288.03, 2310.77, 1287.24
22, 0.00000, 2190.88, 1187.28, 2192.86, 1187.92, 2191.15, 1187.18
23, 0.00000, 1953.48, 1011.65, 1955.25, 1012.21, 1953.69, 1011.57
24, 0.00000, 1778.04, 893.534, 1779.65, 894.042, 1778.21, 893.47
25, 0.00000, 1530.41, 739.065, 1531.81, 739.499, 1530.54, 739.019
26, 0.00000, 1400.04, 662.503, 1401.32, 662.898, 1400.15, 662.465
27, 0.00000, 1308.87, 610.499, 1310.06, 610.867, 1308.96, 610.466
28, 0.00000, 1289.99, 599.496, 1291.17, 599.858, 1290.08, 599.463
29, 0.00000, 1277.68, 592.587, 1278.85, 592.945, 1277.77, 592.555
30, 0.00000, 1245.94, 613.255, 1247.17, 613.634, 1246.03, 613.223
31, 0.00000, 930.248, 631.329, 931.553, 631.759, 930.327, 631.31
32, 0.00000, 259.25, 633.607, 260.537, 634.061, 259.29, 633.62
33, 0.00000, -143.313, 746.422, -141.934, 746.933, -143.288, 746.46
34, 0.00000, -328.698, 883.427, -327.179, 884.01, -328.675, 883.486
35, 0.00000, -426.507, 940.953, -424.942, 941.562, -426.486, 941.022
36, 0.00000, -277.497, 993.16, -275.812, 993.818, -277.461, 993.229
37, 0.00000, 39.957, 994.105, 41.7326, 994.791, 40.0206, 994.156
38, 0.00000, 214.455, 896.251, 216.128, 896.883, 214.522, 896.283
39, 0.00000, 607.921, 870.84, 609.61, 871.46, 608.015, 870.845
40, 0.00000, 986.347, 841.96, 988.001, 842.542, 986.464, 841.94
41, 0.00000, 1546.13, 898.175, 1547.81, 898.732, 1546.29, 898.122
42, 0.00000, 1945.93, 1008.14, 1947.7, 1008.7, 1946.14, 1008.06
43, 0.00000, 2289.9, 1268.52, 2291.98, 1269.19, 2290.2, 1268.41
44, 0.00000, 2354.32, 1323.08, 2356.46, 1323.77, 2354.64, 1322.96
45, 0.00000, 2310.47, 1287.36, 2312.57, 1288.03, 2310.77, 1287.24
46, 0.00000, 2190.88, 1187.28, 2192.86, 1187.92, 2191.15, 1187.18
47, 0.00000, 1953.48, 1011.65, 1955.25, 1012.21, 1953.69, 1011.57
48, 0.00000, 1778.04, 893.534, 1779.65, 894.042, 1778.21, 893.47
48, 0.00000, 1778.04, 893.534, 1779.65, 894.042, 1778.21, 893.47
